FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-09 00:00:00.000000,0.00093705,0.02226254,0.09383881,0,1,5,0,0,3,0.00052882,0.01264919,0.05333896,0.31933618,0.51348992,0.66561150
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-10 00:00:00.000000,0.00109237,0.02367079,0.09984336,0,1,5,0,0,3,0.00053876,0.01230438,0.05341760,0.31931390,0.51347502,0.66561033
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-11 00:00:00.000000,0.00125208,0.02531259,0.10720021,0,1,6,0,0,3,0.00058607,0.01274085,0.05540540,0.31926921,0.51342772,0.66560777
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-12 00:00:00.000000,0.00142320,0.02733516,0.11301969,0,1,6,0,0,3,0.00065476,0.01360738,0.05856222,0.31917955,0.51327775,0.66560210
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-13 00:00:00.000000,0.00161093,0.02959889,0.11889485,0,1,7,0,0,3,0.00072126,0.01490959,0.06247279,0.31899977,0.51280514,0.66558930
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-14 00:00:00.000000,0.00180929,0.03252474,0.12501612,0,1,7,0,0,3,0.00079992,0.01619337,0.06690985,0.31863966,0.51008118,0.66555986
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-15 00:00:00.000000,0.00202716,0.03576727,0.13218744,0,2,7,0,1,4,0.00089052,0.01758666,0.07175453,0.31792049,0.50801414,0.66549040
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-16 00:00:00.000000,0.00226973,0.03943429,0.14102239,0,2,8,0,1,4,0.00099345,0.01904897,0.07694946,0.31649421,0.50387316,0.66532101
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-17 00:00:00.000000,0.00253995,0.04302359,0.15035289,0,2,8,0,1,4,0.00111010,0.02057452,0.08246949,0.31370931,0.49717294,0.66489218
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-18 00:00:00.000000,0.00284035,0.04630089,0.16009101,0,2,9,0,1,5,0.00124110,0.02221687,0.08829952,0.30861088,0.48616678,0.65560837
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-19 00:00:00.000000,0.00317208,0.05066105,0.17006242,0,3,10,0,1,5,0.00138770,0.02414399,0.09438235,0.29973050,0.48110702,0.64817520
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-20 00:00:00.000000,0.00353264,0.05478324,0.18011515,0,3,10,0,1,6,0.00155101,0.02654180,0.10062743,0.28340839,0.47202506,0.62246441
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-21 00:00:00.000000,0.00391309,0.05705522,0.19023083,0,3,11,0,1,6,0.00173145,0.02904718,0.10701479,0.26615446,0.43921186,0.59961658
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-22 00:00:00.000000,0.00429953,0.05796380,0.20044752,0,3,11,0,1,6,0.00192783,0.03125420,0.11350003,0.24508868,0.40687925,0.57776219
21075,0,USKentuckyFulton,Kentucky,Fulton,2021-09-02 08:48:25.940165,2020-03-23 00:00:00.000000,0.00468454,0.05832444,0.21084457,0,3,12,0,1,7,0.00213693,0.03193406,0.12009359,0.22660776,0.39667983,0.56009187
