FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-09 00:00:00.000000,0.00582893,0.03589813,0.09522225,0,3,8,0,1,4,0.00283991,0.01990721,0.04907290,0.33905748,0.50704692,0.68552059
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-10 00:00:00.000000,0.00635327,0.04056803,0.10226541,0,3,8,0,1,4,0.00289702,0.01963223,0.04658134,0.33905787,0.50701951,0.68550445
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-11 00:00:00.000000,0.00691264,0.04519325,0.10963190,0,3,9,0,1,4,0.00312037,0.02075429,0.05024754,0.33905858,0.50696551,0.68547116
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-12 00:00:00.000000,0.00752234,0.04982595,0.11741311,0,4,10,0,1,4,0.00344746,0.02260724,0.05439962,0.33905984,0.50685916,0.68540195
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-13 00:00:00.000000,0.00835785,0.05451648,0.12569480,0,4,10,0,2,5,0.00384276,0.02483790,0.05887220,0.33906210,0.50583067,0.68525704
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-14 00:00:00.000000,0.00922973,0.05930847,0.13413732,0,5,11,0,2,5,0.00428679,0.02725382,0.06360342,0.33906612,0.50266014,0.68495211
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-15 00:00:00.000000,0.01014726,0.06376926,0.14135786,0,5,12,0,2,5,0.00476963,0.02981096,0.06851881,0.33907327,0.50173407,0.68430947
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-16 00:00:00.000000,0.01884996,0.07685295,0.16602582,1,6,14,0,2,6,0.00528701,0.03249242,0.07366715,0.33908598,0.50020059,0.66799503
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-17 00:00:00.000000,0.02638572,0.09052961,0.19911687,2,7,17,0,3,7,0.00738052,0.03668669,0.08246788,0.33910851,0.49511391,0.65117958
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-18 00:00:00.000000,0.03488923,0.11083145,0.23685357,3,9,20,0,3,8,0.01064418,0.04147831,0.09629329,0.32980837,0.48785584,0.63495064
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-19 00:00:00.000000,0.04390515,0.13350739,0.27626356,3,11,24,1,4,9,0.01387851,0.04802576,0.11207378,0.31742104,0.47530671,0.62758620
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-20 00:00:00.000000,0.05008171,0.15615420,0.31570934,4,13,27,1,5,11,0.01785461,0.05823411,0.12940760,0.29021535,0.44687737,0.62797927
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-21 00:00:00.000000,0.05531402,0.17907301,0.35418400,4,15,30,1,6,12,0.02274062,0.07121053,0.14790509,0.26454974,0.41672873,0.59070081
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-22 00:00:00.000000,0.06052407,0.19466359,0.39258241,5,16,34,2,7,14,0.02784953,0.08205309,0.16718016,0.24791459,0.39637960,0.56616098
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-23 00:00:00.000000,0.06803138,0.22306796,0.43557042,5,19,37,2,8,16,0.03177164,0.09288876,0.18693530,0.22620347,0.37194530,0.55176052
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-24 00:00:00.000000,0.07557976,0.25336544,0.47955521,6,22,41,3,9,18,0.03834327,0.10651031,0.20879614,0.20998228,0.35273839,0.52274899
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-25 00:00:00.000000,0.08333862,0.27722426,0.52452851,7,24,45,3,10,20,0.04267707,0.11968496,0.23218550,0.21043060,0.34041493,0.50852908
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-26 00:00:00.000000,0.09125975,0.29529537,0.57019406,7,25,49,4,11,22,0.04724253,0.12800034,0.25937237,0.21232106,0.32860676,0.50269146
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-27 00:00:00.000000,0.09920130,0.30515970,0.61635711,8,26,53,4,12,25,0.05196135,0.14575958,0.28770790,0.20284313,0.31412016,0.46591887
21091,0,USKentuckyHancock,Kentucky,Hancock,2021-07-21 13:53:45.650063,2020-03-28 00:00:00.000000,0.10558086,0.32760228,0.65640401,9,28,57,4,13,27,0.05675672,0.15829312,0.31676357,0.19045692,0.29471816,0.45923836
