FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-09 00:00:00.000000,0.00079814,0.00486096,0.01257102,0,1,4,0,1,3,0.00039307,0.00292908,0.00930117,0.28585480,0.44755138,0.54566530
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-10 00:00:00.000000,0.00089030,0.00540782,0.01334667,0,1,4,0,1,3,0.00043484,0.00300489,0.00915156,0.28565462,0.44752099,0.54558636
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-11 00:00:00.000000,0.00099271,0.00602386,0.01433351,0,2,5,0,1,3,0.00048281,0.00321818,0.00923770,0.28528201,0.44746593,0.54537066
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-12 00:00:00.000000,0.00110668,0.00667911,0.01610286,0,2,5,0,1,3,0.00053711,0.00354874,0.00947869,0.28459285,0.44666272,0.54479361
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-13 00:00:00.000000,0.00123348,0.00741857,0.01800516,0,2,6,0,1,3,0.00059811,0.00387854,0.00982695,0.28333319,0.44584956,0.54302755
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-14 00:00:00.000000,0.00137434,0.00812853,0.02006537,0,2,7,0,1,3,0.00066634,0.00425137,0.01025465,0.28262744,0.44465630,0.54027846
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-15 00:00:00.000000,0.00153033,0.00876757,0.02131057,0,3,7,0,1,3,0.00074244,0.00467751,0.01086235,0.28226937,0.44159757,0.53852771
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-16 00:00:00.000000,0.00170222,0.00954155,0.02222711,0,3,8,0,1,4,0.00082707,0.00511108,0.01211943,0.28156041,0.43455943,0.53609474
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-17 00:00:00.000000,0.00189030,0.01035750,0.02315457,0,3,8,0,1,4,0.00092083,0.00551406,0.01323843,0.27763520,0.42692832,0.53344473
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-18 00:00:00.000000,0.00209432,0.01116004,0.02407932,0,4,8,0,2,5,0.00102422,0.00593978,0.01380753,0.26323487,0.41732884,0.51512951
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-19 00:00:00.000000,0.00231397,0.01184936,0.02520859,0,4,9,0,2,5,0.00113825,0.00642581,0.01438849,0.25004460,0.40547339,0.50320233
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-20 00:00:00.000000,0.00255020,0.01246509,0.02771621,0,4,10,0,2,5,0.00126070,0.00690305,0.01523045,0.23912347,0.37274284,0.49990948
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-21 00:00:00.000000,0.00279388,0.01316905,0.03030636,1,4,10,0,2,6,0.00139418,0.00736029,0.01683403,0.21931058,0.35080070,0.49570368
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-22 00:00:00.000000,0.00297937,0.01399544,0.03298849,1,5,11,0,2,6,0.00153857,0.00785063,0.01849826,0.20842244,0.33797010,0.46963765
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-23 00:00:00.000000,0.00576458,0.01722337,0.03841609,2,6,13,0,3,7,0.00167872,0.00842193,0.02023191,0.20112711,0.31976648,0.44139793
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-24 00:00:00.000000,0.00872655,0.02026801,0.04184436,3,7,15,0,3,8,0.00238705,0.00975333,0.02245408,0.19314701,0.30533088,0.41706762
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-25 00:00:00.000000,0.01159554,0.02428438,0.04535237,4,8,16,1,4,8,0.00345661,0.01111547,0.02404818,0.18297335,0.28777506,0.39915263
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-26 00:00:00.000000,0.01348903,0.02749491,0.05373792,4,9,19,1,4,9,0.00481821,0.01297932,0.02586652,0.16611926,0.27419448,0.39243119
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-27 00:00:00.000000,0.01563446,0.03067040,0.05736996,5,11,20,2,5,10,0.00642292,0.01519162,0.02929889,0.15098020,0.25830414,0.38246616
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-28 00:00:00.000000,0.01751313,0.03399090,0.06348312,6,12,23,2,6,11,0.00824016,0.01760456,0.03305843,0.14113265,0.23622021,0.37226840
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-29 00:00:00.000000,0.01924984,0.03720804,0.06875530,6,13,24,3,7,13,0.00971367,0.01969137,0.03693197,0.13641342,0.22230484,0.34841491
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-30 00:00:00.000000,0.02221580,0.04077758,0.07481646,8,14,27,3,7,14,0.01097474,0.02163459,0.04095064,0.13386024,0.20784911,0.33451483
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-03-31 00:00:00.000000,0.02526121,0.04472128,0.08090787,9,16,29,4,8,16,0.01218238,0.02349190,0.04455198,0.11725909,0.19974643,0.32565828
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-04-01 00:00:00.000000,0.02656367,0.04820053,0.08924296,9,17,32,4,9,17,0.01378546,0.02550892,0.04804128,0.11694098,0.19103964,0.30883496
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-04-02 00:00:00.000000,0.02782254,0.05277949,0.09767903,10,19,35,5,10,19,0.01496758,0.02844841,0.05412870,0.11231155,0.18849660,0.28421439
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-04-03 00:00:00.000000,0.02901999,0.05604580,0.10699371,10,20,38,5,11,21,0.01612905,0.03084630,0.05815173,0.10796661,0.18207135,0.26416451
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-04-04 00:00:00.000000,0.03028170,0.05987889,0.11587062,10,21,42,6,12,22,0.01726596,0.03310397,0.06263220,0.10537695,0.16586950,0.25376257
21235,0,USKentuckyWhitley,Kentucky,Whitley,2021-08-18 09:19:50.824115,2020-04-05 00:00:00.000000,0.03200690,0.06369605,0.12478871,11,23,45,6,12,24,0.01837293,0.03507016,0.06663143,0.09248868,0.15891362,0.24464261
