FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-09 00:00:00.000000,0.00229081,0.00539867,0.01018744,2,6,12,0,1,5,0.00054142,0.00155959,0.00400565,0.43708588,0.58362364,0.78552565
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-10 00:00:00.000000,0.00321019,0.00766803,0.01403356,4,9,17,1,2,6,0.00096370,0.00216904,0.00478269,0.43707649,0.58362336,0.78552507
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-11 00:00:00.000000,0.00452475,0.00993963,0.01783516,5,12,22,1,4,8,0.00147992,0.00318652,0.00639649,0.43706243,0.58362262,0.78552283
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-12 00:00:00.000000,0.00583587,0.01231977,0.02281230,7,15,28,2,5,9,0.00195249,0.00422107,0.00782587,0.43704130,0.58362065,0.78551418
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-13 00:00:00.000000,0.00694791,0.01509440,0.02843055,8,19,36,3,6,13,0.00250245,0.00531617,0.01058742,0.43700914,0.58361545,0.78548073
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-14 00:00:00.000000,0.00820248,0.01851519,0.03481678,10,23,44,3,8,16,0.00306423,0.00669754,0.01287149,0.43695814,0.58360166,0.78535153
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-15 00:00:00.000000,0.00962371,0.02209957,0.04089850,12,28,51,4,10,20,0.00377838,0.00847687,0.01607442,0.43689624,0.58356500,0.78485359
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-16 00:00:00.000000,0.01265865,0.02572447,0.04739751,16,32,60,5,13,24,0.00454174,0.01035327,0.01959766,0.43678611,0.57942229,0.78295139
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-17 00:00:00.000000,0.01543489,0.03062334,0.05660676,19,38,71,7,15,29,0.00563178,0.01245190,0.02304131,0.43633720,0.57855969,0.77920618
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-18 00:00:00.000000,0.01757176,0.03604257,0.06699417,22,45,85,8,18,34,0.00673875,0.01462887,0.02685059,0.42914829,0.57782356,0.76739182
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-19 00:00:00.000000,0.02140850,0.04190185,0.07736571,27,53,98,10,21,41,0.00794905,0.01687575,0.03237406,0.42456224,0.56658189,0.75070300
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-20 00:00:00.000000,0.02565163,0.04842295,0.08835170,32,61,112,11,24,49,0.00913096,0.01954264,0.03868920,0.40209895,0.55209110,0.74728313
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-21 00:00:00.000000,0.02849530,0.05524054,0.10007410,36,70,127,13,29,58,0.01050211,0.02305195,0.04580239,0.36536648,0.53164657,0.70533763
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-22 00:00:00.000000,0.03206692,0.06266821,0.11253899,40,79,142,15,33,68,0.01200727,0.02664988,0.05352851,0.32012041,0.50950999,0.65367525
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-23 00:00:00.000000,0.03959683,0.06989733,0.12117280,50,88,153,17,38,78,0.01404316,0.03026168,0.06146578,0.30414171,0.47947537,0.62504964
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-24 00:00:00.000000,0.04416412,0.07665274,0.13050089,56,97,165,20,43,87,0.01617385,0.03429006,0.06866554,0.30354354,0.46144922,0.59513042
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-25 00:00:00.000000,0.04760891,0.08420331,0.13845608,60,106,175,24,49,94,0.01902896,0.03857535,0.07425978,0.30336184,0.44262472,0.57011375
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-26 00:00:00.000000,0.05345720,0.09154374,0.14655464,67,116,186,27,54,102,0.02163908,0.04303558,0.08072843,0.30093725,0.42485598,0.55447384
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-27 00:00:00.000000,0.05937414,0.09884224,0.15542185,75,125,197,30,60,112,0.02393038,0.04763273,0.08894597,0.28093389,0.40100425,0.53105013
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-28 00:00:00.000000,0.06389378,0.10618044,0.16873865,81,134,214,33,66,122,0.02621904,0.05218644,0.09677412,0.25102922,0.36959453,0.48738724
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-29 00:00:00.000000,0.06662986,0.11415109,0.18224191,84,145,231,36,71,131,0.02844333,0.05625704,0.10372835,0.23644763,0.34204940,0.46628119
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-30 00:00:00.000000,0.07116411,0.11934890,0.19434774,90,151,246,38,76,139,0.03029707,0.06032269,0.11001248,0.22235698,0.33071010,0.45153728
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-03-31 00:00:00.000000,0.07370338,0.12557457,0.20685714,93,159,262,40,81,147,0.03202672,0.06452988,0.11589938,0.21642457,0.31973756,0.44137940
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-04-01 00:00:00.000000,0.07606851,0.13292386,0.21933124,96,168,278,42,86,157,0.03363624,0.06813580,0.12406091,0.20896594,0.31005381,0.43339920
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-04-02 00:00:00.000000,0.07838322,0.13849275,0.23159079,99,175,294,44,91,168,0.03515639,0.07201424,0.13227745,0.19294948,0.29308466,0.41274833
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-04-03 00:00:00.000000,0.08061368,0.14242243,0.23985868,102,180,304,46,96,177,0.03662006,0.07568032,0.13998355,0.18340563,0.27508678,0.41131727
22015,0,USLouisianaBossier,Louisiana,Bossier,2021-01-05 20:56:20.443715,2020-04-04 00:00:00.000000,0.08277455,0.14771814,0.24698866,105,187,313,48,100,186,0.03806686,0.07941459,0.14662320,0.17953653,0.26269921,0.38535268
