FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-09 00:00:00.000000,0.00107497,0.00312496,0.00635632,2,6,12,0,2,5,0.00016596,0.00100846,0.00246436,0.48524643,0.63480078,0.80990559
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-10 00:00:00.000000,0.00183365,0.00451657,0.00893690,3,9,18,0,2,5,0.00036928,0.00136300,0.00294554,0.48524635,0.63477369,0.80990555
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-11 00:00:00.000000,0.00266218,0.00572284,0.01143160,5,11,23,1,3,8,0.00071790,0.00179165,0.00397232,0.48524622,0.63472366,0.80990542
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-12 00:00:00.000000,0.00342115,0.00704730,0.01410761,6,14,28,2,4,10,0.00112002,0.00243452,0.00503015,0.48524597,0.63438666,0.80990497
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-13 00:00:00.000000,0.00425189,0.00857322,0.01697020,8,17,34,3,6,12,0.00147654,0.00313162,0.00624214,0.48524555,0.63368099,0.80990345
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-14 00:00:00.000000,0.00517424,0.01028556,0.02002679,10,20,40,3,8,15,0.00184721,0.00405727,0.00761487,0.48524480,0.63096028,0.80989817
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-15 00:00:00.000000,0.00620085,0.01217685,0.02368955,12,24,48,4,9,18,0.00225912,0.00484413,0.00916220,0.48524338,0.62821361,0.80987970
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-16 00:00:00.000000,0.00774103,0.01466835,0.02572658,15,29,52,5,11,22,0.00276177,0.00575907,0.01090390,0.48524017,0.62371199,0.80981479
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-17 00:00:00.000000,0.00948827,0.01705514,0.02845923,19,34,57,6,13,26,0.00339012,0.00675064,0.01295207,0.48522952,0.61535649,0.80958814
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-18 00:00:00.000000,0.01083115,0.01948771,0.03389544,22,39,68,8,16,29,0.00409585,0.00806679,0.01471049,0.46619770,0.60418439,0.80074990
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-19 00:00:00.000000,0.01227153,0.02205613,0.03737857,24,44,76,9,19,34,0.00469940,0.00936745,0.01714728,0.44940677,0.60037714,0.78308059
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-20 00:00:00.000000,0.01294750,0.02493531,0.04506290,26,50,91,10,22,42,0.00531026,0.01113015,0.02098864,0.42843501,0.58402475,0.78708860
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-21 00:00:00.000000,0.01361835,0.02813015,0.04978825,27,57,101,11,26,49,0.00564876,0.01288028,0.02428728,0.41872663,0.56755567,0.78716722
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-22 00:00:00.000000,0.01429195,0.03163801,0.05439698,29,64,110,12,29,56,0.00597379,0.01443642,0.02801380,0.41063986,0.54979369,0.77852550
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-23 00:00:00.000000,0.01699057,0.03554679,0.06393252,34,72,130,12,32,64,0.00629269,0.01590177,0.03172985,0.39246109,0.54116910,0.77909280
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-24 00:00:00.000000,0.01968840,0.03989031,0.07368338,40,81,149,14,35,71,0.00703817,0.01748413,0.03534068,0.39378549,0.53564386,0.77829549
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-25 00:00:00.000000,0.02248894,0.04460418,0.08188814,45,90,166,16,40,84,0.00803774,0.01967458,0.04129393,0.38669628,0.51891292,0.73134641
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-26 00:00:00.000000,0.02462208,0.04861706,0.09053059,50,98,184,18,45,95,0.00918648,0.02221988,0.04693334,0.38003734,0.50776844,0.70646959
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-27 00:00:00.000000,0.02709133,0.05164684,0.09980808,55,105,203,21,49,106,0.01042474,0.02419875,0.05251371,0.36842971,0.49303182,0.66448538
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-28 00:00:00.000000,0.02884509,0.05544968,0.10952834,58,112,222,23,52,118,0.01157485,0.02576921,0.05827097,0.34034562,0.47255052,0.64451884
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-29 00:00:00.000000,0.03107547,0.06022169,0.11917233,63,122,242,25,57,130,0.01254860,0.02807550,0.06427600,0.32229894,0.44854212,0.64926410
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-30 00:00:00.000000,0.03362147,0.06454621,0.12674938,68,131,257,27,62,143,0.01357810,0.03052225,0.07040082,0.31306366,0.43010340,0.65187380
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-03-31 00:00:00.000000,0.03562383,0.06844107,0.13540490,72,139,275,29,66,154,0.01466712,0.03269412,0.07593306,0.30867946,0.41731125,0.65038450
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-04-01 00:00:00.000000,0.03686847,0.07368343,0.14466632,75,149,294,32,71,163,0.01583293,0.03498139,0.08053220,0.28673600,0.40492521,0.63775871
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-04-02 00:00:00.000000,0.03857480,0.07686990,0.15082896,78,156,306,34,75,171,0.01695729,0.03723261,0.08407441,0.26329488,0.38720768,0.58444625
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-04-03 00:00:00.000000,0.04002097,0.08120196,0.15705000,81,165,319,35,80,182,0.01754482,0.03948787,0.08973392,0.24326902,0.36164879,0.58380996
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-04-04 00:00:00.000000,0.04082804,0.08425171,0.16336773,83,171,332,36,86,195,0.01804168,0.04246994,0.09586309,0.23008376,0.34454296,0.58303487
22019,0,USLouisianaCalcasieu,Louisiana,Calcasieu,2021-01-21 00:47:23.031092,2020-04-05 00:00:00.000000,0.04160743,0.08802279,0.16976693,84,179,345,37,91,205,0.01847809,0.04483485,0.10098748,0.22984950,0.33391587,0.56264622
