FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-09 00:00:00.000000,0.00711255,0.01548719,0.03647889,3,7,16,0,2,5,0.00132075,0.00438805,0.01114905,0.47736112,0.68712739,0.88754873
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-10 00:00:00.000000,0.01013714,0.02337565,0.05408072,4,10,24,1,2,6,0.00267091,0.00629185,0.01434001,0.47736177,0.68709702,0.88754118
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-11 00:00:00.000000,0.01336793,0.03147109,0.07417762,6,14,34,1,4,9,0.00403404,0.00965391,0.02051791,0.47736364,0.68700137,0.88752605
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-12 00:00:00.000000,0.01712930,0.04118324,0.09651488,7,19,44,2,6,13,0.00573751,0.01418300,0.02996318,0.47736904,0.68670585,0.88749569
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-13 00:00:00.000000,0.02080011,0.05142555,0.12165121,9,23,56,3,8,19,0.00809690,0.01900708,0.04135357,0.47738463,0.68580914,0.88743484
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-14 00:00:00.000000,0.02485303,0.06190116,0.15009947,11,28,69,4,11,25,0.00963369,0.02429586,0.05455006,0.47742953,0.68436808,0.88731300
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-15 00:00:00.000000,0.02933418,0.07385016,0.18235940,13,34,84,5,13,30,0.01135547,0.02995390,0.06695392,0.47755833,0.68383575,0.88706985
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-16 00:00:00.000000,0.04383047,0.08814043,0.20557232,20,40,94,6,16,38,0.01325369,0.03617465,0.08304101,0.47792376,0.67884391,0.88658790
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-17 00:00:00.000000,0.05392250,0.10430913,0.23152490,24,48,106,8,20,45,0.01900308,0.04405416,0.09898914,0.47892858,0.67512184,0.88564580
22117,0,USLouisianaWashington,Louisiana,Washington,2021-02-17 13:04:06.492482,2020-03-18 00:00:00.000000,0.06436255,0.12101144,0.25849223,29,55,119,10,24,54,0.02314455,0.05204200,0.11814145,0.48146636,0.67175144,0.88385373
