FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-09 00:00:00.000000,0.00337979,0.00554599,0.01004247,19,32,58,7,14,26,0.00135897,0.00247135,0.00459175,0.66221553,0.87159937,1.05681329
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-10 00:00:00.000000,0.00443466,0.00736508,0.01268259,25,42,73,10,17,35,0.00183402,0.00306735,0.00615944,0.66221680,0.87159927,1.05681328
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-11 00:00:00.000000,0.00557322,0.00918523,0.01552080,32,53,89,14,22,44,0.00242369,0.00385863,0.00765985,0.66221997,0.87159911,1.05681324
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-12 00:00:00.000000,0.00693825,0.01115314,0.01891167,40,64,109,17,27,54,0.00305655,0.00473956,0.00942346,0.66222807,0.87159905,1.05681313
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-13 00:00:00.000000,0.00858117,0.01357707,0.02297415,49,78,133,22,34,66,0.00389412,0.00594795,0.01149351,0.66224892,0.87160015,1.05681278
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-14 00:00:00.000000,0.01055411,0.01638310,0.02774766,61,94,160,28,43,82,0.00488961,0.00752968,0.01427886,0.66230291,0.87160747,1.05681151
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-15 00:00:00.000000,0.01241647,0.01981571,0.03307009,71,114,191,35,53,103,0.00606122,0.00928673,0.01783904,0.66244276,0.87164242,1.05680635
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-16 00:00:00.000000,0.01541619,0.02411483,0.03976603,89,139,230,43,65,128,0.00743894,0.01139299,0.02224593,0.66280266,0.87139971,1.05678386
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-17 00:00:00.000000,0.01887874,0.02906891,0.04883912,109,168,282,51,81,161,0.00897319,0.01403716,0.02790411,0.66370755,0.86832512,1.05668200
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-18 00:00:00.000000,0.02276885,0.03495549,0.05927932,131,202,343,62,100,202,0.01076378,0.01729040,0.03499652,0.66584676,0.86287212,1.05621203
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-19 00:00:00.000000,0.02747473,0.04206091,0.07331998,159,243,424,74,120,253,0.01287607,0.02075602,0.04372684,0.67022949,0.85960508,1.05403624
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-20 00:00:00.000000,0.03280599,0.04997444,0.09112224,190,289,527,89,147,315,0.01537412,0.02543426,0.05445698,0.67702727,0.84607724,1.04418986
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-21 00:00:00.000000,0.03811173,0.06005828,0.11305816,220,347,654,106,178,391,0.01833975,0.03077303,0.06763889,0.67165590,0.84529505,1.03806386
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-22 00:00:00.000000,0.04503916,0.07229766,0.13997920,260,418,810,126,216,482,0.02185418,0.03735783,0.08330537,0.62367370,0.83749020,1.07645298
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-23 00:00:00.000000,0.05275256,0.08838292,0.17092256,305,511,990,144,261,573,0.02490271,0.04521060,0.09893419,0.61115030,0.82775218,1.08527762
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-24 00:00:00.000000,0.06181907,0.10579967,0.20089214,358,612,1163,163,320,676,0.02830980,0.05530255,0.11683656,0.61460155,0.82860774,1.08692284
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-25 00:00:00.000000,0.07241931,0.12432274,0.24425135,419,720,1414,186,381,796,0.03220097,0.06590828,0.13754785,0.62167245,0.82088226,1.09244821
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-26 00:00:00.000000,0.08480671,0.14857048,0.28932762,491,860,1675,212,464,951,0.03667772,0.08017626,0.16418713,0.59634026,0.78060410,1.09250081
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-27 00:00:00.000000,0.09928213,0.17874315,0.33480611,575,1035,1939,242,563,1143,0.04190807,0.09724441,0.19739677,0.58840943,0.75959606,1.08600435
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-28 00:00:00.000000,0.11619796,0.20876371,0.38179555,673,1209,2211,278,652,1346,0.04811699,0.11261975,0.23238518,0.54184994,0.72344926,1.06743594
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-29 00:00:00.000000,0.13596432,0.24638850,0.43219472,787,1427,2503,323,744,1557,0.05584984,0.12860614,0.26889601,0.52490796,0.68398006,1.01892030
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-30 00:00:00.000000,0.15900699,0.28522240,0.49917191,921,1652,2891,378,868,1781,0.06536883,0.14988370,0.30750923,0.47430378,0.65330350,0.91418744
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-03-31 00:00:00.000000,0.18570367,0.32838137,0.55920905,1075,1902,3239,442,1021,2023,0.07647866,0.17636838,0.34935093,0.45613970,0.61238525,0.82704515
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-01 00:00:00.000000,0.21168315,0.37633647,0.61979056,1226,2179,3590,518,1182,2322,0.08945291,0.20415063,0.40100931,0.44826097,0.57170371,0.80984917
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-02 00:00:00.000000,0.24123820,0.42832934,0.69154769,1397,2481,4005,605,1343,2672,0.10460507,0.23202912,0.46133702,0.40080112,0.53848551,0.81239788
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-03 00:00:00.000000,0.26742717,0.47291909,0.76123043,1549,2739,4409,708,1525,3021,0.12229695,0.26328420,0.52160236,0.35120485,0.51421614,0.77334196
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-04 00:00:00.000000,0.29627566,0.52112631,0.82560401,1716,3018,4782,826,1731,3312,0.14265482,0.29891601,0.57185755,0.32541700,0.47664855,0.73156210
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-05 00:00:00.000000,0.32294290,0.56879611,0.88713765,1870,3294,5138,944,1929,3572,0.16312950,0.33314569,0.61684704,0.31218381,0.44170888,0.67211423
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-06 00:00:00.000000,0.35228624,0.61318343,0.94881355,2040,3551,5495,1059,2118,3841,0.18295024,0.36581168,0.66320780,0.29807368,0.41193529,0.61361848
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-07 00:00:00.000000,0.37374281,0.67047892,1.00745807,2164,3883,5835,1167,2343,4140,0.20161519,0.40461960,0.71484742,0.28523907,0.38695202,0.57492333
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-08 00:00:00.000000,0.39416359,0.72488093,1.07282196,2283,4198,6214,1263,2576,4443,0.21809104,0.44477710,0.76719109,0.25888740,0.35366485,0.54227698
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-09 00:00:00.000000,0.41356879,0.76841206,1.12285203,2395,4450,6503,1352,2795,4751,0.23355170,0.48256605,0.82029512,0.24347626,0.33413298,0.48770422
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-10 00:00:00.000000,0.43169046,0.79616827,1.18292268,2500,4611,6851,1433,2983,5042,0.24744291,0.51502184,0.87055308,0.21880204,0.31155172,0.43527452
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-11 00:00:00.000000,0.44458539,0.82180321,1.25045341,2575,4760,7243,1513,3140,5319,0.26130392,0.54219190,0.91833953,0.21124738,0.29157217,0.39447174
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-12 00:00:00.000000,0.46277344,0.84694053,1.30966388,2680,4905,7586,1593,3276,5592,0.27516310,0.56569552,0.96551592,0.20375272,0.27889466,0.38126176
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-13 00:00:00.000000,0.47624534,0.87186879,1.36937392,2758,5050,7931,1649,3400,5822,0.28484995,0.58710449,1.00518147,0.18877689,0.27237733,0.36773209
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-14 00:00:00.000000,0.48353233,0.89673939,1.41237733,2800,5194,8180,1674,3517,6017,0.28911821,0.60730904,1.03889213,0.18208738,0.26072266,0.35899700
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-15 00:00:00.000000,0.48945757,0.92094457,1.45379963,2835,5334,8420,1697,3631,6294,0.29304887,0.62687499,1.08672974,0.18186754,0.25357807,0.34781317
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-16 00:00:00.000000,0.49521241,0.94352244,1.50191736,2868,5465,8699,1719,3741,6588,0.29677505,0.64588841,1.13743588,0.17690723,0.25023299,0.34379960
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-17 00:00:00.000000,0.50082370,0.96297800,1.54374697,2900,5577,8941,1739,3844,6879,0.30036309,0.66372055,1.18765184,0.17397739,0.25031440,0.33958208
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-18 00:00:00.000000,0.50632221,0.97795480,1.58650136,2932,5664,9189,1759,3938,7138,0.30384841,0.67989930,1.23243520,0.17228624,0.24996227,0.33417828
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-19 00:00:00.000000,0.51173649,0.99175621,1.63000730,2964,5744,9441,1779,4024,7341,0.30725310,0.69486482,1.26745955,0.17143125,0.24437896,0.32687817
24003,0,USMarylandAnneArundel,Maryland,Anne Arundel,2021-11-11 04:15:32.365232,2020-04-20 00:00:00.000000,0.51712268,1.01406621,1.67272121,2995,5873,9688,1799,4106,7547,0.31059463,0.70890459,1.30308215,0.16715373,0.24181847,0.32453531
