FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-09 00:00:00.000000,0.00176255,0.00738989,0.01714134,1,7,17,0,3,9,0.00096666,0.00359959,0.00893328,0.50395981,0.71345586,0.93971691
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-10 00:00:00.000000,0.00200756,0.00831214,0.01924450,2,8,19,1,3,9,0.00101074,0.00367345,0.00911115,0.50415539,0.71345390,0.93903347
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-11 00:00:00.000000,0.00229578,0.00943755,0.02162938,2,9,22,1,4,9,0.00112322,0.00416489,0.00954164,0.50443887,0.71344925,0.93787206
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-12 00:00:00.000000,0.00262971,0.01070189,0.02432088,2,11,25,1,4,10,0.00127359,0.00473432,0.01022361,0.50484848,0.71343823,0.93590778
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-13 00:00:00.000000,0.00301467,0.01210971,0.02735365,3,12,28,1,5,11,0.00145394,0.00546349,0.01134663,0.50543771,0.71341211,0.93261221
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-14 00:00:00.000000,0.00345759,0.01371866,0.03020816,3,14,31,1,6,12,0.00166415,0.00617707,0.01263906,0.50627987,0.71091266,0.92715729
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-15 00:00:00.000000,0.00396664,0.01518710,0.03303568,4,15,33,1,7,14,0.00190698,0.00693888,0.01410958,0.50747255,0.71008736,0.91832729
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-16 00:00:00.000000,0.00654869,0.01940657,0.03831295,6,19,39,2,8,16,0.00218659,0.00785181,0.01577305,0.50913994,0.70838299,0.91457724
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-17 00:00:00.000000,0.00921301,0.02363192,0.04389170,9,24,45,3,9,18,0.00319366,0.00941385,0.01821275,0.50322792,0.71047336,0.91442845
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-18 00:00:00.000000,0.01227315,0.02883770,0.05001473,12,29,51,4,11,21,0.00457770,0.01143955,0.02120207,0.49786016,0.70432193,0.91414629
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-19 00:00:00.000000,0.01573786,0.03428318,0.05798514,16,35,59,6,14,25,0.00623083,0.01387756,0.02488434,0.50603934,0.70299912,0.91110397
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-20 00:00:00.000000,0.01965918,0.04038227,0.06774789,20,41,69,8,17,30,0.00789900,0.01679714,0.02968009,0.51528159,0.69699607,0.89850741
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-21 00:00:00.000000,0.02410093,0.04713617,0.07917275,24,48,81,10,20,36,0.00978803,0.02025793,0.03538083,0.52546911,0.69387979,0.88276508
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-22 00:00:00.000000,0.02854916,0.05499000,0.08912587,29,56,91,12,25,41,0.01192270,0.02436307,0.04076440,0.49833869,0.68250941,0.86153912
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-23 00:00:00.000000,0.03550764,0.06482227,0.09959117,36,66,102,14,29,46,0.01429416,0.02838065,0.04529802,0.48264792,0.67112536,0.84901875
24015,0,USMarylandCecil,Maryland,Cecil,2021-08-18 07:53:42.042527,2020-03-24 00:00:00.000000,0.04259548,0.07452042,0.10935427,43,76,112,17,33,52,0.01709244,0.03261545,0.05103243,0.48252525,0.66094454,0.85669179
