FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-09 00:00:00.000000,0.00114755,0.00284131,0.00574844,2,7,14,0,2,5,0.00009991,0.00086021,0.00221966,0.57351917,0.77062605,1.04816811
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-10 00:00:00.000000,0.00208931,0.00421190,0.00920814,5,10,23,0,3,6,0.00035056,0.00124565,0.00265276,0.57355109,0.77062575,1.04816807
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-11 00:00:00.000000,0.00255293,0.00556736,0.01281523,6,14,32,1,4,9,0.00069562,0.00173511,0.00372832,0.57359639,0.77062521,1.04816795
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-12 00:00:00.000000,0.00321395,0.00707345,0.01734977,8,18,44,2,6,13,0.00109351,0.00239973,0.00510683,0.57366118,0.77062407,1.04816753
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-13 00:00:00.000000,0.00379498,0.00899701,0.02236536,9,22,57,3,8,18,0.00149437,0.00318660,0.00710335,0.57375553,0.77062107,1.04816605
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-14 00:00:00.000000,0.00445347,0.01104208,0.02792991,11,28,71,4,10,24,0.00188249,0.00413391,0.00941376,0.57389880,0.77061197,1.04816069
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-15 00:00:00.000000,0.00520859,0.01347864,0.03411401,13,34,87,5,13,30,0.00223908,0.00511483,0.01209143,0.57413595,0.77058181,1.04814123
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-16 00:00:00.000000,0.00745703,0.01598563,0.03898382,19,40,99,6,16,38,0.00264302,0.00632709,0.01520735,0.57459057,0.77043096,1.04807016
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-17 00:00:00.000000,0.00956006,0.01968041,0.04435379,24,50,113,8,19,46,0.00346365,0.00769848,0.01823529,0.57563555,0.76515848,1.04781052
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-18 00:00:00.000000,0.01139249,0.02359473,0.05025494,29,60,128,11,24,54,0.00469435,0.00959375,0.02137381,0.57838881,0.76378016,1.04686436
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-19 00:00:00.000000,0.01405802,0.02753660,0.05689514,35,70,145,15,29,63,0.00619579,0.01161437,0.02474429,0.58561976,0.76062761,1.04268341
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-20 00:00:00.000000,0.01710208,0.03188812,0.06554448,43,81,167,20,35,72,0.00784783,0.01388660,0.02842666,0.59423911,0.75461167,1.02288271
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-21 00:00:00.000000,0.02056354,0.03730717,0.07412419,52,95,189,23,41,84,0.00929717,0.01635371,0.03309863,0.56966384,0.73723568,0.99304991
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-22 00:00:00.000000,0.02349679,0.04233822,0.08292783,60,108,211,27,48,98,0.01096140,0.01898701,0.03866793,0.55097599,0.72305943,0.98455256
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-23 00:00:00.000000,0.02804102,0.04916752,0.09200800,71,125,235,32,56,114,0.01286988,0.02203214,0.04491950,0.54178201,0.71689294,0.97736447
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-24 00:00:00.000000,0.03297641,0.05746645,0.10442531,84,146,266,38,66,133,0.01514092,0.02615656,0.05217272,0.54157595,0.71058892,0.96655246
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-25 00:00:00.000000,0.03845169,0.06647253,0.12098847,98,169,309,45,77,153,0.01776640,0.03032535,0.06027184,0.52708506,0.69642505,0.94920460
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-26 00:00:00.000000,0.04450872,0.07598000,0.13777774,113,194,351,52,89,177,0.02049249,0.03498982,0.06931791,0.52204512,0.68192611,0.92891278
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-27 00:00:00.000000,0.05175512,0.08704437,0.15630872,132,222,399,58,102,202,0.02299004,0.04028107,0.07927123,0.51502802,0.67377049,0.91722730
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-28 00:00:00.000000,0.05944468,0.10018890,0.17647348,151,255,450,67,118,232,0.02637316,0.04619797,0.09088646,0.50625163,0.65862612,0.89188907
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-29 00:00:00.000000,0.06812669,0.11271940,0.19397289,174,287,495,79,136,263,0.03098684,0.05349193,0.10323616,0.49123387,0.63651615,0.85688448
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-30 00:00:00.000000,0.07725159,0.12664824,0.21357052,197,323,545,92,155,297,0.03626036,0.06100953,0.11635475,0.48267761,0.61713464,0.84689429
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-03-31 00:00:00.000000,0.08757829,0.14259136,0.24714540,223,364,631,103,176,335,0.04035752,0.06927836,0.13115765,0.47829954,0.60588760,0.83465497
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-01 00:00:00.000000,0.09868591,0.16008351,0.28141705,252,408,718,111,198,376,0.04359028,0.07780137,0.14740337,0.47376198,0.60058371,0.82595090
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-02 00:00:00.000000,0.10890325,0.17739615,0.31466510,278,453,803,120,223,430,0.04699293,0.08734952,0.16859917,0.46280371,0.58964869,0.81490528
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-03 00:00:00.000000,0.11732738,0.19729551,0.36072776,299,503,921,132,249,491,0.05181475,0.09763652,0.19239663,0.44782044,0.56009592,0.78607988
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-04 00:00:00.000000,0.12902813,0.21625566,0.41081350,329,552,1049,150,280,564,0.05881441,0.10986972,0.22108558,0.43657500,0.54849220,0.77223345
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-05 00:00:00.000000,0.14250575,0.23654237,0.46206809,364,604,1180,164,307,646,0.06421853,0.12024251,0.25301945,0.38883202,0.52352828,0.72394001
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-06 00:00:00.000000,0.15653323,0.26044045,0.51226107,399,665,1308,181,334,733,0.07092894,0.13081675,0.28729629,0.37445683,0.49807855,0.70490948
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-07 00:00:00.000000,0.17021912,0.28733876,0.56051685,434,733,1431,198,362,824,0.07780320,0.14173919,0.32270212,0.37007040,0.47097576,0.69065015
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-08 00:00:00.000000,0.18377971,0.31255406,0.60318509,469,798,1540,216,394,915,0.08477179,0.15430865,0.35824748,0.36397610,0.45170397,0.63493834
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-09 00:00:00.000000,0.19796653,0.33230134,0.64100372,505,848,1637,234,428,1002,0.09178565,0.16779472,0.39232042,0.33087101,0.43585530,0.60923830
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-10 00:00:00.000000,0.21320132,0.35151388,0.68176955,544,897,1741,251,463,1082,0.09863117,0.18161493,0.42363548,0.32010471,0.42890607,0.59834482
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-11 00:00:00.000000,0.22888947,0.37198813,0.71616993,584,950,1829,268,499,1129,0.10512146,0.19570856,0.44205164,0.31138680,0.41599491,0.58658552
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-12 00:00:00.000000,0.24112088,0.39164092,0.75614617,615,1000,1931,284,534,1202,0.11129711,0.20909025,0.47069680,0.30479493,0.40751753,0.57151814
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-13 00:00:00.000000,0.24933446,0.41254730,0.79764650,636,1053,2037,299,562,1291,0.11730560,0.22010748,0.50556337,0.30269887,0.40228689,0.55284384
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-14 00:00:00.000000,0.26826850,0.43527587,0.84064395,685,1111,2147,319,593,1383,0.12489760,0.23225764,0.54179059,0.28875266,0.38774183,0.53308373
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-15 00:00:00.000000,0.28330399,0.45812757,0.88480973,723,1170,2260,343,623,1468,0.13430575,0.24423843,0.57493561,0.28482619,0.38553957,0.52151356
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-16 00:00:00.000000,0.29621267,0.47689602,0.92982780,756,1218,2375,368,655,1549,0.14413084,0.25644100,0.60671177,0.28057211,0.37273702,0.48760833
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-17 00:00:00.000000,0.30962348,0.49599655,0.97551021,790,1266,2491,388,694,1632,0.15226506,0.27183954,0.63921542,0.27209025,0.35700806,0.46895148
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-18 00:00:00.000000,0.32381013,0.51481742,1.02173180,827,1315,2609,401,731,1717,0.15702600,0.28622527,0.67235960,0.25717609,0.34786951,0.46539000
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-19 00:00:00.000000,0.34073144,0.53288127,1.06820933,870,1361,2728,425,765,1803,0.16672895,0.29987174,0.70605352,0.23663655,0.33717391,0.45531547
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-20 00:00:00.000000,0.35987105,0.55124956,1.11639399,919,1408,2851,455,801,1890,0.17829412,0.31363536,0.74016102,0.22189349,0.32516487,0.43422923
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-21 00:00:00.000000,0.37988999,0.57031245,1.16321514,970,1456,2971,479,842,1979,0.18776505,0.32982657,0.77491731,0.21848492,0.31093420,0.41442311
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-22 00:00:00.000000,0.39996661,0.58930705,1.20754650,1021,1505,3084,498,879,2068,0.19521358,0.34431580,0.80963636,0.21683526,0.29600250,0.39335202
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-23 00:00:00.000000,0.39921311,0.60853174,1.24837817,1019,1554,3188,517,914,2127,0.20258192,0.35812839,0.83295972,0.20982832,0.28732784,0.38781792
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-24 00:00:00.000000,0.41342900,0.62793337,1.28529625,1056,1603,3283,536,945,2185,0.20983852,0.37011350,0.85569855,0.20406175,0.27994164,0.38288820
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-25 00:00:00.000000,0.42832281,0.64387904,1.31851072,1094,1644,3368,553,969,2243,0.21677704,0.37948989,0.87831800,0.19611476,0.26901056,0.37649775
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-26 00:00:00.000000,0.43448768,0.65758289,1.34836272,1109,1679,3444,560,990,2300,0.21948169,0.38759667,0.90077439,0.18252255,0.25917163,0.36001864
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-27 00:00:00.000000,0.43365756,0.66988742,1.37206517,1107,1711,3504,569,1002,2355,0.22277584,0.39247507,0.92220541,0.17183696,0.24753926,0.34790236
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-28 00:00:00.000000,0.43280129,0.67247756,1.39003371,1105,1717,3550,566,1026,2398,0.22182505,0.40201574,0.93910475,0.16786495,0.23460186,0.34062764
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-29 00:00:00.000000,0.42934478,0.66782936,1.39969392,1096,1705,3575,567,1044,2419,0.22197586,0.40906480,0.94737672,0.15937229,0.23015749,0.33065377
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-04-30 00:00:00.000000,0.41775507,0.66544956,1.40388868,1067,1699,3586,575,1047,2419,0.22514871,0.41026512,0.94717116,0.15174101,0.21992123,0.31935985
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-05-01 00:00:00.000000,0.41978875,0.66025235,1.40545667,1072,1686,3590,590,1057,2403,0.23105661,0.41391002,0.94088366,0.14343518,0.21522365,0.31375686
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-05-02 00:00:00.000000,0.41624347,0.64906287,1.39081827,1063,1657,3552,604,1061,2377,0.23681073,0.41573086,0.93063856,0.14150757,0.20957079,0.30005911
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-05-03 00:00:00.000000,0.40843673,0.64814243,1.36338659,1043,1655,3482,614,1056,2344,0.24041865,0.41373453,0.91773134,0.14062461,0.20064976,0.27725689
24025,0,USMarylandHarford,Maryland,Harford,2021-02-23 00:09:24.859729,2020-05-04 00:00:00.000000,0.39952314,0.64190498,1.35487594,1020,1639,3460,598,1044,2305,0.23434840,0.40893944,0.90272117,0.13977963,0.18790587,0.27061583
