FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-09 00:00:00.000000,0.02531159,0.03687113,0.04872414,178,260,344,74,105,135,0.01060950,0.01498253,0.01923014,0.73447526,0.93129087,1.18266722
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-10 00:00:00.000000,0.03051991,0.04421464,0.05693189,215,312,402,99,134,172,0.01402835,0.01897560,0.02434781,0.73445792,0.93129069,1.18265367
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-11 00:00:00.000000,0.03671219,0.05261551,0.06766715,259,371,478,120,163,208,0.01708970,0.02307357,0.02953011,0.73443043,0.93129025,1.18263047
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-12 00:00:00.000000,0.04346781,0.06219956,0.07953184,307,439,562,145,194,249,0.02058270,0.02754513,0.03530878,0.73438786,0.93128916,1.18259074
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-13 00:00:00.000000,0.05137193,0.07377121,0.09417326,363,521,665,171,231,300,0.02427084,0.03276361,0.04245613,0.73432487,0.93125789,1.18070967
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-14 00:00:00.000000,0.06063132,0.08752387,0.11216325,428,618,792,201,274,362,0.02852021,0.03877709,0.05132238,0.73424062,0.93056269,1.17629472
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-15 00:00:00.000000,0.07312132,0.10362630,0.13308642,516,732,940,236,324,438,0.03351717,0.04592329,0.06205409,0.73415633,0.92793583,1.16887311
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-16 00:00:00.000000,0.08920182,0.12252954,0.15759910,630,866,1113,278,384,529,0.03939900,0.05445819,0.07490524,0.73417089,0.92584204,1.16788692
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-17 00:00:00.000000,0.10463318,0.14233384,0.18631209,739,1005,1316,327,455,641,0.04639037,0.06443666,0.09076539,0.73521190,0.92076325,1.16723660
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-18 00:00:00.000000,0.12192025,0.16741607,0.22416747,861,1183,1584,386,536,775,0.05464270,0.07586395,0.10977628,0.73654378,0.91389666,1.16515124
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-19 00:00:00.000000,0.14194441,0.19595070,0.26892694,1003,1384,1900,454,633,938,0.06435805,0.08969661,0.13274883,0.72507028,0.89830748,1.15835769
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-20 00:00:00.000000,0.16483244,0.22948047,0.32005109,1164,1621,2262,533,749,1105,0.07544142,0.10611417,0.15646477,0.71714235,0.88759453,1.07468904
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-21 00:00:00.000000,0.19001133,0.26827635,0.37742376,1342,1896,2667,623,875,1280,0.08819821,0.12386709,0.18111808,0.65331045,0.85548705,1.06726302
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-22 00:00:00.000000,0.22074550,0.31523058,0.44276357,1560,2227,3129,726,1024,1512,0.10278889,0.14499781,0.21399801,0.65237259,0.82304611,1.01866918
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-23 00:00:00.000000,0.25544334,0.36393962,0.50683116,1805,2572,3582,834,1187,1788,0.11800505,0.16803046,0.25299028,0.60752581,0.80325104,0.95050660
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-24 00:00:00.000000,0.29429235,0.41527920,0.57128250,2079,2935,4037,965,1379,2076,0.13660028,0.19518413,0.29376748,0.56876615,0.77199425,0.94651446
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-25 00:00:00.000000,0.33838279,0.47068959,0.65580217,2391,3326,4635,1106,1598,2408,0.15648702,0.22610935,0.34083788,0.53952109,0.73307122,0.94382086
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-26 00:00:00.000000,0.38140112,0.53178392,0.74001069,2695,3758,5230,1263,1807,2827,0.17871295,0.25575215,0.40000293,0.51102482,0.69275199,0.94158037
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-27 00:00:00.000000,0.42646915,0.59844091,0.81777422,3014,4229,5779,1433,2049,3136,0.20282935,0.29001081,0.44377604,0.49206740,0.66006732,0.93493279
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-28 00:00:00.000000,0.47511424,0.66859493,0.89321406,3357,4725,6313,1628,2332,3438,0.23041529,0.33007819,0.48656951,0.46595965,0.62659068,0.90447856
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-29 00:00:00.000000,0.54245540,0.73623577,0.97318166,3833,5203,6878,1825,2635,3831,0.25823739,0.37293760,0.54205924,0.42396772,0.59577915,0.86431623
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-30 00:00:00.000000,0.61538134,0.80279453,1.06343811,4349,5673,7516,2030,2939,4232,0.28731779,0.41591515,0.59879160,0.41943504,0.57101957,0.81325089
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-03-31 00:00:00.000000,0.67749230,0.87710077,1.17750862,4788,6199,8322,2250,3235,4659,0.31844775,0.45780488,0.65924172,0.41753734,0.55425259,0.73929142
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-01 00:00:00.000000,0.74307410,0.95899268,1.27935272,5251,6777,9042,2489,3534,5195,0.35220432,0.50012754,0.73505950,0.40721627,0.53652337,0.72345597
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-02 00:00:00.000000,0.80459216,1.03798593,1.37010177,5686,7336,9683,2766,3817,5669,0.39143294,0.54018715,0.80218903,0.40071745,0.51897711,0.68503877
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-03 00:00:00.000000,0.86991490,1.12840611,1.46137192,6148,7975,10328,3144,4172,6077,0.44490656,0.59030994,0.85983162,0.35480700,0.48987279,0.63999699
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-04 00:00:00.000000,0.92082806,1.20328805,1.56539521,6508,8504,11063,3404,4474,6490,0.48175855,0.63313318,0.91830985,0.34081639,0.45341352,0.57755111
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-05 00:00:00.000000,0.95985191,1.26442544,1.63917636,6783,8936,11585,3569,4756,6915,0.50507189,0.67298510,0.97843718,0.31350778,0.41540475,0.54431936
25021,0,USMassachusettsNorfolk,Massachusetts,Norfolk,2021-08-18 10:40:29.330409,2020-04-06 00:00:00.000000,1.00023466,1.32996002,1.72131897,7069,9399,12165,3728,5090,7298,0.52754196,0.72020067,1.03267727,0.29054176,0.39498105,0.50231125
