FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-09 00:00:00.000000,0.02797431,0.04596660,0.06957666,224,369,559,99,167,224,0.01231520,0.02081769,0.02796491,0.73090564,0.87276863,1.09636834
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-10 00:00:00.000000,0.03490385,0.05493713,0.08231628,280,441,661,123,209,291,0.01531145,0.02599852,0.03621098,0.73090577,0.87276644,1.09629619
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-11 00:00:00.000000,0.04291279,0.06611291,0.09851349,344,531,791,152,254,357,0.01892055,0.03170466,0.04442410,0.73090609,0.87276262,1.09607453
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-12 00:00:00.000000,0.05202478,0.08055970,0.11771211,418,647,946,189,308,428,0.02355380,0.03831912,0.05334791,0.73090679,0.87275595,1.09539291
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-13 00:00:00.000000,0.06304698,0.09610609,0.13992776,506,772,1124,233,362,505,0.02908791,0.04513253,0.06291452,0.73090774,0.87274432,1.09330429
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-14 00:00:00.000000,0.07637947,0.11341198,0.16449197,614,911,1322,286,432,595,0.03558610,0.05379930,0.07408483,0.73090447,0.87272401,1.08699696
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-15 00:00:00.000000,0.09250581,0.13736907,0.19331196,743,1104,1554,346,518,704,0.04309312,0.06452601,0.08767599,0.73085999,0.87268841,1.06880187
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-16 00:00:00.000000,0.11208808,0.16387010,0.22722898,901,1317,1826,423,626,840,0.05268870,0.07792123,0.10459266,0.73068947,0.87093808,1.05150619
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-17 00:00:00.000000,0.13489616,0.19547578,0.26721421,1084,1571,2148,514,755,1001,0.06400297,0.09401329,0.12461687,0.73551326,0.86656131,1.05045510
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-18 00:00:00.000000,0.16061236,0.23358166,0.31727938,1291,1877,2550,623,907,1199,0.07751909,0.11283790,0.14923617,0.72798417,0.85982199,1.04903075
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-19 00:00:00.000000,0.19109075,0.27909808,0.37684440,1536,2243,3029,753,1085,1458,0.09374777,0.13498171,0.18138304,0.71359738,0.85743173,1.04825450
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-20 00:00:00.000000,0.22974219,0.33293310,0.44735214,1846,2676,3596,910,1297,1790,0.11330365,0.16134480,0.22269749,0.69204309,0.84295885,1.04663265
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-21 00:00:00.000000,0.27558493,0.39288979,0.53077295,2215,3158,4266,1093,1531,2161,0.13600851,0.19049580,0.26886149,0.64083381,0.83670622,1.01462041
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-22 00:00:00.000000,0.32587100,0.46317212,0.63004238,2619,3723,5064,1294,1794,2517,0.16101466,0.22326553,0.31319171,0.59166176,0.79176713,0.96076687
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-23 00:00:00.000000,0.38434410,0.54479660,0.73731483,3089,4379,5927,1499,2123,2930,0.18653260,0.26419988,0.36452319,0.56859142,0.76091669,0.95147603
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-24 00:00:00.000000,0.45130456,0.63122506,0.84954029,3628,5074,6829,1723,2471,3428,0.21433787,0.30738500,0.42645048,0.56436299,0.72517825,0.95057770
25025,0,USMassachusettsSuffolk,Massachusetts,Suffolk,2021-11-27 20:03:14.994883,2020-03-25 00:00:00.000000,0.51652030,0.72578229,0.97462207,4152,5834,7835,1977,2946,3992,0.24602785,0.36651069,0.49659474,0.53617655,0.70364645,0.91544902
