FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-09 00:00:00.000000,0.00947372,0.02593511,0.06810819,2,6,15,0,2,8,0.00260593,0.01143707,0.03536316,0.35050772,0.47820607,0.67954871
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-10 00:00:00.000000,0.01484965,0.03169681,0.07645033,3,7,17,0,2,8,0.00348348,0.01250018,0.03583201,0.35050748,0.47808101,0.67954839
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-11 00:00:00.000000,0.01845972,0.03919702,0.09222356,4,9,21,1,3,9,0.00513163,0.01464447,0.03901539,0.35050701,0.47808053,0.67954722
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-12 00:00:00.000000,0.02223790,0.04645312,0.11224947,5,10,26,1,4,10,0.00699583,0.01806953,0.04470727,0.35050607,0.47807927,0.67954292
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-13 00:00:00.000000,0.02618346,0.05475533,0.13197960,6,12,30,2,5,12,0.00928135,0.02144670,0.05453041,0.35050419,0.47807560,0.67952712
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-14 00:00:00.000000,0.03029914,0.06248782,0.15305842,7,14,35,2,5,14,0.01171403,0.02514083,0.06334903,0.35050040,0.47806360,0.67946903
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-15 00:00:00.000000,0.03458962,0.07203305,0.17874559,8,16,41,3,6,17,0.01390702,0.02974830,0.07528987,0.35049257,0.47335992,0.67925529
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-16 00:00:00.000000,0.03818361,0.08167295,0.19373547,8,19,45,3,8,20,0.01650213,0.03446478,0.08740162,0.35047543,0.46890031,0.67847023
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-17 00:00:00.000000,0.04415422,0.09257067,0.20780950,10,21,48,4,9,22,0.01908805,0.03951618,0.09835944,0.35001950,0.46555012,0.67561499
26009,0,USMichiganAntrim,Michigan,Antrim,2021-02-23 00:22:30.284133,2020-03-18 00:00:00.000000,0.05180645,0.10457600,0.22142809,12,24,51,5,10,25,0.02232538,0.04534676,0.11053444,0.34943542,0.45786376,0.66561637
