FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-09 00:00:00.000000,0.00967614,0.01965225,0.04417646,2,6,13,1,3,7,0.00371472,0.01003327,0.02346903,0.36290325,0.44704052,0.59174062
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-10 00:00:00.000000,0.01272465,0.02348648,0.05056774,3,7,15,1,3,7,0.00448758,0.01067168,0.02367432,0.36290147,0.44682709,0.59173958
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-11 00:00:00.000000,0.01507550,0.02901861,0.05697064,4,8,17,1,3,8,0.00551965,0.01210723,0.02811786,0.36289681,0.44642581,0.59173673
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-12 00:00:00.000000,0.01819551,0.03256728,0.06379637,5,10,19,2,4,9,0.00683554,0.01427095,0.03134386,0.36288459,0.44567284,0.59152820
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-13 00:00:00.000000,0.02148021,0.03705527,0.07100878,6,11,21,2,5,10,0.00846731,0.01686055,0.03499527,0.36285258,0.44317629,0.59094868
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-14 00:00:00.000000,0.02493874,0.04139821,0.07859908,7,12,24,3,6,12,0.01017410,0.01960119,0.03896521,0.36276874,0.44071715,0.58945760
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-15 00:00:00.000000,0.02858338,0.04658798,0.08656988,8,14,26,3,6,13,0.01199490,0.02171529,0.04320605,0.36254965,0.43938627,0.58696872
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-16 00:00:00.000000,0.03410044,0.05298541,0.09358997,10,16,28,4,7,14,0.01392222,0.02459526,0.04769786,0.35456000,0.43256333,0.58257253
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-17 00:00:00.000000,0.03983034,0.05890861,0.10087540,12,18,31,5,8,16,0.01640419,0.02774942,0.05201740,0.35243964,0.42612460,0.56544843
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-18 00:00:00.000000,0.04424575,0.06447392,0.10758960,13,19,33,5,9,17,0.01894955,0.03142241,0.05632281,0.32984356,0.40753479,0.53530330
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-19 00:00:00.000000,0.04800216,0.07024260,0.11622765,14,21,35,6,10,18,0.02142328,0.03449028,0.06045667,0.29386485,0.38827450,0.52802926
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-20 00:00:00.000000,0.05146666,0.07519435,0.12161876,15,23,37,7,11,20,0.02310805,0.03688603,0.06470574,0.26212824,0.37016387,0.49284036
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-21 00:00:00.000000,0.05430440,0.07972142,0.13249158,16,24,41,7,12,20,0.02474866,0.04002209,0.06775923,0.24914237,0.33791218,0.46040042
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-22 00:00:00.000000,0.05629800,0.08171997,0.13741721,17,25,42,8,13,22,0.02670924,0.04268589,0.07151555,0.24161269,0.31709634,0.43283102
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-23 00:00:00.000000,0.05964496,0.08748406,0.14236461,18,27,44,8,13,23,0.02773625,0.04486025,0.07531577,0.23582102,0.30528385,0.42830869
26035,0,USMichiganClare,Michigan,Clare,2021-07-21 15:13:05.032845,2020-03-24 00:00:00.000000,0.06210293,0.09426851,0.14851493,19,29,45,9,14,25,0.02927750,0.04828483,0.08093452,0.22601556,0.29659422,0.41970306
