FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-09 00:00:00.000000,0.00234473,0.00490411,0.00705706,9,19,28,3,6,11,0.00085734,0.00167655,0.00293085,0.64990681,0.82510417,1.08411419
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-10 00:00:00.000000,0.00314759,0.00704683,0.00967091,12,28,39,4,10,14,0.00118517,0.00248443,0.00357440,0.64990441,0.82505813,1.08411398
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-11 00:00:00.000000,0.00409214,0.00929432,0.01282882,16,37,52,6,15,20,0.00165441,0.00369840,0.00493606,0.64990286,0.82498709,1.08408815
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-12 00:00:00.000000,0.00525795,0.01173338,0.01686889,21,47,68,8,20,26,0.00219241,0.00499621,0.00663392,0.64990608,0.82487934,1.08401458
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-13 00:00:00.000000,0.00661178,0.01495679,0.02158604,26,60,87,11,26,34,0.00282279,0.00651224,0.00855634,0.64992545,0.82472013,1.08390348
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-14 00:00:00.000000,0.00816618,0.01871617,0.02710678,33,75,110,14,33,43,0.00355437,0.00832537,0.01079770,0.64999195,0.82449455,1.08373670
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-15 00:00:00.000000,0.00992882,0.02307658,0.03324733,40,93,134,17,42,53,0.00440051,0.01036010,0.01325963,0.65018703,0.82419757,1.08348708
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-16 00:00:00.000000,0.01317047,0.02741104,0.04014387,53,111,162,22,51,66,0.00546093,0.01264199,0.01628198,0.65071877,0.82386150,1.08311007
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-17 00:00:00.000000,0.01706129,0.03245298,0.04843336,69,131,196,28,60,78,0.00714125,0.01486698,0.01944878,0.65210039,0.81913929,1.07665524
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-18 00:00:00.000000,0.02171308,0.03846408,0.05762930,88,156,233,37,70,93,0.00919606,0.01735653,0.02307404,0.65551445,0.81770404,1.07004294
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-19 00:00:00.000000,0.02716242,0.04551223,0.06814989,110,184,276,47,84,110,0.01172557,0.02072958,0.02731998,0.66328615,0.82187932,1.05663334
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-20 00:00:00.000000,0.03325644,0.05239736,0.08018554,134,212,325,59,100,131,0.01474608,0.02467584,0.03236989,0.67850582,0.82646612,1.05390412
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-21 00:00:00.000000,0.03949996,0.06129246,0.09389737,160,248,381,73,117,155,0.01800169,0.02889019,0.03831682,0.70353671,0.82872544,1.04726120
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-22 00:00:00.000000,0.04687044,0.07173325,0.10913211,190,291,442,87,137,184,0.02168478,0.03399897,0.04536326,0.72327957,0.82699538,1.03414662
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-23 00:00:00.000000,0.05545156,0.08257741,0.12389118,225,335,502,108,161,216,0.02671738,0.03969699,0.05340573,0.71873165,0.82555278,1.01628737
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-24 00:00:00.000000,0.06657960,0.09564764,0.14021133,270,388,568,130,187,253,0.03211696,0.04608599,0.06243943,0.71378867,0.81949482,1.01346198
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-25 00:00:00.000000,0.07969725,0.11155248,0.15779463,323,452,640,155,218,297,0.03832606,0.05388776,0.07338339,0.69363117,0.79966321,1.01345449
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-26 00:00:00.000000,0.09509092,0.13021927,0.17708641,385,528,718,185,255,343,0.04560092,0.06291261,0.08470598,0.66920576,0.76783352,1.02247165
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-27 00:00:00.000000,0.11211045,0.15034107,0.20284784,454,610,823,219,295,402,0.05416344,0.07293532,0.09907287,0.61059316,0.74367121,1.00733044
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-28 00:00:00.000000,0.13016059,0.17153808,0.22831095,528,696,926,260,342,474,0.06425055,0.08437762,0.11686809,0.55443357,0.72440270,0.99894995
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-29 00:00:00.000000,0.14937958,0.19535843,0.25966616,606,792,1053,298,398,551,0.07361039,0.09826526,0.13596247,0.50979159,0.68863086,0.96773846
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-30 00:00:00.000000,0.16715714,0.22161210,0.29080711,678,899,1180,328,461,645,0.08102159,0.11382489,0.15916089,0.49174609,0.65646289,0.89456805
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-03-31 00:00:00.000000,0.18640004,0.24901998,0.32322753,756,1010,1311,360,516,727,0.08891278,0.12728291,0.17918227,0.48338241,0.61079939,0.81645357
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-01 00:00:00.000000,0.20709131,0.26959921,0.35937035,840,1094,1458,409,575,810,0.10078785,0.14180116,0.19972361,0.47161341,0.59305835,0.74822333
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-02 00:00:00.000000,0.22611597,0.29362376,0.40247839,917,1191,1633,464,629,908,0.11447525,0.15504692,0.22384078,0.42561874,0.56748888,0.68890057
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-03 00:00:00.000000,0.24187730,0.31949008,0.45604613,981,1296,1850,521,685,1012,0.12845111,0.16895821,0.24946077,0.39691541,0.53536202,0.65978614
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-04 00:00:00.000000,0.25666474,0.34169319,0.51385695,1041,1386,2085,563,747,1119,0.13896719,0.18431627,0.27575179,0.37807289,0.47536138,0.61535693
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-05 00:00:00.000000,0.26153077,0.35712526,0.56704289,1061,1449,2301,593,803,1240,0.14620874,0.19790494,0.30565098,0.35431825,0.44066255,0.54660069
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-06 00:00:00.000000,0.26935063,0.37097036,0.59821816,1093,1505,2427,625,856,1359,0.15402256,0.21115917,0.33491761,0.33420481,0.40860000,0.51806651
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-07 00:00:00.000000,0.27554522,0.38123737,0.61971916,1118,1547,2514,650,890,1459,0.16036428,0.21949715,0.35959651,0.31706312,0.38721797,0.47797672
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-08 00:00:00.000000,0.28311972,0.38633390,0.65192354,1148,1567,2645,659,917,1564,0.16260725,0.22603031,0.38543105,0.29743638,0.37052439,0.47167651
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-09 00:00:00.000000,0.29069836,0.39363356,0.67445120,1179,1597,2737,678,940,1662,0.16716767,0.23169035,0.40960264,0.25809505,0.35603651,0.46549499
26049,0,USMichiganGenesee,Michigan,Genesee,2021-10-14 16:24:11.647300,2020-04-10 00:00:00.000000,0.29814681,0.39840238,0.68528075,1209,1616,2780,697,963,1730,0.17198301,0.23743243,0.42652899,0.24191783,0.32554830,0.44811024
