FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-09 00:00:00.000000,0.00160576,0.01702035,0.06225469,0,4,15,0,2,8,0.00088681,0.00847150,0.03311252,0.47630168,0.66730837,0.92099015
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-10 00:00:00.000000,0.00171556,0.01907047,0.06978285,0,4,17,0,2,8,0.00086691,0.00873610,0.03336334,0.47627174,0.66730053,0.92098961
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-11 00:00:00.000000,0.00183071,0.02140282,0.07758228,0,5,19,0,2,8,0.00088675,0.00958047,0.03488088,0.47622383,0.66728446,0.92098875
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-12 00:00:00.000000,0.00194965,0.02442848,0.08587735,0,6,21,0,2,9,0.00093676,0.01062717,0.03752532,0.47617176,0.66725150,0.92098738
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-13 00:00:00.000000,0.00207209,0.02766273,0.09483621,0,6,23,0,3,10,0.00100113,0.01202320,0.04190928,0.47616625,0.66718389,0.92098516
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-14 00:00:00.000000,0.00219834,0.03065925,0.10464656,0,7,26,0,3,11,0.00107235,0.01387450,0.04665048,0.47615707,0.66704542,0.92098146
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-15 00:00:00.000000,0.00232892,0.03433364,0.11544237,0,8,29,0,3,13,0.00114710,0.01586779,0.05183380,0.47614086,0.66676271,0.92097497
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-16 00:00:00.000000,0.01422150,0.04775109,0.13953655,3,11,35,0,4,14,0.00122410,0.01744447,0.05753163,0.47610862,0.66618972,0.92096249
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-17 00:00:00.000000,0.01971563,0.06162024,0.16274398,4,15,40,1,5,16,0.00502199,0.02137388,0.06414850,0.47603150,0.66504581,0.92093397
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-18 00:00:00.000000,0.02776069,0.07455040,0.18773224,6,18,47,1,6,18,0.00747715,0.02602428,0.07328697,0.47581113,0.66327993,0.97340552
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-19 00:00:00.000000,0.03467841,0.09014088,0.23048983,8,22,57,2,7,20,0.01056306,0.03100060,0.08249021,0.47505277,0.65246938,1.01570988
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-20 00:00:00.000000,0.04153309,0.10758922,0.27847284,10,27,69,3,9,24,0.01377884,0.03937272,0.09847530,0.46996336,0.65268486,1.01961124
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-21 00:00:00.000000,0.04616828,0.12328540,0.31046477,11,30,78,4,12,30,0.01738616,0.04813261,0.12107639,0.45433987,0.64310593,0.95148065
26069,0,USMichiganIosco,Michigan,Iosco,2021-01-20 23:31:38.670498,2020-03-22 00:00:00.000000,0.05110426,0.14143625,0.36827240,12,35,92,5,14,36,0.02051498,0.05614439,0.14691184,0.44397670,0.62864860,0.97028769
