FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-09 00:00:00.000000,0.00092537,0.00955476,0.05268425,0,1,5,0,0,3,0.00049754,0.00501129,0.03233789,0.35980697,0.52299769,0.69164229
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-10 00:00:00.000000,0.00108621,0.01074662,0.05634417,0,1,6,0,0,3,0.00054332,0.00521394,0.03137153,0.35976533,0.52298926,0.69163316
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-11 00:00:00.000000,0.00126354,0.01186739,0.06052544,0,1,6,0,0,3,0.00062304,0.00581550,0.03227910,0.35966757,0.52297354,0.69161605
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-12 00:00:00.000000,0.00146184,0.01288336,0.06511888,0,1,7,0,0,3,0.00072282,0.00637824,0.03413283,0.35943821,0.52294428,0.69158330
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-13 00:00:00.000000,0.00168517,0.01413394,0.07009166,0,1,7,0,0,4,0.00083858,0.00692448,0.03650488,0.35890202,0.52288988,0.69151894
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-14 00:00:00.000000,0.00193772,0.01541601,0.07544353,0,1,8,0,0,4,0.00097016,0.00745563,0.03921463,0.35766109,0.52278908,0.69138786
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-15 00:00:00.000000,0.00222404,0.01671804,0.08118621,0,1,8,0,0,4,0.00111907,0.00807297,0.04219156,0.35485839,0.52260334,0.69110674
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-16 00:00:00.000000,0.00252464,0.01826977,0.08743170,0,2,9,0,0,4,0.00128762,0.00890666,0.04483188,0.34978935,0.52226462,0.69045711
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-17 00:00:00.000000,0.00286446,0.01992111,0.09159919,0,2,10,0,1,5,0.00147867,0.00966620,0.04899333,0.34703456,0.51794552,0.68880302
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-18 00:00:00.000000,0.00325101,0.02161098,0.09318452,0,2,10,0,1,5,0.00165654,0.01040174,0.05038137,0.34240044,0.51188646,0.68414201
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-19 00:00:00.000000,0.00359611,0.02292109,0.09457172,0,2,10,0,1,5,0.00181112,0.01132412,0.05130405,0.33516799,0.49789999,0.68144659
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-20 00:00:00.000000,0.00395958,0.02438033,0.09561107,0,2,10,0,1,5,0.00198308,0.01223270,0.05215212,0.32486662,0.48529276,0.68509274
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-21 00:00:00.000000,0.00430773,0.02523625,0.09614590,0,2,10,0,1,5,0.00218510,0.01294968,0.05285974,0.31180054,0.46640742,0.68714024
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-22 00:00:00.000000,0.00487735,0.02586465,0.09609033,0,2,10,0,1,5,0.00239887,0.01371666,0.05334871,0.29753867,0.43962489,0.69529700
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-23 00:00:00.000000,0.00544031,0.02760164,0.09546926,0,3,10,0,1,5,0.00265602,0.01465664,0.05355659,0.28138001,0.41631463,0.68972925
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-24 00:00:00.000000,0.00602340,0.02994220,0.09815038,0,3,10,0,1,6,0.00295319,0.01506700,0.05662505,0.27383485,0.39640969,0.68711728
26071,0,USMichiganIron,Michigan,Iron,2021-09-29 15:58:39.974454,2020-03-25 00:00:00.000000,0.00612642,0.03095651,0.10415427,0,3,11,0,1,6,0.00329241,0.01547549,0.06011252,0.26399579,0.38007129,0.68657683
