FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-09 00:00:00.000000,0.00039786,0.00516887,0.01812817,0,3,12,0,1,7,0.00020419,0.00264286,0.01057872,0.41706384,0.55013842,0.71974202
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-10 00:00:00.000000,0.00042410,0.00548873,0.01871198,0,3,13,0,1,7,0.00020919,0.00279300,0.01044557,0.41706384,0.55010911,0.71973826
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-11 00:00:00.000000,0.00045320,0.00580060,0.01949877,0,4,13,0,2,7,0.00022456,0.00300905,0.01070949,0.41706384,0.55005722,0.71973192
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-12 00:00:00.000000,0.00048390,0.00631367,0.02038547,0,4,14,0,2,7,0.00024390,0.00322429,0.01113093,0.41693769,0.54996452,0.71972123
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-13 00:00:00.000000,0.00051562,0.00702717,0.02133663,0,4,14,0,2,8,0.00026464,0.00355645,0.01162492,0.41594064,0.54979727,0.71970321
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-14 00:00:00.000000,0.00054795,0.00773886,0.02234084,0,5,15,0,2,8,0.00028412,0.00385758,0.01216164,0.41417595,0.54949250,0.71967284
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-15 00:00:00.000000,0.00058054,0.00838587,0.02367850,0,5,16,0,2,9,0.00030285,0.00418612,0.01318441,0.41314809,0.54893145,0.71962165
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-16 00:00:00.000000,0.00273484,0.01165856,0.02940190,1,8,20,0,3,9,0.00032146,0.00445331,0.01426433,0.41060195,0.54788890,0.71953541
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-17 00:00:00.000000,0.00407909,0.01500170,0.03545328,2,10,24,0,4,11,0.00110178,0.00597651,0.01661106,0.39751494,0.54405734,0.71939024
26073,0,USMichiganIsabella,Michigan,Isabella,2021-08-18 10:24:52.350530,2020-03-18 00:00:00.000000,0.00486996,0.01752728,0.04232751,3,12,29,1,5,14,0.00190910,0.00775817,0.02038122,0.38701875,0.51872740,0.71914621
