FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-09 00:00:00.000000,0.02616877,0.03929508,0.05927513,457,687,1036,202,316,416,0.01158429,0.01810319,0.02380959,0.83251702,0.95431123,1.21907437
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-10 00:00:00.000000,0.03192543,0.04776466,0.07070694,558,835,1236,264,413,548,0.01514626,0.02362789,0.03133715,0.83251687,0.95431122,1.21907332
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-11 00:00:00.000000,0.03835489,0.05836566,0.08528996,670,1021,1492,331,507,681,0.01893767,0.02901490,0.03898340,0.83251656,0.95431122,1.21907156
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-12 00:00:00.000000,0.04612051,0.07075423,0.10321293,806,1237,1805,410,620,837,0.02345923,0.03549368,0.04786897,0.83251592,0.95431122,1.21906853
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-13 00:00:00.000000,0.05567101,0.08596650,0.12500551,973,1503,2186,507,746,1025,0.02898787,0.04268696,0.05860275,0.83251462,0.95431122,1.21906320
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-14 00:00:00.000000,0.06867823,0.10372816,0.15118640,1201,1814,2644,617,902,1253,0.03529078,0.05159393,0.07167806,0.83251196,0.95431122,1.21905337
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-15 00:00:00.000000,0.08467347,0.12554269,0.17900255,1481,2196,3131,753,1092,1533,0.04305229,0.06247362,0.08765127,0.83250650,0.95431124,1.21903407
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-16 00:00:00.000000,0.10416732,0.15103017,0.20972774,1822,2642,3668,910,1311,1869,0.05205770,0.07496288,0.10688380,0.83249530,0.95358801,1.21899308
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-17 00:00:00.000000,0.12812421,0.18305440,0.25842313,2241,3202,4520,1095,1565,2252,0.06261782,0.08951590,0.12875574,0.83247229,0.94769721,1.21889846
26163,0,USMichiganWayne,Michigan,Wayne,2021-03-04 21:19:56.362014,2020-03-18 00:00:00.000000,0.15743023,0.22318479,0.31540974,2753,3904,5517,1323,1904,2731,0.07565318,0.10887935,0.15611914,0.81934592,0.94368485,1.21606246
