FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-09 00:00:00.000000,0.00157598,0.00589998,0.01762599,1,3,11,0,1,5,0.00022167,0.00252206,0.00867257,0.40015090,0.53800879,0.75333160
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-10 00:00:00.000000,0.00274437,0.00781874,0.02333013,1,5,14,0,1,6,0.00054455,0.00299237,0.00979209,0.40015098,0.53800782,0.75328133
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-11 00:00:00.000000,0.00397090,0.00985106,0.02717978,2,6,17,0,2,7,0.00101966,0.00362059,0.01120131,0.40015119,0.53800505,0.75314411
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-12 00:00:00.000000,0.00512400,0.01209339,0.03104932,3,7,19,1,2,8,0.00162881,0.00447856,0.01310090,0.40015177,0.53780081,0.75277020
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-13 00:00:00.000000,0.00630299,0.01457447,0.03705149,4,9,23,1,3,10,0.00235309,0.00549187,0.01633959,0.40015344,0.53661003,0.75175607
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-14 00:00:00.000000,0.00738083,0.01752193,0.04414875,4,11,28,1,4,11,0.00299986,0.00677387,0.01850256,0.40015854,0.53644109,0.74904021
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-15 00:00:00.000000,0.00856606,0.02075735,0.05200122,5,13,33,2,5,13,0.00360382,0.00821553,0.02093922,0.39047465,0.53616575,0.74200846
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-16 00:00:00.000000,0.01041199,0.02511043,0.06023787,6,16,38,2,6,15,0.00426592,0.00994219,0.02364334,0.37996219,0.53540269,0.72529072
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-17 00:00:00.000000,0.01413553,0.02984120,0.06939784,9,19,44,3,7,17,0.00513573,0.01212432,0.02777502,0.36888514,0.52791348,0.69566980
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-18 00:00:00.000000,0.01679185,0.03502736,0.07958070,10,22,51,4,9,20,0.00702422,0.01460864,0.03245173,0.35675015,0.52327032,0.69445541
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-19 00:00:00.000000,0.01968325,0.04032178,0.08873054,12,25,56,5,11,24,0.00848777,0.01742784,0.03760030,0.34594653,0.51223992,0.68085385
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-20 00:00:00.000000,0.02275243,0.04618528,0.09589355,14,29,61,6,13,27,0.01001785,0.02042257,0.04329738,0.33575874,0.49539849,0.66639409
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-21 00:00:00.000000,0.02603957,0.05190863,0.10324392,16,33,66,7,15,31,0.01166790,0.02339052,0.04957640,0.32635853,0.47552664,0.63609699
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-22 00:00:00.000000,0.02985322,0.05865155,0.11088403,19,37,71,9,17,35,0.01417836,0.02669983,0.05503464,0.31775471,0.45903833,0.61952455
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-23 00:00:00.000000,0.03534308,0.06512888,0.11910763,22,41,76,10,19,38,0.01647821,0.03051971,0.05946341,0.30992723,0.44639167,0.56339232
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-24 00:00:00.000000,0.04052278,0.07340928,0.12877067,26,47,82,12,22,41,0.01886698,0.03499623,0.06487251,0.30268591,0.43186338,0.55815929
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-25 00:00:00.000000,0.04596973,0.08244490,0.14045215,29,52,90,13,25,46,0.02120677,0.03944851,0.07204948,0.29536366,0.42078454,0.54786018
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-26 00:00:00.000000,0.05166040,0.09079339,0.15649484,33,58,100,15,28,50,0.02372697,0.04468971,0.07931262,0.28711035,0.41466459,0.53172719
27027,0,USMinnesotaClay,Minnesota,Clay,2021-11-27 19:48:03.517812,2020-03-27 00:00:00.000000,0.05759570,0.09932200,0.17375492,36,63,111,16,32,55,0.02644843,0.04985848,0.08610406,0.27762452,0.40581242,0.51221509
