FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-09 00:00:00.000000,0.00177932,0.01817059,0.06876361,0,1,7,0,1,4,0.00102733,0.01013327,0.03976530,0.36274386,0.50428508,0.67332449
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-10 00:00:00.000000,0.00202903,0.01987521,0.07068762,0,2,7,0,1,3,0.00107992,0.00999435,0.03667553,0.36274372,0.50427777,0.67318196
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-11 00:00:00.000000,0.00229814,0.02177370,0.07463349,0,2,7,0,1,3,0.00118698,0.01088522,0.03626305,0.36274321,0.50426081,0.67289723
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-12 00:00:00.000000,0.00259512,0.02342602,0.08058587,0,2,8,0,1,4,0.00132870,0.01192488,0.03774735,0.36274147,0.50422114,0.67232907
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-13 00:00:00.000000,0.00292639,0.02528685,0.08676908,0,2,9,0,1,4,0.00149710,0.01311377,0.04001863,0.36273538,0.49997125,0.67119785
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-14 00:00:00.000000,0.00329769,0.02721600,0.09324323,0,2,9,0,1,4,0.00168997,0.01460558,0.04279166,0.36271417,0.49975593,0.66895541
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-15 00:00:00.000000,0.00371476,0.02943260,0.10004640,0,3,10,0,1,4,0.00190790,0.01592303,0.04592122,0.36264023,0.49828621,0.66454868
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-16 00:00:00.000000,0.00418373,0.03158459,0.10718803,0,3,11,0,1,5,0.00215304,0.01673622,0.04932543,0.36238299,0.49606774,0.65603510
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-17 00:00:00.000000,0.00471127,0.03399240,0.11462766,0,3,12,0,1,5,0.00242844,0.01773207,0.05296056,0.36149477,0.49239272,0.64644938
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-18 00:00:00.000000,0.00530465,0.03689677,0.12221872,0,3,13,0,2,5,0.00273781,0.01925880,0.05523755,0.35813598,0.48217814,0.64578106
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-19 00:00:00.000000,0.00597050,0.03902179,0.12624184,0,4,13,0,2,5,0.00308539,0.02030702,0.05612080,0.34815444,0.46899832,0.63473359
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-20 00:00:00.000000,0.00670725,0.04203744,0.12774621,0,4,13,0,2,6,0.00347554,0.02122155,0.05827295,0.30367754,0.45709310,0.63206975
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-21 00:00:00.000000,0.00747870,0.04459534,0.12907380,0,4,13,0,2,6,0.00391035,0.02269117,0.05976888,0.27141481,0.42770078,0.62441797
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-22 00:00:00.000000,0.00824751,0.04690808,0.13017639,0,4,13,0,2,6,0.00438077,0.02419821,0.06337929,0.25413610,0.40845814,0.59354837
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-23 00:00:00.000000,0.00905891,0.04859094,0.13072529,0,5,13,0,2,7,0.00479487,0.02560641,0.06689613,0.25304536,0.39972449,0.57433816
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-24 00:00:00.000000,0.00994577,0.05004713,0.13242805,1,5,14,0,2,7,0.00521378,0.02641526,0.06798331,0.24862314,0.37828609,0.57077567
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-25 00:00:00.000000,0.01091991,0.05095760,0.13316239,1,5,14,0,2,7,0.00565870,0.02740187,0.06876958,0.23939746,0.35911769,0.56493881
27075,0,USMinnesotaLake,Minnesota,Lake,2021-09-16 00:04:14.423168,2020-03-26 00:00:00.000000,0.01198962,0.05158480,0.13325948,1,5,14,0,3,7,0.00612096,0.02896701,0.07066571,0.22135329,0.35224028,0.55606753
