FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-09 00:00:00.000000,0.00124833,0.00758794,0.02047482,0,2,6,0,1,4,0.00076883,0.00439561,0.01332294,0.36196849,0.50495942,0.63206916
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-10 00:00:00.000000,0.00133181,0.00835335,0.02127416,0,2,6,0,1,4,0.00076043,0.00445080,0.01310247,0.36196849,0.50493261,0.63206861
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-11 00:00:00.000000,0.00149270,0.00922032,0.02218672,0,2,6,0,1,4,0.00078446,0.00459248,0.01329992,0.36196848,0.50487641,0.63206591
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-12 00:00:00.000000,0.00167360,0.01001007,0.02317881,0,3,7,0,1,4,0.00082529,0.00480129,0.01371066,0.36196847,0.50425428,0.63205270
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-13 00:00:00.000000,0.00186317,0.01079174,0.02533194,0,3,7,0,1,4,0.00087545,0.00508021,0.01423896,0.36196841,0.50368947,0.63198799
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-14 00:00:00.000000,0.00206339,0.01166436,0.02769093,0,3,8,0,1,4,0.00093147,0.00542239,0.01484025,0.36196816,0.50318969,0.63167098
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-15 00:00:00.000000,0.00227629,0.01279039,0.03023093,0,4,9,0,1,4,0.00103219,0.00587832,0.01549410,0.36196709,0.50016209,0.63012758
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-16 00:00:00.000000,0.00596939,0.01583471,0.03615447,1,4,11,0,2,5,0.00114172,0.00642030,0.01619141,0.36137797,0.49787745,0.62289682
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-17 00:00:00.000000,0.00828521,0.02066820,0.04535361,2,6,14,0,2,5,0.00224471,0.00764717,0.01802144,0.35409798,0.48918463,0.61851737
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-18 00:00:00.000000,0.01008760,0.02459172,0.05535515,3,7,17,1,2,6,0.00373719,0.00956490,0.02224837,0.32574204,0.47642877,0.61131752
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-19 00:00:00.000000,0.01276543,0.02902099,0.06625742,4,9,20,1,3,8,0.00477745,0.01146692,0.02740063,0.32356653,0.45840724,0.59008345
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-20 00:00:00.000000,0.01536522,0.03370155,0.07781798,4,10,24,1,4,10,0.00595586,0.01400613,0.03327510,0.30453745,0.43758204,0.58056682
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-21 00:00:00.000000,0.01814212,0.03862865,0.08237673,5,12,25,2,5,12,0.00726967,0.01617010,0.03939983,0.28373047,0.40657675,0.56894908
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-22 00:00:00.000000,0.02086629,0.04424387,0.09076372,6,13,28,2,5,13,0.00870993,0.01889032,0.04208121,0.25811085,0.39178125,0.54535072
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-23 00:00:00.000000,0.02516136,0.04935576,0.10012810,7,15,31,3,6,15,0.01008456,0.02135956,0.04856720,0.25193282,0.37355352,0.51861714
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-24 00:00:00.000000,0.02923490,0.05426584,0.11002503,9,17,34,3,7,17,0.01218026,0.02434305,0.05555179,0.24222065,0.35848500,0.50471169
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-25 00:00:00.000000,0.03298313,0.05857736,0.11722516,10,18,36,4,8,18,0.01456735,0.02688126,0.05996210,0.22729174,0.34791725,0.47796607
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-26 00:00:00.000000,0.03624990,0.06392188,0.13134921,11,20,41,5,9,19,0.01653329,0.03044497,0.06359990,0.22345167,0.34079212,0.46942934
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-27 00:00:00.000000,0.03955666,0.06880875,0.14165178,12,21,44,5,10,21,0.01798108,0.03312587,0.06703468,0.21372611,0.32859870,0.45835815
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-28 00:00:00.000000,0.04286214,0.07571068,0.15100668,13,23,47,6,11,22,0.01966560,0.03642410,0.07230339,0.20656022,0.31221600,0.42446582
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-29 00:00:00.000000,0.04616579,0.08287780,0.16074424,14,25,50,6,12,25,0.02143956,0.04041261,0.08135091,0.20368300,0.29662503,0.41803394
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-30 00:00:00.000000,0.05046577,0.09001718,0.17032022,15,28,53,7,13,28,0.02322509,0.04301511,0.09031514,0.20009351,0.28722977,0.41477602
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-03-31 00:00:00.000000,0.05978862,0.09516808,0.17963805,18,29,56,8,14,30,0.02578257,0.04636607,0.09771627,0.19882068,0.27601993,0.38991991
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-01 00:00:00.000000,0.06634719,0.10199008,0.18889244,20,31,59,9,15,32,0.03015078,0.04972820,0.10398938,0.19463346,0.27069585,0.37774203
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-02 00:00:00.000000,0.06963332,0.10699226,0.19807718,21,33,62,10,17,34,0.03473078,0.05420825,0.10943973,0.18645234,0.25958832,0.36881150
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-03 00:00:00.000000,0.07143962,0.11496300,0.20790134,22,36,65,11,18,35,0.03764459,0.05787918,0.11421363,0.17929010,0.25604491,0.34313884
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-04 00:00:00.000000,0.07335424,0.12049257,0.21582466,23,37,67,12,19,37,0.04057063,0.06107897,0.11828686,0.16980037,0.25009788,0.33263431
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-05 00:00:00.000000,0.07597875,0.12629110,0.22399946,23,39,70,13,20,38,0.04206076,0.06464387,0.12154332,0.15624384,0.23938255,0.31600938
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-06 00:00:00.000000,0.07931902,0.13139667,0.23508750,24,41,73,13,21,39,0.04326157,0.06799856,0.12617842,0.14821226,0.22722032,0.31246317
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-07 00:00:00.000000,0.08318043,0.13742683,0.24052736,26,43,75,14,22,41,0.04490535,0.07082459,0.13147545,0.14405693,0.22036873,0.30522017
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-08 00:00:00.000000,0.08551028,0.14368797,0.24572637,26,45,77,14,23,42,0.04659309,0.07395796,0.13472809,0.13684373,0.21559660,0.29453918
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-09 00:00:00.000000,0.08852683,0.15109901,0.25621978,27,47,80,15,24,43,0.04804137,0.07844005,0.13769548,0.13397035,0.21049914,0.29377500
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-10 00:00:00.000000,0.09145453,0.15688270,0.26519419,28,49,83,15,25,44,0.04784928,0.08236562,0.14149797,0.13200413,0.20726166,0.28747926
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-11 00:00:00.000000,0.09416047,0.16170911,0.26942695,29,50,84,15,27,46,0.04814521,0.08627148,0.14779209,0.12960246,0.20083083,0.29574449
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-12 00:00:00.000000,0.09659442,0.16724331,0.27278520,30,52,85,15,27,47,0.04968592,0.08830803,0.15272764,0.12347418,0.19265548,0.28258760
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-13 00:00:00.000000,0.10474352,0.17178441,0.28740817,32,53,90,15,28,49,0.05082490,0.09128825,0.15653955,0.12005774,0.18923416,0.27077740
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-14 00:00:00.000000,0.10781793,0.17697843,0.30174316,33,55,94,16,30,50,0.05237978,0.09625529,0.16216456,0.11558626,0.18403820,0.27048533
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-15 00:00:00.000000,0.11520610,0.18517141,0.31602382,36,58,99,17,31,52,0.05523102,0.10054869,0.16893879,0.11183718,0.18162657,0.26973498
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-16 00:00:00.000000,0.12578303,0.19206017,0.33133546,39,60,103,18,32,55,0.05883697,0.10470901,0.17640070,0.10912688,0.17883865,0.26650753
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-17 00:00:00.000000,0.13007550,0.19639483,0.36271492,40,61,113,19,33,57,0.06285989,0.10803426,0.18333866,0.10844836,0.17223256,0.26139039
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-18 00:00:00.000000,0.13432168,0.20009035,0.36870661,42,62,115,21,34,60,0.06786825,0.11146804,0.19313327,0.10844159,0.16460894,0.25545340
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-19 00:00:00.000000,0.13463676,0.20026893,0.36969615,42,62,115,22,35,63,0.07129056,0.11459063,0.20238590,0.10675331,0.15902993,0.24592978
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-20 00:00:00.000000,0.13828343,0.19994543,0.36571818,43,62,114,23,36,65,0.07545750,0.11649731,0.21027748,0.10580434,0.15510903,0.24801273
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-21 00:00:00.000000,0.13751922,0.20241999,0.36113916,43,63,113,24,36,66,0.07669135,0.11725277,0.21253632,0.10469361,0.15206995,0.22826021
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-22 00:00:00.000000,0.13649156,0.20379872,0.35623535,42,63,111,23,36,66,0.07455316,0.11779589,0.21261407,0.10080171,0.14813757,0.22660050
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-23 00:00:00.000000,0.13502329,0.20557172,0.35118328,42,64,110,23,36,66,0.07553298,0.11770863,0.21282624,0.09852880,0.14418044,0.22510607
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-24 00:00:00.000000,0.13314994,0.20396976,0.34607099,41,63,108,24,37,66,0.07750581,0.11872107,0.21199905,0.09487263,0.13464576,0.22074453
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-25 00:00:00.000000,0.13116002,0.20000895,0.34093818,41,62,106,24,37,66,0.07676333,0.11903933,0.21044685,0.08416936,0.12919969,0.21978909
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-26 00:00:00.000000,0.12917419,0.19823278,0.33570638,40,62,105,23,37,65,0.07575139,0.11924256,0.20834618,0.08083435,0.12512463,0.22264863
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-27 00:00:00.000000,0.12767671,0.19670076,0.32742255,40,61,102,23,36,64,0.07467435,0.11689696,0.20574424,0.07798545,0.11991545,0.21418774
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-28 00:00:00.000000,0.12623270,0.19420542,0.31881419,39,60,99,23,35,63,0.07495570,0.11437354,0.20199248,0.07741807,0.11748323,0.18720337
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-29 00:00:00.000000,0.12461338,0.19329756,0.32277916,39,60,101,23,35,61,0.07560962,0.11386857,0.19743281,0.07665838,0.11441323,0.18696011
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-04-30 00:00:00.000000,0.12323292,0.19128504,0.33046846,38,59,103,23,35,60,0.07394520,0.11354409,0.19237215,0.07623402,0.11308107,0.18174523
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-05-01 00:00:00.000000,0.12147191,0.18734693,0.33565751,38,58,105,22,34,59,0.07265902,0.11060892,0.18940268,0.07503951,0.11269373,0.17759623
27119,0,USMinnesotaPolk,Minnesota,Polk,2021-11-11 00:20:33.026845,2020-05-02 00:00:00.000000,0.11950150,0.18503199,0.33820448,37,58,106,22,34,60,0.07103511,0.10951840,0.19289395,0.07335042,0.10969709,0.17648234
