FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-09 00:00:00.000000,0.00063599,0.00208539,0.00425887,0,2,5,0,0,2,0.00008477,0.00063605,0.00192390,0.40713890,0.54680228,0.70554407
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-10 00:00:00.000000,0.00093445,0.00288088,0.00559711,1,3,7,0,1,2,0.00022216,0.00083290,0.00202745,0.40713885,0.54680205,0.70426923
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-11 00:00:00.000000,0.00124839,0.00363774,0.00699326,1,5,9,0,1,3,0.00039583,0.00114652,0.00242201,0.40713876,0.54680146,0.70208379
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-12 00:00:00.000000,0.00158644,0.00436250,0.00852585,2,6,11,0,2,4,0.00055423,0.00155293,0.00299408,0.40713854,0.54679989,0.70113246
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-13 00:00:00.000000,0.00195527,0.00506010,0.01019966,2,7,14,1,2,5,0.00073948,0.00190186,0.00368754,0.40713795,0.54679580,0.70106714
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-14 00:00:00.000000,0.00236062,0.00606989,0.01182878,3,8,16,1,3,6,0.00094770,0.00235162,0.00461536,0.40713626,0.54551845,0.70091958
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-15 00:00:00.000000,0.00280795,0.00729565,0.01374108,3,10,19,1,4,7,0.00117799,0.00292187,0.00560804,0.40713127,0.54247145,0.70058593
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-16 00:00:00.000000,0.00371741,0.00887502,0.01689455,5,12,23,1,4,9,0.00143099,0.00350747,0.00669604,0.40711669,0.54177881,0.69947762
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-17 00:00:00.000000,0.00488656,0.01048663,0.01995120,6,14,27,2,5,10,0.00175164,0.00412788,0.00792182,0.40667583,0.53171646,0.69407212
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-18 00:00:00.000000,0.00616510,0.01223940,0.02355678,8,16,32,3,6,12,0.00232849,0.00489593,0.00931544,0.35323110,0.52881119,0.69360672
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-19 00:00:00.000000,0.00733056,0.01374241,0.02737427,10,19,37,4,8,15,0.00290158,0.00580252,0.01107732,0.34240708,0.51652022,0.68562171
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-20 00:00:00.000000,0.00830855,0.01529486,0.03160071,11,21,43,4,9,18,0.00339664,0.00661961,0.01307028,0.34103164,0.50849632,0.68407811
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-21 00:00:00.000000,0.00933803,0.01733339,0.03595290,12,23,49,5,10,20,0.00387572,0.00735878,0.01507474,0.34079585,0.48722725,0.66170989
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-22 00:00:00.000000,0.01037025,0.01951251,0.04042886,14,27,55,6,11,23,0.00434219,0.00815292,0.01692776,0.30265668,0.46408541,0.66537439
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-23 00:00:00.000000,0.01131969,0.02210410,0.04479383,15,30,61,6,12,26,0.00497096,0.00918360,0.01885898,0.30088590,0.44404187,0.63199009
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-24 00:00:00.000000,0.01232109,0.02444478,0.04834555,17,33,66,7,14,28,0.00552484,0.01043132,0.02070948,0.30025092,0.43214886,0.62482010
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-25 00:00:00.000000,0.01356298,0.02720485,0.05159553,18,37,71,8,16,31,0.00624767,0.01192219,0.02285725,0.29998439,0.42173707,0.60476853
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-26 00:00:00.000000,0.01505806,0.03051832,0.05481678,20,42,75,9,18,34,0.00711238,0.01346427,0.02518169,0.29096256,0.41326857,0.60308488
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-27 00:00:00.000000,0.01662983,0.03350285,0.05917484,23,46,81,11,21,38,0.00805757,0.01523265,0.02763516,0.27874443,0.40454608,0.60197187
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-28 00:00:00.000000,0.01826909,0.03564363,0.06343268,25,49,87,12,23,42,0.00903965,0.01696401,0.03062869,0.27197603,0.40092130,0.55513765
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-29 00:00:00.000000,0.01998999,0.03843490,0.06762865,27,53,93,13,25,44,0.01000868,0.01868182,0.03239377,0.26802337,0.38329864,0.53813299
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-30 00:00:00.000000,0.02359890,0.04142730,0.07174655,32,57,99,15,28,48,0.01102891,0.02068642,0.03492765,0.24686023,0.37826181,0.53092300
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-03-31 00:00:00.000000,0.02732551,0.04502968,0.07593987,37,62,105,16,31,52,0.01206982,0.02250297,0.03766507,0.23376823,0.37315877,0.52105533
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-01 00:00:00.000000,0.02973831,0.04864987,0.08025684,41,67,111,17,33,56,0.01290289,0.02404217,0.04049810,0.23441354,0.37079105,0.51987267
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-02 00:00:00.000000,0.03146632,0.05252674,0.08669685,43,72,119,19,35,59,0.01375313,0.02599755,0.04334758,0.23810798,0.36953880,0.51970333
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-03 00:00:00.000000,0.03339474,0.05665645,0.09610861,46,78,132,20,38,64,0.01489378,0.02792536,0.04625072,0.24755242,0.36589594,0.51797690
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-04 00:00:00.000000,0.03516395,0.05998000,0.10612845,48,82,146,23,41,68,0.01697011,0.02994826,0.04923594,0.25685022,0.36387904,0.50184707
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-05 00:00:00.000000,0.03759894,0.06334413,0.11353745,52,87,157,24,44,74,0.01802246,0.03203802,0.05393133,0.24780274,0.35806228,0.48256274
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-06 00:00:00.000000,0.04060997,0.06800322,0.12233101,56,94,169,26,47,82,0.01899944,0.03459924,0.05970333,0.24310927,0.35522398,0.48088885
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-07 00:00:00.000000,0.04373178,0.07337585,0.13136994,60,101,181,28,51,90,0.02038622,0.03697721,0.06512146,0.23446568,0.34988015,0.47909938
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-08 00:00:00.000000,0.04698143,0.07869575,0.13938136,65,108,192,30,54,95,0.02211295,0.03949726,0.06906929,0.24285704,0.35195941,0.48669585
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-09 00:00:00.000000,0.05038575,0.08442613,0.14669248,69,116,202,33,59,101,0.02392207,0.04302136,0.07313676,0.24660386,0.34810691,0.48649236
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-10 00:00:00.000000,0.05398224,0.08971579,0.15440465,74,124,213,35,65,107,0.02585069,0.04739969,0.07754042,0.24818431,0.35138225,0.48634337
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-11 00:00:00.000000,0.05784387,0.09522914,0.16274569,80,131,225,38,70,113,0.02773928,0.05094348,0.08233768,0.25098312,0.35300836,0.48689651
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-12 00:00:00.000000,0.06130586,0.10084210,0.17195709,84,139,237,41,74,121,0.02977754,0.05365938,0.08752655,0.25180634,0.35095265,0.48628832
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-13 00:00:00.000000,0.06573943,0.10713021,0.18333052,90,148,253,44,77,128,0.03196738,0.05606051,0.09310569,0.25651825,0.35336454,0.48699432
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-14 00:00:00.000000,0.06824327,0.11334642,0.19437955,94,156,268,46,81,137,0.03389329,0.05905116,0.09926695,0.26262407,0.34884585,0.48671792
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-15 00:00:00.000000,0.07085892,0.12153103,0.20578813,98,168,284,49,87,146,0.03591582,0.06292201,0.10593413,0.27252819,0.35353728,0.48542150
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-16 00:00:00.000000,0.07359282,0.12923628,0.21775720,101,178,301,51,92,155,0.03725055,0.06703409,0.11242164,0.28296031,0.35942909,0.48740419
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-17 00:00:00.000000,0.07743344,0.13714441,0.23029439,107,189,318,55,99,164,0.04006908,0.07212804,0.11907946,0.28727067,0.35692110,0.49109569
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-18 00:00:00.000000,0.08370509,0.14509177,0.24340479,115,200,336,58,105,174,0.04215414,0.07624519,0.12611337,0.29198896,0.35474537,0.49787765
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-19 00:00:00.000000,0.08921317,0.15373614,0.25709952,123,212,355,61,111,185,0.04426350,0.08085940,0.13422421,0.29737715,0.35974997,0.51049127
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-20 00:00:00.000000,0.09734101,0.16223894,0.26950932,134,224,372,64,118,197,0.04645794,0.08584690,0.14263187,0.29845719,0.36549201,0.51575488
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-21 00:00:00.000000,0.10129996,0.17168910,0.28251430,140,237,390,68,127,209,0.04928964,0.09189456,0.15133787,0.29787028,0.36634192,0.51519571
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-22 00:00:00.000000,0.10812946,0.18221333,0.29598231,149,252,409,74,135,221,0.05402440,0.09801822,0.16020856,0.30257390,0.36942654,0.50275997
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-23 00:00:00.000000,0.11528259,0.19300838,0.31033560,159,267,429,77,146,234,0.05602826,0.10565614,0.16911616,0.30260387,0.37268161,0.50337746
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-24 00:00:00.000000,0.12277336,0.20652891,0.32947013,169,285,455,80,154,246,0.05792492,0.11165392,0.17797775,0.30185858,0.37873524,0.50347955
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-25 00:00:00.000000,0.12962447,0.21723775,0.34934612,179,300,483,84,163,258,0.06142171,0.11806909,0.18677485,0.29604713,0.38199930,0.49783621
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-26 00:00:00.000000,0.13504016,0.23266234,0.36990022,186,321,511,90,171,270,0.06512127,0.12407328,0.19554152,0.29376640,0.39228880,0.49730779
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-27 00:00:00.000000,0.14120950,0.25067710,0.39113657,195,346,541,95,181,283,0.06903275,0.13131600,0.20476178,0.29386974,0.39522465,0.49919909
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-28 00:00:00.000000,0.14895917,0.27405643,0.41297324,206,379,571,99,193,300,0.07225665,0.13953777,0.21721067,0.29969824,0.39859267,0.52051635
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-29 00:00:00.000000,0.15848935,0.29435514,0.44508624,219,407,615,104,203,320,0.07533047,0.14688035,0.23174055,0.29817371,0.39740689,0.54452843
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-04-30 00:00:00.000000,0.16972995,0.30951313,0.46442639,234,428,642,109,214,348,0.07881003,0.15476478,0.25179083,0.29472148,0.39921861,0.53669822
27171,0,USMinnesotaWright,Minnesota,Wright,2021-03-04 20:40:59.115140,2020-05-01 00:00:00.000000,0.18248703,0.32760677,0.48355596,252,453,669,117,228,378,0.08480816,0.16499131,0.27324617,0.28699083,0.39528340,0.51628720
