FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-09 00:00:00.000000,0.00308934,0.02559050,0.11287650,0,2,9,0,1,5,0.00183235,0.01397754,0.06799258,0.33675423,0.44862620,0.61324872
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-10 00:00:00.000000,0.00325759,0.02766525,0.11712905,0,2,9,0,1,5,0.00190931,0.01454308,0.07089088,0.33675405,0.44862533,0.61324344
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-11 00:00:00.000000,0.00377454,0.02997314,0.12245187,0,2,10,0,1,5,0.00203240,0.01577989,0.07194500,0.33675357,0.44862253,0.61322203
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-12 00:00:00.000000,0.00429800,0.03306148,0.12907762,0,2,10,0,1,6,0.00208210,0.01710870,0.07399284,0.33675220,0.44861244,0.61313497
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-13 00:00:00.000000,0.00475934,0.03632005,0.13941815,0,2,11,0,1,6,0.00216181,0.01809852,0.08030218,0.33674833,0.44857084,0.61278084
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-14 00:00:00.000000,0.00526658,0.03978497,0.15070366,0,3,12,0,1,7,0.00225830,0.01952746,0.08484957,0.33673741,0.44837057,0.61134633
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-15 00:00:00.000000,0.00581947,0.04311797,0.16298496,0,3,13,0,1,7,0.00240729,0.02146464,0.08915784,0.33190730,0.44727080,0.60564308
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-16 00:00:00.000000,0.01717841,0.06225862,0.19227765,1,5,15,0,1,7,0.00270281,0.02374394,0.09363274,0.33155078,0.43880184,0.58464928
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-17 00:00:00.000000,0.02538701,0.07797591,0.21523033,2,6,17,0,2,8,0.00654981,0.02940185,0.10507428,0.31770447,0.43330047,0.58073086
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-18 00:00:00.000000,0.03334290,0.09531010,0.24095892,2,7,19,0,3,9,0.01133248,0.03692276,0.11709673,0.29442525,0.42437518,0.56542882
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-19 00:00:00.000000,0.04128122,0.11233770,0.25006073,3,9,20,1,3,10,0.01465651,0.04629807,0.13232022,0.26142561,0.40133103,0.55455523
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-20 00:00:00.000000,0.04809542,0.12838277,0.25917661,3,10,21,1,4,12,0.01826756,0.05689756,0.14556129,0.24265062,0.37107806,0.53854099
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-21 00:00:00.000000,0.05583430,0.14594426,0.29030486,4,12,23,1,5,12,0.02258150,0.06602564,0.15154562,0.22799976,0.34889542,0.52536809
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-22 00:00:00.000000,0.06354573,0.15772449,0.33814809,5,13,27,2,6,13,0.02710743,0.07597395,0.16341491,0.21252913,0.31945375,0.48855474
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-23 00:00:00.000000,0.07789823,0.18672685,0.35732496,6,15,29,2,7,15,0.03169859,0.08716545,0.18542143,0.20554976,0.31021904,0.45853921
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-24 00:00:00.000000,0.09207946,0.20826212,0.37065159,7,17,30,2,8,17,0.03582015,0.09966640,0.20657623,0.20458147,0.29004111,0.43458101
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-25 00:00:00.000000,0.10587803,0.22236556,0.39047179,8,18,32,3,9,18,0.04251513,0.11334346,0.22144316,0.18373391,0.27471965,0.42235363
28009,0,USMississippiBenton,Mississippi,Benton,2021-09-02 05:50:14.213059,2020-03-26 00:00:00.000000,0.11703800,0.23825731,0.40677000,9,19,33,4,10,19,0.04965137,0.12411937,0.23218637,0.18461816,0.25779025,0.42185601
