FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-09 00:00:00.000000,0.00161190,0.01990710,0.08767739,0,1,7,0,1,4,0.00069272,0.01179920,0.05087206,0.37813091,0.51497533,0.67937154
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-10 00:00:00.000000,0.00190894,0.02246458,0.08948204,0,2,8,0,1,4,0.00076498,0.01239266,0.04926358,0.37793784,0.51495686,0.67934398
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-11 00:00:00.000000,0.00221418,0.02547005,0.09200147,0,2,8,0,1,4,0.00089431,0.01381232,0.04952908,0.37753606,0.51492631,0.67928784
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-12 00:00:00.000000,0.00239678,0.02836308,0.09486675,0,2,8,0,1,4,0.00105707,0.01519744,0.05083608,0.37670448,0.51487581,0.67917348
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-13 00:00:00.000000,0.00259533,0.03121931,0.09907887,0,2,8,0,1,4,0.00124396,0.01607299,0.05258255,0.37500232,0.51479240,0.67894067
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-14 00:00:00.000000,0.00281211,0.03395177,0.10575312,0,3,9,0,1,4,0.00137572,0.01736092,0.05450531,0.37159593,0.51465480,0.67846736
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-15 00:00:00.000000,0.00304906,0.03691022,0.11279741,0,3,10,0,1,5,0.00147525,0.01875148,0.05763142,0.36507654,0.51452180,0.67750755
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-16 00:00:00.000000,0.01050080,0.05308093,0.12748562,0,4,11,0,1,5,0.00158869,0.02021258,0.06237904,0.36128533,0.51050836,0.67557100
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-17 00:00:00.000000,0.01687559,0.06461389,0.14043380,1,5,12,0,2,6,0.00390474,0.02482963,0.07001652,0.35550085,0.49653968,0.67170258
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-18 00:00:00.000000,0.02400626,0.07787729,0.15806982,2,6,14,0,2,6,0.00697718,0.03262680,0.07636991,0.34751583,0.48653643,0.65975452
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-19 00:00:00.000000,0.03188667,0.09182017,0.18102728,2,8,16,0,3,8,0.01031472,0.04092703,0.09218535,0.34035261,0.47373971,0.61788950
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-20 00:00:00.000000,0.04051163,0.10438677,0.20798399,3,9,18,1,4,10,0.01446503,0.04821818,0.11264775,0.32430830,0.44993165,0.61568528
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-21 00:00:00.000000,0.04778659,0.11815951,0.24121076,4,10,21,1,4,12,0.01916397,0.05518380,0.13474247,0.29710037,0.43051151,0.60172752
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-22 00:00:00.000000,0.05400345,0.13287466,0.27500943,4,11,24,2,5,13,0.02371789,0.06276126,0.15395756,0.27529410,0.41161928,0.57101476
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-23 00:00:00.000000,0.06793070,0.15168607,0.31233357,6,13,28,2,6,15,0.02699676,0.07161927,0.17068362,0.25978514,0.38978907,0.53044777
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-24 00:00:00.000000,0.07800713,0.16954775,0.33756448,7,15,30,3,7,16,0.03396095,0.08438768,0.18690381,0.25826540,0.37935026,0.50176890
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-25 00:00:00.000000,0.09451840,0.18585420,0.36319933,8,16,32,3,8,18,0.03872425,0.09201545,0.20284382,0.25225847,0.36540036,0.49066125
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-26 00:00:00.000000,0.10657579,0.20468732,0.40844970,9,18,36,4,9,19,0.04965481,0.10262401,0.21870101,0.24246010,0.35428403,0.44406747
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-27 00:00:00.000000,0.11913971,0.22505451,0.47478472,10,20,42,4,10,21,0.05497581,0.11391975,0.23472435,0.23734631,0.34164925,0.43984425
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-28 00:00:00.000000,0.13226831,0.24420014,0.51915552,11,21,46,5,11,24,0.06021622,0.12529829,0.26776155,0.23522339,0.33364760,0.43205747
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-29 00:00:00.000000,0.14044024,0.25995708,0.54937620,12,23,49,5,12,26,0.06539720,0.13460240,0.29365490,0.23221433,0.31608187,0.42035343
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-30 00:00:00.000000,0.16141192,0.28054946,0.58262303,14,25,52,6,13,27,0.07039524,0.14497995,0.30996793,0.22843693,0.30644562,0.39990261
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-03-31 00:00:00.000000,0.17948187,0.30844498,0.62039841,16,27,55,7,14,29,0.08025418,0.15797458,0.32873351,0.22436965,0.30228283,0.39149485
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-01 00:00:00.000000,0.19841306,0.33012240,0.65562844,17,29,58,8,15,31,0.09337369,0.17344351,0.34914953,0.22053693,0.29924096,0.38156673
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-02 00:00:00.000000,0.20915982,0.34861027,0.68030107,18,31,61,9,16,33,0.10439344,0.18607257,0.37808269,0.21104138,0.29043100,0.37208165
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-03 00:00:00.000000,0.21326963,0.37355214,0.70272759,19,33,63,10,18,36,0.11197572,0.20052334,0.40728272,0.20683554,0.27853748,0.35828954
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-04 00:00:00.000000,0.22732153,0.39040157,0.72471827,20,35,65,10,19,38,0.11416561,0.21286533,0.43366705,0.19575977,0.26308182,0.36243773
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-05 00:00:00.000000,0.24137546,0.40468702,0.74637842,21,36,67,10,20,41,0.11804878,0.22446718,0.45844785,0.19025340,0.25596429,0.35356860
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-06 00:00:00.000000,0.26504193,0.43602567,0.76561803,23,39,68,11,21,43,0.12617949,0.23561029,0.48204635,0.18891407,0.25208201,0.35386781
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-07 00:00:00.000000,0.28406048,0.46519261,0.78421696,25,41,70,12,22,44,0.13749654,0.24974587,0.49199835,0.18037997,0.25002236,0.35394197
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-08 00:00:00.000000,0.30359017,0.49997608,0.80021529,27,44,71,13,23,44,0.15086606,0.26582249,0.49943019,0.18153487,0.24757438,0.35394497
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-09 00:00:00.000000,0.31864202,0.51350336,0.81103815,28,46,72,14,25,45,0.16557337,0.28329066,0.50525084,0.17215433,0.24751778,0.35349683
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-10 00:00:00.000000,0.32084114,0.54413282,0.81947121,28,48,73,16,27,45,0.17955293,0.30113776,0.51017671,0.17102359,0.24158212,0.34624404
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2021-11-25 00:54:40.728737,2020-04-11 00:00:00.000000,0.32233241,0.56430372,0.81967909,28,50,73,16,28,46,0.18605187,0.31550731,0.51466024,0.16918171,0.24314992,0.34658866
