FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-09 00:00:00.000000,0.00299192,0.01211196,0.03509941,0,3,9,0,1,4,0.00115838,0.00453081,0.01670602,0.39208508,0.53781145,0.68213999
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-10 00:00:00.000000,0.00424092,0.01646790,0.04294591,1,4,12,0,1,5,0.00160632,0.00636097,0.02069319,0.39208504,0.53768496,0.68213882
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-11 00:00:00.000000,0.00611294,0.02117820,0.05177472,1,5,14,0,2,7,0.00223693,0.00874617,0.02535359,0.39208482,0.53698844,0.68213596
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-12 00:00:00.000000,0.00822569,0.02699671,0.06171293,2,7,17,0,3,8,0.00302237,0.01161709,0.03069582,0.39208357,0.53596487,0.68212892
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-13 00:00:00.000000,0.01063025,0.03264323,0.07414258,2,9,20,1,4,10,0.00412921,0.01448483,0.03620607,0.39207647,0.53576303,0.68199139
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-14 00:00:00.000000,0.01337168,0.03851575,0.08832808,3,10,24,1,5,11,0.00554648,0.01822724,0.04229215,0.39203610,0.53457681,0.68041950
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-15 00:00:00.000000,0.01649564,0.04505219,0.10667241,4,12,30,2,6,14,0.00717732,0.02218876,0.05081426,0.39181188,0.53115297,0.67652828
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-16 00:00:00.000000,0.02546136,0.05511079,0.12149538,7,15,34,2,7,17,0.00904377,0.02686160,0.06114172,0.39092607,0.51960517,0.66825540
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-17 00:00:00.000000,0.03218482,0.06486179,0.14383298,9,18,40,3,9,20,0.01280026,0.03217418,0.07183714,0.38594646,0.51061097,0.66686406
28083,0,USMississippiLeflore,Mississippi,Leflore,2021-09-16 00:03:23.082687,2020-03-18 00:00:00.000000,0.03695940,0.07629504,0.16915067,10,21,47,4,10,23,0.01752572,0.03825405,0.08353864,0.36912239,0.50229365,0.66086063
