FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-09 00:00:00.000000,0.00265742,0.01258152,0.03811055,0,3,11,0,1,5,0.00137627,0.00621270,0.01974504,0.53290546,0.67838440,0.90642002
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-10 00:00:00.000000,0.00314191,0.01404403,0.04292275,0,4,12,0,1,5,0.00141093,0.00647973,0.01919008,0.53286955,0.67838319,0.90608594
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-11 00:00:00.000000,0.00364543,0.01540346,0.04795071,1,4,13,0,2,5,0.00151902,0.00689611,0.02008913,0.53280390,0.67838047,0.90547055
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-12 00:00:00.000000,0.00418963,0.01706828,0.05316983,1,4,15,0,2,6,0.00168127,0.00752729,0.02171195,0.53268410,0.67837374,0.90433369
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-13 00:00:00.000000,0.00479123,0.01893213,0.05904778,1,5,17,0,2,6,0.00188806,0.00822116,0.02391648,0.53246636,0.67835607,0.90224073
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-14 00:00:00.000000,0.00546461,0.02156292,0.06544061,1,6,19,0,2,7,0.00213562,0.00906965,0.02642741,0.53207339,0.67830799,0.89843456
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-15 00:00:00.000000,0.00622341,0.02444502,0.07240213,1,7,21,0,2,8,0.00242383,0.01017555,0.02923220,0.53137306,0.67817478,0.89169164
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-16 00:00:00.000000,0.01199231,0.03360462,0.08544591,3,9,24,0,3,9,0.00275497,0.01160519,0.03233226,0.53015272,0.67780274,0.88582187
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-17 00:00:00.000000,0.01849390,0.04472554,0.09860000,5,13,28,1,4,10,0.00396481,0.01449425,0.03668481,0.52810715,0.67448005,0.88578236
28099,0,USMississippiNeshoba,Mississippi,Neshoba,2021-01-20 22:51:56.643002,2020-03-18 00:00:00.000000,0.02590126,0.05416409,0.11165306,7,15,32,1,5,12,0.00639859,0.01830916,0.04191623,0.50672709,0.66558544,0.88554327
