FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-09 00:00:00.000000,0.00119312,0.00699344,0.02487921,0,1,5,0,0,3,0.00068746,0.00393152,0.01445960,0.39271406,0.53058679,0.72558293
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-10 00:00:00.000000,0.00139355,0.00805500,0.02866461,0,1,6,0,0,3,0.00071584,0.00426134,0.01466028,0.39271405,0.53058619,0.72558286
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-11 00:00:00.000000,0.00160077,0.00917585,0.03142613,0,1,6,0,1,3,0.00078724,0.00478410,0.01541668,0.39271403,0.53058452,0.72558262
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-12 00:00:00.000000,0.00182269,0.01034097,0.03450709,0,2,7,0,1,3,0.00088663,0.00546757,0.01707851,0.39271396,0.53057987,0.72558166
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-13 00:00:00.000000,0.00206493,0.01161755,0.03806764,0,2,8,0,1,4,0.00100684,0.00619791,0.01973713,0.39271375,0.53056690,0.72557785
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-14 00:00:00.000000,0.00240492,0.01308208,0.04287083,0,2,9,0,1,4,0.00114497,0.00694544,0.02248472,0.39271293,0.52909206,0.72556255
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-15 00:00:00.000000,0.00280693,0.01470100,0.04826295,0,3,10,0,1,5,0.00134181,0.00782479,0.02471811,0.39270928,0.52500090,0.72550080
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-16 00:00:00.000000,0.00876000,0.02080074,0.06202813,1,4,13,0,1,5,0.00158402,0.00896667,0.02716420,0.39269068,0.52341872,0.72525102
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-17 00:00:00.000000,0.01305251,0.02761343,0.07603779,2,5,15,0,2,6,0.00310194,0.01089683,0.03131542,0.38991896,0.51482704,0.72424400
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-18 00:00:00.000000,0.01732709,0.03555668,0.08821499,3,7,18,1,3,8,0.00566703,0.01453579,0.03976884,0.36811105,0.50429965,0.72026231
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-19 00:00:00.000000,0.02203140,0.04348894,0.10138683,4,9,21,1,4,9,0.00798600,0.01907118,0.04725738,0.35599309,0.49477215,0.70571484
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-20 00:00:00.000000,0.02619866,0.05279320,0.11522168,5,11,24,2,5,11,0.01072091,0.02417750,0.05482551,0.34638504,0.47424069,0.69221593
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-21 00:00:00.000000,0.03021922,0.06171918,0.12895904,6,12,27,2,6,13,0.01384587,0.02959225,0.06306468,0.32426554,0.45074819,0.67205106
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-22 00:00:00.000000,0.03459605,0.07171480,0.14553383,7,15,30,3,7,15,0.01736254,0.03513045,0.07170397,0.30012573,0.42941859,0.58366967
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-23 00:00:00.000000,0.04164490,0.08595628,0.16209945,8,18,34,4,8,16,0.02059097,0.04139543,0.08028764,0.29399812,0.40618650,0.57142363
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-24 00:00:00.000000,0.04910272,0.09774108,0.19201837,10,20,40,5,10,19,0.02431594,0.04954076,0.09105388,0.29178725,0.39250482,0.55875909
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-25 00:00:00.000000,0.05716832,0.11049902,0.22522111,12,23,47,6,12,21,0.02871339,0.05782686,0.10365640,0.28324874,0.38545983,0.54621390
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-26 00:00:00.000000,0.06745831,0.12917540,0.26005051,14,27,54,7,13,25,0.03364302,0.06487203,0.12304208,0.27242684,0.37894224,0.52842676
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-27 00:00:00.000000,0.07639529,0.14327461,0.28364671,16,30,59,8,15,30,0.03891654,0.07431416,0.14461346,0.27238482,0.36581727,0.51798870
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-28 00:00:00.000000,0.08536015,0.16293947,0.30847470,17,34,64,9,17,35,0.04504107,0.08394554,0.16824798,0.24017999,0.35483481,0.51580820
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-29 00:00:00.000000,0.09493105,0.18119309,0.33458424,19,38,70,10,20,39,0.05145702,0.09702011,0.18663451,0.23396778,0.34910292,0.50446087
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-30 00:00:00.000000,0.12211289,0.20320024,0.36772032,25,42,77,12,22,42,0.05755944,0.10683616,0.20346992,0.23269166,0.35166792,0.49032263
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-03-31 00:00:00.000000,0.14160798,0.22382186,0.40220984,29,47,84,14,24,46,0.07058826,0.11841480,0.22239886,0.23352808,0.34915582,0.48698489
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-01 00:00:00.000000,0.15516809,0.24810613,0.42651896,32,52,89,16,27,51,0.07981013,0.13011146,0.24316822,0.23307787,0.34388496,0.48769920
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-02 00:00:00.000000,0.16717832,0.27572557,0.44676508,35,57,93,18,30,54,0.08875213,0.14638478,0.26132649,0.23233308,0.34322878,0.46126305
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-03 00:00:00.000000,0.17964507,0.30227173,0.47002827,37,63,98,20,34,57,0.09716075,0.16551722,0.27438362,0.23140928,0.33204547,0.43488694
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-04 00:00:00.000000,0.19175833,0.32890391,0.50249064,40,69,105,22,38,60,0.10649057,0.18325563,0.28835775,0.23200072,0.32971738,0.42165237
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-05 00:00:00.000000,0.20408681,0.35624460,0.55802835,42,74,117,24,41,63,0.11650830,0.19921039,0.30349191,0.23446901,0.32107809,0.41530962
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-06 00:00:00.000000,0.22509012,0.38798710,0.58727666,47,81,123,26,45,72,0.12712548,0.21559404,0.34540482,0.23412074,0.31259115,0.42300501
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-07 00:00:00.000000,0.24665947,0.42793748,0.62929592,51,89,132,29,49,79,0.13872454,0.23550541,0.37761729,0.22683921,0.30565242,0.42598003
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-08 00:00:00.000000,0.26933476,0.46611817,0.66978283,56,97,140,31,53,85,0.15137308,0.25642605,0.40571014,0.22582950,0.30245159,0.42583084
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-09 00:00:00.000000,0.29462502,0.50511001,0.72441219,61,106,152,34,59,91,0.16545798,0.28230092,0.43301868,0.22509361,0.30377170,0.42135146
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-10 00:00:00.000000,0.32282963,0.54800011,0.76816387,67,115,161,38,65,97,0.18108199,0.31051027,0.46169957,0.22627442,0.29987643,0.40856030
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-11 00:00:00.000000,0.35269318,0.59426003,0.81479067,74,124,171,41,70,103,0.19817026,0.33443790,0.49164442,0.22506436,0.29837421,0.40851971
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-12 00:00:00.000000,0.38405917,0.64233373,0.88215639,80,135,185,45,75,109,0.21599856,0.35995410,0.52308299,0.22475844,0.29651467,0.40862049
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-13 00:00:00.000000,0.42147151,0.68621957,0.93531004,88,144,196,49,81,117,0.23409477,0.38862113,0.55669419,0.22090398,0.29651291,0.40858207
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-14 00:00:00.000000,0.45445991,0.73232511,0.98793502,95,153,207,54,88,125,0.25897178,0.42012340,0.59926212,0.21536229,0.29530223,0.40837125
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-15 00:00:00.000000,0.48128208,0.78311225,1.07783557,101,164,226,60,94,136,0.28605658,0.44922790,0.64837896,0.21558841,0.28682323,0.40753475
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-16 00:00:00.000000,0.52266334,0.83504921,1.17949781,109,175,247,65,101,144,0.31081069,0.48087729,0.68518384,0.20590186,0.28575400,0.40395631
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-17 00:00:00.000000,0.57026326,0.88248485,1.28302395,119,185,269,70,108,158,0.33598794,0.51840320,0.75176216,0.20849150,0.27882071,0.38983136
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-18 00:00:00.000000,0.62006036,0.92615794,1.38314833,130,194,290,76,115,172,0.36195525,0.55136742,0.82108982,0.21576610,0.27328936,0.38227200
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-19 00:00:00.000000,0.66225108,0.98278360,1.47428460,139,206,309,80,123,187,0.38479189,0.58578016,0.89029228,0.21107372,0.26926710,0.35573623
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-20 00:00:00.000000,0.70160374,1.02288758,1.54931000,147,214,325,85,130,201,0.40780122,0.62156010,0.95753808,0.20516829,0.26363386,0.34086843
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-21 00:00:00.000000,0.74188405,1.08209441,1.61724907,155,227,339,91,138,213,0.43608092,0.65701822,1.01761632,0.20243897,0.25933747,0.33782790
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-22 00:00:00.000000,0.78302838,1.14651142,1.68065104,164,240,353,97,145,225,0.46164547,0.69283285,1.07141734,0.20129284,0.25838673,0.33320483
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-23 00:00:00.000000,0.85001502,1.19745100,1.74059500,178,251,365,103,153,235,0.49395296,0.73063158,1.12066689,0.20092439,0.25500707,0.32678196
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-24 00:00:00.000000,0.88772860,1.22916215,1.79632197,186,258,377,113,161,245,0.54160061,0.76720102,1.16645154,0.19527992,0.24935306,0.32475102
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-25 00:00:00.000000,0.92537374,1.26741782,1.84581149,194,266,387,119,168,254,0.56988677,0.80367142,1.20907046,0.18097445,0.24574767,0.31039966
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-26 00:00:00.000000,0.96340716,1.30437202,1.88711338,202,274,396,124,175,263,0.59306323,0.83610436,1.25377002,0.18043590,0.23717083,0.30100736
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-27 00:00:00.000000,1.01713094,1.34716248,1.93400164,213,283,406,129,181,271,0.61558688,0.86462563,1.29259377,0.17654051,0.23307840,0.30174522
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-28 00:00:00.000000,1.05368437,1.37733244,1.99105609,221,289,418,135,188,278,0.64555845,0.89864038,1.32686508,0.17581972,0.22850334,0.29961124
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-29 00:00:00.000000,1.08920513,1.42159193,2.03932119,228,298,428,141,194,285,0.67415931,0.92429944,1.35832343,0.17297977,0.22464151,0.29579360
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-04-30 00:00:00.000000,1.11949416,1.46467937,2.07506155,235,307,436,146,199,291,0.69827089,0.94981126,1.38781687,0.17364614,0.21933947,0.29184893
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-05-01 00:00:00.000000,1.13967771,1.51346706,2.10920677,239,318,443,151,205,297,0.72043588,0.97948489,1.41597339,0.16370583,0.21467204,0.28991117
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-05-02 00:00:00.000000,1.15157028,1.57245819,2.15198106,242,330,452,155,212,302,0.73831731,1.00980451,1.43869752,0.15861194,0.20852338,0.28052367
28101,0,USMississippiNewton,Mississippi,Newton,2021-08-18 06:29:28.101224,2020-05-03 00:00:00.000000,1.20328813,1.61193066,2.19780923,252,338,461,158,218,309,0.75326626,1.04158247,1.47034574,0.15830138,0.20284972,0.26768145
