FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-09 00:00:00.000000,0.01372079,0.05127088,0.15106794,0,3,10,0,1,6,0.00837190,0.02719379,0.10107002,0.36134563,0.48970682,0.72040305
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-10 00:00:00.000000,0.01516091,0.05632933,0.16202864,1,3,11,0,1,6,0.00837704,0.02722769,0.09681096,0.36130836,0.48962014,0.72039988
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-11 00:00:00.000000,0.01653743,0.06066323,0.17022738,1,4,11,0,1,6,0.00812932,0.02781888,0.09580590,0.36125201,0.48946477,0.72039229
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-12 00:00:00.000000,0.01788200,0.06530624,0.17538626,1,4,11,0,1,6,0.00813200,0.02942813,0.09466987,0.36116668,0.48918672,0.72037408
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-13 00:00:00.000000,0.01921325,0.07038619,0.18254654,1,4,12,0,2,6,0.00831265,0.03162375,0.09515052,0.36103728,0.48869038,0.72033058
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-14 00:00:00.000000,0.02053848,0.07563785,0.19544667,1,5,13,0,2,6,0.00862109,0.03357237,0.09667126,0.36084081,0.48699743,0.72022757
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-15 00:00:00.000000,0.02185453,0.08129560,0.20858225,1,5,14,0,2,6,0.00902180,0.03557184,0.09886854,0.36054210,0.48188061,0.71806572
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-16 00:00:00.000000,0.04184578,0.10679993,0.23229517,2,7,15,0,2,6,0.00948852,0.03782787,0.10151304,0.36008646,0.47799527,0.69749874
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-17 00:00:00.000000,0.05952702,0.13415270,0.26483231,4,9,17,0,3,7,0.01174477,0.04496008,0.10880584,0.35938269,0.47144101,0.67413963
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-18 00:00:00.000000,0.07630576,0.15846114,0.32314109,5,10,21,1,3,8,0.01799637,0.05455785,0.13091564,0.33466535,0.46346403,0.64865838
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-19 00:00:00.000000,0.09380775,0.18566335,0.39331896,6,12,26,1,4,10,0.02699185,0.06634072,0.15184026,0.30689660,0.45074573,0.64332100
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-20 00:00:00.000000,0.10618639,0.21497683,0.44562705,7,14,30,2,5,11,0.03408434,0.07980406,0.16829905,0.29375566,0.42580458,0.62344443
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-21 00:00:00.000000,0.11867522,0.23747607,0.48254115,8,16,32,2,6,13,0.04192440,0.09076131,0.20436725,0.28124455,0.39192224,0.58912141
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-22 00:00:00.000000,0.13148231,0.25944395,0.52149359,8,17,35,3,6,16,0.05024292,0.10273982,0.24362961,0.24989328,0.35329006,0.55425440
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-23 00:00:00.000000,0.14398322,0.29081347,0.54105455,9,19,36,4,7,19,0.05892980,0.11440768,0.28268659,0.22990072,0.33964466,0.53533476
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-24 00:00:00.000000,0.15959722,0.31699449,0.56857016,10,21,38,4,8,20,0.06917993,0.12810050,0.30678355,0.20826137,0.32929143,0.52995398
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-25 00:00:00.000000,0.17698256,0.34527837,0.62494275,12,23,42,5,9,22,0.07760625,0.14515100,0.32597670,0.20661613,0.31187530,0.51692437
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-26 00:00:00.000000,0.19475130,0.37733203,0.68317742,13,25,46,5,10,23,0.08499915,0.16086221,0.34199257,0.19635973,0.30171253,0.48908946
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-27 00:00:00.000000,0.21232593,0.40561415,0.74067180,14,27,50,6,11,24,0.09162349,0.17432251,0.35475316,0.16439929,0.28893919,0.46024258
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-28 00:00:00.000000,0.22857039,0.43372301,0.79721714,15,29,54,6,12,26,0.09602502,0.18734065,0.38438850,0.13844801,0.27670988,0.42625899
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-29 00:00:00.000000,0.24334659,0.45506564,0.85294323,16,30,57,7,13,28,0.10798023,0.20500296,0.42381828,0.12581967,0.27021683,0.41765586
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-30 00:00:00.000000,0.28775582,0.47276894,0.88741887,19,32,60,7,15,31,0.11540734,0.22570242,0.46045070,0.12471052,0.26596659,0.41016198
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-03-31 00:00:00.000000,0.30804296,0.49053071,0.92665659,20,33,62,8,16,32,0.12300024,0.23815511,0.48081126,0.12461770,0.25762605,0.39737752
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-04-01 00:00:00.000000,0.31882222,0.51666288,0.96349353,21,35,65,8,17,34,0.13066580,0.25067497,0.50207128,0.12460566,0.25078205,0.38722922
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-04-02 00:00:00.000000,0.35055292,0.54672236,0.99771352,23,37,67,9,18,35,0.14359107,0.26617129,0.52342303,0.12459243,0.24157768,0.37229961
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-04-03 00:00:00.000000,0.38540073,0.57666473,1.02689916,26,39,69,10,19,36,0.16102889,0.28670821,0.54433583,0.11759129,0.23391194,0.35231812
28119,0,USMississippiQuitman,Mississippi,Quitman,2021-01-29 21:01:58.718764,2020-04-04 00:00:00.000000,0.41956901,0.60690529,1.04342335,28,41,70,12,19,37,0.17860690,0.29380169,0.55733920,0.11520777,0.22034031,0.31873266
