FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-09 00:00:00.000000,0.00103771,0.01262615,0.05274405,0,2,10,0,1,6,0.00060969,0.00688842,0.03116244,0.36694506,0.48919974,0.70890620
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-10 00:00:00.000000,0.00118114,0.01400463,0.05650107,0,2,10,0,1,5,0.00058732,0.00649210,0.03046637,0.36693490,0.48906598,0.70890519
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-11 00:00:00.000000,0.00132238,0.01556422,0.05915507,0,3,11,0,1,5,0.00060346,0.00679194,0.03088333,0.36691332,0.48884793,0.70890295
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-12 00:00:00.000000,0.00146561,0.01718865,0.06219896,0,3,12,0,1,6,0.00064288,0.00741330,0.03216188,0.36686770,0.48849442,0.70889721
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-13 00:00:00.000000,0.00161462,0.01903358,0.06613601,0,3,12,0,1,6,0.00069708,0.00808763,0.03400876,0.36677246,0.48792649,0.70888011
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-14 00:00:00.000000,0.00177226,0.02094041,0.07025922,0,4,13,0,1,7,0.00076138,0.00890645,0.03624033,0.36657927,0.48636811,0.70871729
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-15 00:00:00.000000,0.00193920,0.02267337,0.07480127,0,4,14,0,1,7,0.00083334,0.00976351,0.03872754,0.36638168,0.48314547,0.70826253
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-16 00:00:00.000000,0.00726933,0.02742244,0.09058651,1,5,17,0,2,8,0.00091184,0.01060364,0.04142935,0.33511888,0.47837802,0.70699708
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-17 00:00:00.000000,0.01038657,0.03384699,0.10651184,2,6,20,0,2,8,0.00278111,0.01196662,0.04581253,0.31411922,0.47087894,0.70307036
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-18 00:00:00.000000,0.01461282,0.04205886,0.11560529,2,8,22,0,2,9,0.00396016,0.01428721,0.05030508,0.27633642,0.46368012,0.68778635
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-19 00:00:00.000000,0.01842341,0.04968139,0.13110013,3,9,25,1,3,10,0.00542151,0.01717960,0.05575951,0.26160553,0.45050445,0.62574802
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-20 00:00:00.000000,0.02212835,0.05785479,0.14733459,4,11,28,1,4,12,0.00770458,0.02121959,0.06363964,0.24200412,0.44022715,0.60092898
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-21 00:00:00.000000,0.02554901,0.06562094,0.16360160,4,12,31,1,4,13,0.00978695,0.02511979,0.07218904,0.23745938,0.42220680,0.58542525
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-22 00:00:00.000000,0.02980906,0.07554055,0.17951469,5,14,34,2,5,15,0.01104685,0.03029013,0.08120828,0.23556481,0.39558129,0.57236373
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-23 00:00:00.000000,0.03807755,0.08908051,0.19142473,7,17,37,2,6,17,0.01327072,0.03595759,0.09046677,0.23473748,0.36473921,0.57445763
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-24 00:00:00.000000,0.04466013,0.10073867,0.20111708,8,19,38,3,8,19,0.01623252,0.04153300,0.09912977,0.23352463,0.36109842,0.57481936
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-25 00:00:00.000000,0.05106980,0.11041786,0.20982090,9,21,40,3,9,20,0.01950119,0.04755588,0.10692642,0.22147915,0.34537231,0.57366694
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-26 00:00:00.000000,0.05660888,0.11884437,0.21841077,10,23,42,4,10,22,0.02387434,0.05274629,0.11394094,0.20677407,0.33335845,0.54603865
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-27 00:00:00.000000,0.06214024,0.12565481,0.22707188,12,24,44,5,11,23,0.02768585,0.05705371,0.12041502,0.19288108,0.30910879,0.48080343
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-28 00:00:00.000000,0.06740333,0.13445552,0.23773444,13,26,46,6,11,24,0.03136237,0.06064881,0.12654844,0.18556888,0.29403882,0.44391564
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-29 00:00:00.000000,0.07224360,0.14164494,0.25564792,14,27,49,6,12,25,0.03450723,0.06619942,0.13247510,0.17991882,0.27327055,0.43584873
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-30 00:00:00.000000,0.08237413,0.14864873,0.26889165,15,28,52,7,13,26,0.03679472,0.06899295,0.13822012,0.17336566,0.26557042,0.42452414
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-03-31 00:00:00.000000,0.09203113,0.15499730,0.28104287,17,30,54,7,14,27,0.04009253,0.07265460,0.14368939,0.17044246,0.25673593,0.41931938
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-01 00:00:00.000000,0.09983501,0.16215686,0.29154773,19,31,56,8,14,28,0.04383728,0.07723602,0.14878001,0.16631168,0.24916879,0.41560697
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-02 00:00:00.000000,0.10437471,0.17058170,0.30036727,20,33,58,9,15,30,0.04649142,0.08046462,0.15642429,0.15759861,0.24500827,0.41317895
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-03 00:00:00.000000,0.10790892,0.17992255,0.30784064,20,34,59,9,16,31,0.04888563,0.08370061,0.16315451,0.14583160,0.22736326,0.40918745
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-04 00:00:00.000000,0.11123620,0.18638851,0.31440552,21,36,60,9,17,32,0.05134710,0.08897744,0.16902348,0.14198849,0.21394144,0.38205242
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-05 00:00:00.000000,0.11434267,0.19257186,0.32143422,22,37,62,10,18,33,0.05386324,0.09464854,0.17415610,0.13963945,0.20602701,0.33649936
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-06 00:00:00.000000,0.12192753,0.19754732,0.33101492,23,38,64,10,19,36,0.05642921,0.09987779,0.18711325,0.13894698,0.20359264,0.31216939
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-07 00:00:00.000000,0.12674286,0.20376930,0.34256341,24,39,66,11,19,39,0.05858059,0.10278588,0.20313079,0.13698244,0.19984194,0.30669327
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-08 00:00:00.000000,0.13083754,0.21127142,0.35287161,25,40,68,11,20,39,0.06060876,0.10687560,0.20520305,0.13629018,0.19471753,0.30176531
28141,0,USMississippiTishomingo,Mississippi,Tishomingo,2021-02-22 22:37:36.126005,2020-04-09 00:00:00.000000,0.13444049,0.21755078,0.36237144,26,42,70,12,21,40,0.06292875,0.11146738,0.20685919,0.13499350,0.18896883,0.29206236
