FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-09 00:00:00.000000,0.00186010,0.01069055,0.03595588,0,1,6,0,1,3,0.00115358,0.00668926,0.02213894,0.33443531,0.45243556,0.64650281
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-10 00:00:00.000000,0.00197621,0.01174022,0.03702401,0,2,6,0,1,4,0.00126325,0.00750914,0.02444774,0.33442166,0.45243237,0.64648806
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-11 00:00:00.000000,0.00213604,0.01277647,0.04004063,0,2,7,0,1,4,0.00140136,0.00830891,0.02668057,0.33429046,0.45241964,0.64645287
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-12 00:00:00.000000,0.00223886,0.01427060,0.04415330,0,2,7,0,1,5,0.00153448,0.00910253,0.02872537,0.33411641,0.45063352,0.64636894
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-13 00:00:00.000000,0.00237062,0.01559367,0.04762413,0,2,8,0,1,5,0.00164212,0.01021628,0.03113799,0.33388478,0.44925943,0.64616884
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-14 00:00:00.000000,0.00251243,0.01704940,0.05053940,0,3,8,0,1,5,0.00175365,0.01123382,0.03340909,0.32438211,0.44824861,0.64569241
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-15 00:00:00.000000,0.00265831,0.01828252,0.05361689,0,3,9,0,2,6,0.00186979,0.01223538,0.03573258,0.32084228,0.44251365,0.64456189
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-16 00:00:00.000000,0.00280586,0.01998402,0.05823184,0,3,10,0,2,7,0.00199074,0.01366733,0.03956414,0.30877567,0.43410442,0.64190123
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-17 00:00:00.000000,0.00295104,0.02178701,0.06494918,0,3,11,0,2,7,0.00211548,0.01518206,0.04435527,0.29369596,0.42474807,0.63576070
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-18 00:00:00.000000,0.00308771,0.02348025,0.07217815,0,4,12,0,2,8,0.00223997,0.01626345,0.04960530,0.28526885,0.41692080,0.62170744
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-19 00:00:00.000000,0.00320768,0.02507983,0.07954933,0,4,14,0,3,9,0.00235372,0.01745273,0.05523914,0.27475335,0.41034605,0.58016980
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-20 00:00:00.000000,0.00330212,0.02665167,0.08627729,0,4,15,0,3,10,0.00243908,0.01864885,0.06098954,0.25437126,0.38646873,0.54972299
29003,0,USMissouriAndrew,Missouri,Andrew,2021-07-21 11:56:16.633882,2020-03-21 00:00:00.000000,0.00343568,0.02777175,0.09135090,0,4,16,0,3,11,0.00248365,0.02021259,0.06627301,0.23350473,0.37207736,0.52290566
