FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-09 00:00:00.000000,0.00128324,0.00872524,0.05152099,0,1,6,0,0,4,0.00057807,0.00504309,0.03529631,0.33360056,0.47462366,0.72059279
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-10 00:00:00.000000,0.00131549,0.00918535,0.05312736,0,1,6,0,0,4,0.00071588,0.00525212,0.03589847,0.33359700,0.47462141,0.72058266
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-11 00:00:00.000000,0.00136144,0.00986494,0.05491045,0,1,6,0,0,4,0.00080521,0.00572186,0.03601783,0.33358888,0.47461546,0.72055906
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-12 00:00:00.000000,0.00143259,0.01064615,0.05678536,0,1,6,0,0,4,0.00089046,0.00640484,0.03655809,0.33357042,0.47459954,0.72050417
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-13 00:00:00.000000,0.00160087,0.01150330,0.05872430,0,1,6,0,0,4,0.00097786,0.00702803,0.03731716,0.33352842,0.47442116,0.71757899
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-14 00:00:00.000000,0.00185844,0.01250284,0.06048129,0,1,7,0,0,4,0.00111655,0.00768235,0.03816932,0.33343298,0.47194453,0.71064742
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-15 00:00:00.000000,0.00216135,0.01391111,0.06195061,0,1,7,0,0,4,0.00131408,0.00837007,0.03907062,0.33321703,0.46824073,0.71059903
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-16 00:00:00.000000,0.00251666,0.01545742,0.06344454,0,1,7,0,1,4,0.00154214,0.00909272,0.04000346,0.33273294,0.46416490,0.69893909
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-17 00:00:00.000000,0.00285641,0.01713084,0.06494702,0,2,7,0,1,4,0.00180641,0.01034727,0.04095759,0.33148150,0.45844238,0.69016841
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-18 00:00:00.000000,0.00309291,0.01913486,0.06679444,0,2,7,0,1,4,0.00209870,0.01179685,0.04192285,0.32754478,0.45417794,0.68958614
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-19 00:00:00.000000,0.00334599,0.02139904,0.07081955,0,2,8,0,1,5,0.00227391,0.01295289,0.04568300,0.31298896,0.44293725,0.67010448
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-20 00:00:00.000000,0.00358849,0.02323497,0.07270266,0,2,8,0,1,5,0.00246135,0.01421484,0.04853741,0.29307134,0.41934032,0.61457484
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-21 00:00:00.000000,0.00381230,0.02491470,0.07516222,0,2,8,0,1,6,0.00264325,0.01548877,0.05196971,0.27883093,0.39988258,0.58206077
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-22 00:00:00.000000,0.00404392,0.02623713,0.07934738,0,3,9,0,1,6,0.00281099,0.01671684,0.05605265,0.25264492,0.37568660,0.57911133
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-23 00:00:00.000000,0.00428509,0.02676183,0.08199357,0,3,9,0,2,6,0.00298171,0.01754234,0.05922595,0.24127310,0.36375957,0.57107599
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-24 00:00:00.000000,0.00453945,0.02833400,0.08680033,0,3,10,0,2,7,0.00316067,0.01813940,0.06111773,0.20512604,0.35005055,0.50588444
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-25 00:00:00.000000,0.00480874,0.03021955,0.09379903,0,3,11,0,2,7,0.00334955,0.01943703,0.06344941,0.19536346,0.34446336,0.50129267
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-26 00:00:00.000000,0.00509404,0.03075894,0.09611879,0,3,11,0,2,8,0.00354930,0.02058689,0.06855682,0.19357412,0.33805194,0.46070831
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-27 00:00:00.000000,0.00539626,0.03109940,0.09597933,0,3,11,0,2,8,0.00376070,0.02099025,0.07056500,0.19407431,0.32920187,0.44082165
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-28 00:00:00.000000,0.00571428,0.03106692,0.09589157,0,3,11,0,2,8,0.00398446,0.02125536,0.07052331,0.18532351,0.30618722,0.43239767
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-29 00:00:00.000000,0.00599690,0.03147485,0.09585438,0,3,11,0,2,8,0.00421995,0.02130013,0.07049510,0.18319064,0.28882380,0.40942975
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-30 00:00:00.000000,0.00624418,0.03208373,0.09581229,0,3,11,0,2,8,0.00443394,0.02187356,0.07049105,0.17793419,0.27280798,0.38721822
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-03-31 00:00:00.000000,0.00649559,0.03262688,0.09561742,0,3,11,0,2,8,0.00461992,0.02235964,0.07047406,0.17004189,0.26308211,0.37599644
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-01 00:00:00.000000,0.00661897,0.03335123,0.09535001,0,3,11,0,2,8,0.00462940,0.02212564,0.07035208,0.16706870,0.25563106,0.38311495
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-02 00:00:00.000000,0.00653130,0.03339095,0.09506181,0,3,11,0,2,8,0.00458633,0.02221155,0.07018234,0.16638226,0.24901567,0.38443096
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-03 00:00:00.000000,0.00642284,0.03292615,0.09476537,0,3,11,0,2,8,0.00453034,0.02287994,0.06997998,0.16715733,0.24377439,0.36649658
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-04 00:00:00.000000,0.00629171,0.03245203,0.09445567,0,3,11,0,2,8,0.00446017,0.02297807,0.06977360,0.15974130,0.23074726,0.36354260
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-05 00:00:00.000000,0.00611680,0.03181166,0.09405074,0,3,11,0,2,8,0.00437577,0.02298668,0.06956030,0.15332334,0.22914651,0.33957703
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-06 00:00:00.000000,0.00594128,0.03128738,0.09322277,0,3,10,0,2,8,0.00427026,0.02263454,0.06930058,0.14976043,0.21975438,0.33154495
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-07 00:00:00.000000,0.00576633,0.03126102,0.09179377,0,3,10,0,2,8,0.00415092,0.02231938,0.06883123,0.14356693,0.21664204,0.33230461
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-08 00:00:00.000000,0.00559298,0.03156225,0.09122558,0,3,10,0,2,7,0.00404293,0.02200947,0.06800638,0.14318519,0.21296839,0.33689731
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-09 00:00:00.000000,0.00540016,0.03140278,0.09085647,0,3,10,0,2,7,0.00390288,0.02247386,0.06689623,0.14237808,0.20865212,0.34854662
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-10 00:00:00.000000,0.00521051,0.03060886,0.09048017,0,3,10,0,2,7,0.00377383,0.02191037,0.06548374,0.12879903,0.20712276,0.36430442
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-11 00:00:00.000000,0.00502321,0.02939066,0.09005471,0,3,10,0,2,7,0.00364365,0.02157771,0.06553503,0.12031070,0.20282823,0.37041356
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-12 00:00:00.000000,0.00481354,0.02867796,0.08926121,0,3,10,0,2,7,0.00351370,0.02120790,0.06652928,0.11048327,0.19940805,0.36114687
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-13 00:00:00.000000,0.00454313,0.02786559,0.08817633,0,3,10,0,2,7,0.00331767,0.02070333,0.06665172,0.10709765,0.19183113,0.34915573
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-14 00:00:00.000000,0.00435119,0.02702878,0.08702665,0,3,10,0,2,7,0.00317906,0.02011907,0.06657856,0.10670321,0.19070781,0.34788480
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-15 00:00:00.000000,0.00416751,0.02638219,0.08583019,0,3,10,0,2,7,0.00304588,0.01951727,0.06648589,0.10635667,0.18956795,0.34898794
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-16 00:00:00.000000,0.00399179,0.02518349,0.08487588,0,2,9,0,2,7,0.00291813,0.01870244,0.06639705,0.10587702,0.18882206,0.34969645
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-17 00:00:00.000000,0.00382343,0.02460299,0.08473038,0,2,9,0,2,7,0.00279568,0.01856875,0.06631442,0.10496719,0.18748408,0.34934008
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-18 00:00:00.000000,0.00366135,0.02413084,0.08461258,0,2,9,0,2,7,0.00267822,0.01848445,0.06623950,0.10367050,0.18726888,0.34459964
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-19 00:00:00.000000,0.00350417,0.02323733,0.08453096,0,2,9,0,2,7,0.00256513,0.01781298,0.06484160,0.09951205,0.18407814,0.34369439
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-20 00:00:00.000000,0.00335087,0.02240676,0.08254961,0,2,9,0,1,7,0.00245617,0.01692077,0.06271807,0.08719028,0.18139405,0.33221634
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-21 00:00:00.000000,0.00320493,0.02178017,0.07954417,0,2,9,0,1,7,0.00235282,0.01646238,0.06046426,0.08505745,0.18006179,0.32450917
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-22 00:00:00.000000,0.00306241,0.02069228,0.07694170,0,2,9,0,1,6,0.00225181,0.01599241,0.05827830,0.08459679,0.17683796,0.32057372
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-23 00:00:00.000000,0.00291608,0.01948816,0.07567348,0,2,8,0,1,6,0.00218854,0.01506256,0.05616560,0.08687181,0.17351935,0.31714904
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-24 00:00:00.000000,0.00276205,0.01861059,0.07433385,0,2,8,0,1,6,0.00205579,0.01444903,0.05434544,0.08729684,0.17187013,0.31149153
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-25 00:00:00.000000,0.00259838,0.01800809,0.07276585,0,2,8,0,1,6,0.00194289,0.01370093,0.05340610,0.08698504,0.16926555,0.28123516
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-26 00:00:00.000000,0.00242769,0.01750671,0.07072602,0,2,8,0,1,6,0.00183101,0.01298527,0.05233328,0.08888723,0.16679864,0.25875263
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-27 00:00:00.000000,0.00225701,0.01663163,0.06815158,0,1,8,0,1,5,0.00171397,0.01249640,0.05097241,0.09246765,0.16624729,0.25208193
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-28 00:00:00.000000,0.00209220,0.01572940,0.06574614,0,1,7,0,1,5,0.00159605,0.01193915,0.05043814,0.08580370,0.16281340,0.25278262
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-29 00:00:00.000000,0.00193651,0.01486855,0.06680302,0,1,7,0,1,5,0.00148148,0.01129224,0.05027633,0.08490635,0.16145588,0.25600486
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-04-30 00:00:00.000000,0.00179126,0.01404198,0.06688927,0,1,7,0,1,5,0.00137281,0.01074040,0.04990319,0.08475083,0.15701974,0.24766159
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-01 00:00:00.000000,0.00165654,0.01324815,0.06530416,0,1,7,0,1,5,0.00127109,0.01023294,0.04974844,0.08541645,0.15411108,0.24830425
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-02 00:00:00.000000,0.00153175,0.01253582,0.06624671,0,1,7,0,1,5,0.00117648,0.00975765,0.04845774,0.08726136,0.15216669,0.24158809
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-03 00:00:00.000000,0.00141568,0.01216349,0.06707075,0,1,7,0,1,5,0.00108863,0.00940998,0.04717388,0.08954468,0.14892501,0.24021657
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-04 00:00:00.000000,0.00130605,0.01179145,0.06616019,0,1,7,0,1,5,0.00100683,0.00886969,0.04789977,0.08852272,0.14571009,0.25407367
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-05 00:00:00.000000,0.00120006,0.01169711,0.06516216,0,1,7,0,1,5,0.00092970,0.00865793,0.04873499,0.08804956,0.14187119,0.26035808
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-06 00:00:00.000000,0.00109947,0.01124505,0.06414219,0,1,7,0,1,5,0.00085544,0.00860283,0.04907264,0.08765887,0.13946031,0.25984250
29011,0,USMissouriBarton,Missouri,Barton,2021-12-10 21:02:44.164795,2020-05-07 00:00:00.000000,0.00101694,0.01078449,0.06305060,0,1,7,0,0,5,0.00078483,0.00831479,0.04841109,0.08586363,0.13859309,0.25373407
