FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-09 00:00:00.000000,0.00275500,0.01465635,0.05838850,0,2,11,0,1,8,0.00138533,0.00869424,0.04206869,0.34190193,0.44468766,0.63383140
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-10 00:00:00.000000,0.00299219,0.01535149,0.05945689,0,2,11,0,1,8,0.00160400,0.00922973,0.04216206,0.34159024,0.44468762,0.63382737
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-11 00:00:00.000000,0.00324437,0.01686677,0.06099897,0,3,11,0,1,8,0.00180240,0.01010357,0.04222894,0.34119948,0.44468755,0.63381435
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-12 00:00:00.000000,0.00369644,0.01782902,0.06204050,0,3,12,0,2,8,0.00210266,0.01111037,0.04267003,0.34095854,0.44451762,0.63377177
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-13 00:00:00.000000,0.00429924,0.01881137,0.06316829,0,3,12,0,2,8,0.00248048,0.01194343,0.04326011,0.34094289,0.44413253,0.63363159
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-14 00:00:00.000000,0.00500413,0.02007960,0.06434513,0,3,12,0,2,8,0.00291334,0.01282300,0.04393010,0.34092342,0.44330192,0.63316828
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-15 00:00:00.000000,0.00560135,0.02193031,0.06555767,1,4,12,0,2,8,0.00335719,0.01375259,0.04465500,0.34089926,0.44153907,0.63164031
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-16 00:00:00.000000,0.00963167,0.02922999,0.06964738,1,5,13,0,2,8,0.00356822,0.01465522,0.04542268,0.33707954,0.43727878,0.62669056
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-17 00:00:00.000000,0.01366535,0.03444705,0.07591016,2,6,14,1,3,9,0.00543422,0.01878383,0.04776458,0.33524564,0.42901600,0.61166139
29015,0,USMissouriBenton,Missouri,Benton,2021-09-15 23:51:25.895276,2020-03-18 00:00:00.000000,0.01736523,0.04271617,0.08901603,3,8,17,1,4,9,0.00793688,0.02319583,0.05067823,0.31392381,0.40851673,0.57395370
