FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-09 00:00:00.000000,0.00108430,0.01009728,0.04368509,0,1,6,0,0,3,0.00063858,0.00565127,0.02382382,0.37809430,0.48885668,0.69121870
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-10 00:00:00.000000,0.00119957,0.01068786,0.04604916,0,1,7,0,0,3,0.00072151,0.00585510,0.02480697,0.37809424,0.48885664,0.69121870
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-11 00:00:00.000000,0.00133140,0.01128426,0.04870286,0,1,7,0,0,4,0.00078308,0.00622121,0.02623309,0.37809403,0.48885654,0.69121869
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-12 00:00:00.000000,0.00147971,0.01209092,0.05157433,0,1,8,0,1,4,0.00085959,0.00677898,0.02789190,0.37809325,0.48885630,0.69121864
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-13 00:00:00.000000,0.00164568,0.01337018,0.05368666,0,2,8,0,1,4,0.00094858,0.00735155,0.02972500,0.37809040,0.48885572,0.69121844
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-14 00:00:00.000000,0.00183106,0.01447377,0.05795478,0,2,9,0,1,4,0.00104986,0.00807256,0.03171884,0.37807999,0.48885409,0.69121752
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-15 00:00:00.000000,0.00203799,0.01531339,0.06150406,0,2,9,0,1,5,0.00116413,0.00859990,0.03387379,0.37800418,0.48884882,0.69121292
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-16 00:00:00.000000,0.00226904,0.01610168,0.06664137,0,2,10,0,1,5,0.00129251,0.00944815,0.03672477,0.36870886,0.48882966,0.69118698
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-17 00:00:00.000000,0.00252741,0.01704650,0.07313855,0,2,11,0,1,6,0.00143646,0.00999753,0.04017668,0.36513894,0.48638698,0.69099034
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-18 00:00:00.000000,0.00281733,0.01809309,0.08017321,0,2,12,0,1,6,0.00159781,0.01047374,0.04371741,0.35524676,0.46972032,0.67652903
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-19 00:00:00.000000,0.00314458,0.01916605,0.08757686,0,2,13,0,1,7,0.00177899,0.01114277,0.04658054,0.32523719,0.46189749,0.65792507
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-20 00:00:00.000000,0.00351616,0.02024945,0.09249900,0,3,14,0,1,7,0.00198324,0.01190056,0.04813649,0.29058454,0.45032707,0.63028969
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-21 00:00:00.000000,0.00393856,0.02124060,0.09546989,0,3,14,0,1,7,0.00221467,0.01274537,0.04938944,0.28927760,0.41002894,0.59100334
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-22 00:00:00.000000,0.00438380,0.02224099,0.09777677,0,3,15,0,2,8,0.00244999,0.01343008,0.05236547,0.26355383,0.38905025,0.54859880
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-23 00:00:00.000000,0.00472577,0.02327236,0.09943484,0,3,15,0,2,8,0.00265619,0.01393499,0.05520081,0.25256622,0.38392150,0.54655123
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-24 00:00:00.000000,0.00498903,0.02433936,0.10055545,0,3,15,0,2,8,0.00281750,0.01423375,0.05698177,0.24974729,0.37639753,0.54308237
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-25 00:00:00.000000,0.00523691,0.02509677,0.10124902,0,3,15,0,2,9,0.00295339,0.01466133,0.05795099,0.24253891,0.36237800,0.53482316
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-26 00:00:00.000000,0.00560957,0.02577871,0.10150660,0,4,15,0,2,9,0.00308965,0.01513383,0.05840011,0.23785571,0.34673557,0.51866388
29065,0,USMissouriDent,Missouri,Dent,2021-10-14 12:48:55.036493,2020-03-27 00:00:00.000000,0.00566338,0.02610570,0.10099185,0,4,15,0,2,9,0.00322642,0.01561063,0.05852456,0.21397575,0.33604194,0.49552608
