FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-09 00:00:00.000000,0.00924070,0.04962274,0.14403779,0,2,6,0,1,3,0.00547556,0.02917432,0.07699705,0.41238061,0.52717981,0.72419219
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-10 00:00:00.000000,0.01026111,0.05547243,0.15916190,0,2,7,0,1,3,0.00562696,0.02855283,0.07528267,0.41234051,0.52717647,0.72386438
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-11 00:00:00.000000,0.01135095,0.06130505,0.17556254,0,2,8,0,1,3,0.00605718,0.02844991,0.07793022,0.41226048,0.52716797,0.72324896
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-12 00:00:00.000000,0.01252129,0.06725456,0.19342898,0,3,9,0,1,3,0.00663688,0.03043516,0.08308905,0.41210086,0.52714602,0.72209848
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-13 00:00:00.000000,0.01378165,0.07218444,0.21294640,0,3,9,0,1,4,0.00731123,0.03196846,0.08992275,0.41178296,0.52708881,0.71996477
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-14 00:00:00.000000,0.01513770,0.07633265,0.23430210,0,3,11,0,1,4,0.00805878,0.03361842,0.09945143,0.40752815,0.52693892,0.71606560
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-15 00:00:00.000000,0.01658442,0.08055999,0.25768512,0,3,12,0,1,5,0.00887203,0.03612044,0.10982576,0.39903646,0.52654509,0.70912961
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-16 00:00:00.000000,0.01809361,0.08637114,0.28327048,0,4,13,0,1,5,0.00951988,0.03904546,0.12113128,0.38186551,0.52551219,0.69736364
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-17 00:00:00.000000,0.01961485,0.09315673,0.31115548,0,4,14,0,1,6,0.01018934,0.04211939,0.13345910,0.38132446,0.51837200,0.68023348
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-18 00:00:00.000000,0.02112389,0.10029137,0.34103721,0,4,16,0,2,6,0.01088397,0.04533285,0.14688854,0.37670579,0.50813268,0.67991436
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-19 00:00:00.000000,0.02265064,0.10778275,0.36228726,1,5,17,0,2,7,0.01160512,0.04872945,0.16143329,0.33958085,0.48779184,0.67814036
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-20 00:00:00.000000,0.02414725,0.11352945,0.37122971,1,5,17,0,2,8,0.01235557,0.05288146,0.17690522,0.31952739,0.47641497,0.64454940
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-21 00:00:00.000000,0.02561896,0.11904870,0.37797246,1,5,17,0,2,8,0.01313961,0.05703415,0.18474971,0.30463780,0.45755616,0.64200843
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-22 00:00:00.000000,0.02719293,0.12641232,0.38419007,1,5,18,0,2,8,0.01396398,0.06120067,0.19110565,0.30005951,0.44624282,0.62831298
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-23 00:00:00.000000,0.02887145,0.13358624,0.39023767,1,6,18,0,3,9,0.01483634,0.06538898,0.19639110,0.29568696,0.42581481,0.59952444
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-24 00:00:00.000000,0.03066054,0.14038389,0.40921603,1,6,19,0,3,9,0.01576200,0.06929052,0.20491563,0.28490561,0.40587398,0.60143725
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-25 00:00:00.000000,0.03258132,0.14340204,0.43264387,1,6,20,0,3,10,0.01674562,0.07328098,0.21732437,0.27873839,0.39937156,0.58689896
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-26 00:00:00.000000,0.03467462,0.14725217,0.45695475,1,6,21,0,3,10,0.01779504,0.07516980,0.23024915,0.27461939,0.39477624,0.57808697
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-27 00:00:00.000000,0.03699607,0.15391371,0.48181374,1,7,22,0,3,11,0.01892481,0.07659789,0.24371491,0.25153073,0.38295672,0.54305271
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-28 00:00:00.000000,0.03958708,0.15878640,0.50642405,1,7,23,0,3,12,0.02015705,0.07941986,0.25765422,0.23666662,0.36995366,0.49708420
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-29 00:00:00.000000,0.04123166,0.16408904,0.52936435,1,7,24,1,3,12,0.02151512,0.08444452,0.27182238,0.22993761,0.35284813,0.50249943
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-30 00:00:00.000000,0.04178712,0.16899143,0.54915586,1,7,25,1,4,13,0.02301418,0.08859753,0.28575998,0.22358736,0.34365747,0.50096726
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-03-31 00:00:00.000000,0.04208249,0.16878115,0.56519583,1,7,26,1,4,14,0.02465995,0.09111912,0.29887753,0.22151483,0.33217590,0.50060221
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-01 00:00:00.000000,0.04226554,0.16835980,0.57751949,1,7,27,1,4,14,0.02645385,0.09376494,0.31067546,0.21863174,0.32319375,0.48023485
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-02 00:00:00.000000,0.04238179,0.17004539,0.58576480,1,7,27,1,4,15,0.02682600,0.09648593,0.32071625,0.21710492,0.31183802,0.46323495
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-03 00:00:00.000000,0.04243775,0.17229520,0.58922310,1,8,27,1,4,15,0.02699173,0.09925004,0.32883625,0.20782536,0.30623676,0.44324875
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-04 00:00:00.000000,0.04241869,0.17660535,0.58797841,1,8,27,1,4,15,0.02709013,0.10083346,0.33471651,0.20279427,0.30358582,0.40864407
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-05 00:00:00.000000,0.04229888,0.18355386,0.58321147,1,8,27,1,4,15,0.02713219,0.10275376,0.33816837,0.19842774,0.28630109,0.39193148
29171,0,USMissouriPutnam,Missouri,Putnam,2021-02-17 10:29:01.952358,2020-04-06 00:00:00.000000,0.04208298,0.18972171,0.57629721,1,8,27,1,4,15,0.02711549,0.10365376,0.33932344,0.19458857,0.27914024,0.38087418
