FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-09 00:00:00.000000,0.00076625,0.00660672,0.03174448,0,0,4,0,0,2,0.00041725,0.00410118,0.02184466,0.32395533,0.44684376,0.61807974
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-10 00:00:00.000000,0.00089891,0.00721572,0.03518087,0,0,4,0,0,2,0.00045960,0.00411834,0.02180695,0.32395507,0.44665655,0.61797405
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-11 00:00:00.000000,0.00104779,0.00811310,0.03921686,0,1,5,0,0,3,0.00053153,0.00448228,0.02256170,0.32395446,0.44142725,0.61771846
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-12 00:00:00.000000,0.00121794,0.00920260,0.04201696,0,1,5,0,0,3,0.00063404,0.00495582,0.02372243,0.32395294,0.43840694,0.61710135
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-13 00:00:00.000000,0.00141383,0.01029484,0.04502434,0,1,5,0,0,3,0.00075076,0.00553467,0.02511283,0.32394889,0.43840390,0.61668237
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-14 00:00:00.000000,0.00164003,0.01138084,0.04824264,0,1,6,0,0,3,0.00088304,0.00625283,0.02726276,0.32365766,0.43839508,0.61667901
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-15 00:00:00.000000,0.00190157,0.01290262,0.05163550,0,1,6,0,0,3,0.00103339,0.00720776,0.02898910,0.30923445,0.43836923,0.61666968
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-16 00:00:00.000000,0.00220409,0.01446336,0.05526521,0,1,7,0,1,4,0.00120486,0.00823050,0.03079172,0.29477325,0.43829233,0.61664007
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-17 00:00:00.000000,0.00255384,0.01596377,0.05914165,0,2,7,0,1,4,0.00140097,0.00936292,0.03335541,0.28404639,0.43806051,0.61653346
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-18 00:00:00.000000,0.00295691,0.01759904,0.06326503,0,2,8,0,1,4,0.00162546,0.01045241,0.03636958,0.26974171,0.42170806,0.61611329
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-19 00:00:00.000000,0.00341515,0.01935357,0.06760823,0,2,9,0,1,5,0.00188157,0.01134634,0.03960224,0.25632828,0.40352678,0.61441324
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-20 00:00:00.000000,0.00385872,0.02129499,0.07207623,0,2,9,0,1,5,0.00211466,0.01230103,0.04297880,0.23603890,0.38843594,0.60766589
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-21 00:00:00.000000,0.00422532,0.02362073,0.07645043,0,3,10,0,1,6,0.00226857,0.01331317,0.04615969,0.22155277,0.36722150,0.58285643
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-22 00:00:00.000000,0.00465131,0.02567240,0.08044600,0,3,10,0,1,6,0.00257102,0.01436454,0.04833077,0.21471993,0.33593360,0.58203341
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-23 00:00:00.000000,0.01213060,0.03341956,0.08741978,1,4,11,0,2,6,0.00285717,0.01588495,0.05021124,0.21114206,0.31556200,0.57523186
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-24 00:00:00.000000,0.01611505,0.04161542,0.09399135,2,5,12,0,2,7,0.00502007,0.01895098,0.05320115,0.20826656,0.29955398,0.55719817
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-25 00:00:00.000000,0.01975848,0.04937850,0.10718208,2,6,14,1,3,7,0.00811236,0.02413583,0.05793640,0.20333593,0.28376284,0.48887137
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-26 00:00:00.000000,0.02402989,0.06016977,0.11460256,3,8,15,1,3,9,0.00995149,0.02941952,0.06784023,0.18966222,0.27575744,0.48735323
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-27 00:00:00.000000,0.02902567,0.06964776,0.12506548,3,9,16,1,4,9,0.01202753,0.03550801,0.07232095,0.18116677,0.26483980,0.48316601
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-28 00:00:00.000000,0.03415003,0.07782702,0.13378415,4,10,17,1,5,10,0.01441771,0.04138183,0.07857837,0.16965619,0.25180500,0.47128696
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-29 00:00:00.000000,0.03939732,0.08550170,0.14746571,5,11,19,2,6,11,0.01818281,0.04713094,0.08561378,0.16715529,0.23621710,0.41379367
30003,0,USMontanaBigHorn,Montana,Big Horn,2021-10-14 14:06:04.369470,2020-03-30 00:00:00.000000,0.04682561,0.09628420,0.16087035,6,12,21,2,7,12,0.02229322,0.05295222,0.09270682,0.16352762,0.22569164,0.37354849
