FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-09 00:00:00.000000,0.00131710,0.01031646,0.06744874,0,0,3,0,0,2,0.00067426,0.00584073,0.03561764,0.34947644,0.54130742,0.70937814
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-10 00:00:00.000000,0.00150039,0.01168198,0.07236120,0,0,4,0,0,1,0.00071453,0.00569844,0.03303260,0.34939238,0.54129456,0.70935915
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-11 00:00:00.000000,0.00170246,0.01307670,0.07725322,0,0,4,0,0,1,0.00078037,0.00589748,0.03313201,0.34920071,0.54127031,0.70930838
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-12 00:00:00.000000,0.00192808,0.01455437,0.08222368,0,0,4,0,0,1,0.00087519,0.00631217,0.03471764,0.34876498,0.54122399,0.70916443
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-13 00:00:00.000000,0.00218160,0.01615139,0.08734083,0,0,4,0,0,2,0.00098575,0.00701251,0.03711797,0.34778098,0.54113407,0.70873786
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-14 00:00:00.000000,0.00246734,0.01790732,0.09265457,0,1,5,0,0,2,0.00111253,0.00790453,0.03996472,0.34559196,0.54095584,0.70743926
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-15 00:00:00.000000,0.00278989,0.02021553,0.09820363,0,1,5,0,0,2,0.00125681,0.00892223,0.04306308,0.34088110,0.54059361,0.70496736
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-16 00:00:00.000000,0.00315415,0.02233451,0.10401951,0,1,5,0,0,2,0.00142041,0.00982691,0.04631661,0.33143013,0.53983731,0.70484780
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-17 00:00:00.000000,0.00354351,0.02444964,0.11012722,0,1,6,0,0,2,0.00160559,0.01076904,0.04968380,0.32723342,0.53836850,0.69517544
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-18 00:00:00.000000,0.00390385,0.02673607,0.11654105,0,1,6,0,0,3,0.00181494,0.01180080,0.05436512,0.32544456,0.53453213,0.69479509
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-19 00:00:00.000000,0.00429215,0.02921164,0.12324799,0,1,6,0,0,3,0.00205127,0.01292691,0.05988468,0.31972820,0.51968070,0.66621245
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-20 00:00:00.000000,0.00471099,0.03188107,0.13017009,0,1,7,0,0,3,0.00228847,0.01414991,0.06577929,0.30516556,0.49549768,0.65153199
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-21 00:00:00.000000,0.00516554,0.03463200,0.13903549,0,1,7,0,0,4,0.00251745,0.01550032,0.07176587,0.27820037,0.47026626,0.62816183
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-22 00:00:00.000000,0.00566131,0.03611454,0.15152506,0,2,8,0,0,4,0.00276512,0.01723391,0.07846179,0.25135304,0.44539171,0.62355839
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-23 00:00:00.000000,0.00620341,0.03851709,0.16443021,0,2,9,0,1,4,0.00303405,0.01855215,0.08614256,0.23602232,0.42790831,0.58480122
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-24 00:00:00.000000,0.00679674,0.04140859,0.17728168,0,2,9,0,1,5,0.00332708,0.02050826,0.09412484,0.22977540,0.41234454,0.58414105
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-25 00:00:00.000000,0.00744619,0.04417418,0.18962611,0,2,10,0,1,5,0.00364705,0.02246306,0.10228761,0.22366813,0.40071221,0.58350963
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-26 00:00:00.000000,0.00815605,0.04622991,0.20112292,0,2,11,0,1,6,0.00399684,0.02437294,0.11044749,0.21971885,0.38843952,0.57041689
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-27 00:00:00.000000,0.00892567,0.04794826,0.21168975,0,2,11,0,1,6,0.00437920,0.02572690,0.11840794,0.21595932,0.37465737,0.54996444
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-28 00:00:00.000000,0.00972386,0.04978219,0.21880394,0,2,12,0,1,7,0.00479545,0.02652898,0.12602345,0.19927324,0.36170779,0.52436433
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-29 00:00:00.000000,0.01042679,0.05333087,0.21674792,0,3,12,0,1,7,0.00523782,0.02750182,0.13224013,0.18405142,0.35417270,0.49947615
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-30 00:00:00.000000,0.01099371,0.05500987,0.21460903,0,3,12,0,1,7,0.00566823,0.02866984,0.13136419,0.18055477,0.34424278,0.48696942
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-03-31 00:00:00.000000,0.01118400,0.05460140,0.21238421,0,3,11,0,1,7,0.00605401,0.02895631,0.13032050,0.17951015,0.32566306,0.48392839
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-01 00:00:00.000000,0.01129192,0.05578477,0.21468747,0,3,12,0,1,7,0.00640849,0.02924163,0.12910524,0.17682006,0.31564668,0.45782530
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-02 00:00:00.000000,0.01134106,0.05783839,0.22670782,0,3,12,0,1,7,0.00673849,0.03085031,0.12764216,0.17318930,0.30802249,0.45731154
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-03 00:00:00.000000,0.01131922,0.05980757,0.23916892,0,3,13,0,1,7,0.00679938,0.03250600,0.12647247,0.17267347,0.29995547,0.46035747
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-04 00:00:00.000000,0.01166499,0.06098699,0.24701810,0,3,13,0,1,7,0.00683693,0.03301305,0.13362013,0.17179162,0.28619371,0.45915151
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-05 00:00:00.000000,0.01204170,0.06202684,0.24114386,0,3,13,0,1,7,0.00685129,0.03348497,0.14106331,0.16888730,0.27470117,0.45272040
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-06 00:00:00.000000,0.01239423,0.06331885,0.23496214,0,3,13,0,1,7,0.00684735,0.03442791,0.14047779,0.16636099,0.26890926,0.44071554
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-07 00:00:00.000000,0.01273949,0.06583740,0.22876473,0,3,12,0,2,7,0.00704599,0.03568136,0.13762762,0.15711078,0.26525375,0.43621227
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-08 00:00:00.000000,0.01308286,0.06918619,0.23090424,0,3,13,0,2,7,0.00727989,0.03684164,0.13466489,0.15272215,0.25645946,0.43338553
30015,0,USMontanaChouteau,Montana,Chouteau,2021-10-28 11:50:17.760382,2020-04-09 00:00:00.000000,0.01342093,0.07052915,0.23976241,0,3,13,0,2,7,0.00750321,0.03770325,0.13164105,0.14967261,0.25574773,0.42624157
