FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-09 00:00:00.000000,0.00516962,0.02464335,0.06914064,0,3,8,0,1,5,0.00245769,0.01388891,0.04573394,0.37746995,0.50215143,0.63455009
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-10 00:00:00.000000,0.00579153,0.02739854,0.07617683,0,3,9,0,1,5,0.00260172,0.01341612,0.04318739,0.37746901,0.50215078,0.63454980
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-11 00:00:00.000000,0.00631782,0.02892804,0.08294407,0,3,10,0,1,5,0.00278281,0.01336246,0.04195993,0.37746634,0.50208275,0.63454910
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-12 00:00:00.000000,0.00671801,0.03173870,0.08961497,0,3,10,0,1,5,0.00298662,0.01375644,0.04173063,0.37745871,0.50185182,0.63454741
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-13 00:00:00.000000,0.00712813,0.03432398,0.09632163,0,4,11,0,1,5,0.00322698,0.01479344,0.04224006,0.37743690,0.50142260,0.63454333
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-14 00:00:00.000000,0.00755109,0.03666173,0.10316666,0,4,12,0,1,5,0.00352551,0.01566605,0.04335906,0.37737456,0.50062837,0.63453334
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-15 00:00:00.000000,0.00798935,0.03917232,0.11023118,0,4,13,0,2,5,0.00383025,0.01651435,0.04496690,0.37719654,0.49917151,0.63450731
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-16 00:00:00.000000,0.01480192,0.04984798,0.12229908,1,6,14,0,2,5,0.00414059,0.01739950,0.04773648,0.37599097,0.49429592,0.63441798
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-17 00:00:00.000000,0.01974760,0.05992555,0.13470544,2,7,16,0,2,6,0.00534031,0.02001475,0.05259623,0.37135022,0.48325824,0.63130758
30043,0,USMontanaJefferson,Montana,Jefferson,2021-01-20 22:30:34.305443,2020-03-18 00:00:00.000000,0.02444895,0.06891358,0.14762607,2,8,18,0,2,7,0.00665175,0.02347754,0.05814156,0.33029041,0.47836249,0.62175645
