FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-09 00:00:00.000000,0.00146690,0.00414977,0.01116914,1,2,7,0,1,3,0.00045191,0.00161205,0.00450486,0.35019425,0.47296069,0.63319396
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-10 00:00:00.000000,0.00245931,0.00577513,0.01273558,1,4,8,0,1,2,0.00059599,0.00175527,0.00430333,0.35019422,0.47295605,0.63319161
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-11 00:00:00.000000,0.00328761,0.00740901,0.01643370,2,5,11,0,1,3,0.00073691,0.00210367,0.00448583,0.35019417,0.47294371,0.63318365
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-12 00:00:00.000000,0.00413758,0.00955578,0.02024192,2,6,14,0,1,4,0.00098991,0.00268077,0.00600176,0.35019406,0.47291096,0.63315616
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-13 00:00:00.000000,0.00471681,0.01154320,0.02378662,3,8,16,0,2,5,0.00130132,0.00337638,0.00774828,0.35019381,0.47282411,0.63305989
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-14 00:00:00.000000,0.00550116,0.01336827,0.02675210,3,9,18,1,2,6,0.00166520,0.00406059,0.00891714,0.35019320,0.47259440,0.63271945
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-15 00:00:00.000000,0.00654137,0.01515965,0.03010814,4,10,20,1,3,7,0.00194639,0.00491351,0.01021574,0.35019174,0.47199085,0.63151118
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-16 00:00:00.000000,0.00798292,0.01840444,0.03325535,5,12,23,1,4,8,0.00218376,0.00586449,0.01212661,0.35018803,0.46966003,0.62726308
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-17 00:00:00.000000,0.00916448,0.02083798,0.03665691,6,14,25,1,4,9,0.00251869,0.00693616,0.01400224,0.34721091,0.45494541,0.61533459
30049,0,USMontanaLewisandClark,Montana,Lewis and Clark,2021-03-04 19:48:39.191625,2020-03-18 00:00:00.000000,0.01038849,0.02332882,0.04133295,7,16,28,2,5,11,0.00305004,0.00798911,0.01588227,0.33449667,0.44309934,0.60563991
