FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-09 00:00:00.000000,0.00088771,0.00279860,0.00582325,1,3,6,0,1,3,0.00003771,0.00103866,0.00277589,0.37337135,0.47159639,0.62360354
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-10 00:00:00.000000,0.00154769,0.00370492,0.00811815,1,4,9,0,1,3,0.00022108,0.00122941,0.00285661,0.37337056,0.47158352,0.62360284
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-11 00:00:00.000000,0.00208561,0.00483271,0.01006481,2,5,12,0,1,3,0.00049132,0.00156367,0.00328550,0.37336855,0.47154981,0.62360075
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-12 00:00:00.000000,0.00263642,0.00592556,0.01170781,3,7,14,0,2,5,0.00081350,0.00198442,0.00429664,0.37336349,0.47136609,0.62359413
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-13 00:00:00.000000,0.00320685,0.00693989,0.01345152,3,8,16,1,2,6,0.00101316,0.00244823,0.00565452,0.37335063,0.46946670,0.62357228
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-14 00:00:00.000000,0.00379594,0.00814589,0.01531448,4,9,18,1,3,7,0.00127484,0.00299816,0.00654898,0.37331820,0.46772251,0.62349776
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-15 00:00:00.000000,0.00440276,0.00922461,0.01769252,5,11,21,1,4,9,0.00155186,0.00362267,0.00799408,0.36975062,0.46598446,0.62323702
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-16 00:00:00.000000,0.00558624,0.01073608,0.02027094,6,12,24,2,5,11,0.00184131,0.00431743,0.00962385,0.35170933,0.46168650,0.62230951
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-17 00:00:00.000000,0.00678241,0.01237918,0.02331162,8,14,27,2,6,13,0.00226020,0.00501731,0.01128771,0.32322572,0.45752599,0.61899841
30063,0,USMontanaMissoula,Montana,Missoula,2021-08-18 05:52:22.612552,2020-03-18 00:00:00.000000,0.00801189,0.01410687,0.02660323,9,16,31,3,7,15,0.00276077,0.00589340,0.01306203,0.29614198,0.44569629,0.59992012
