FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-09 00:00:00.000000,0.00160118,0.01384813,0.05489490,0,1,4,0,0,2,0.00089861,0.00742976,0.03321918,0.37154777,0.51344127,0.76098141
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-10 00:00:00.000000,0.00177401,0.01555630,0.05910853,0,1,4,0,0,2,0.00091008,0.00754684,0.03150177,0.37152451,0.51343322,0.76097831
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-11 00:00:00.000000,0.00196233,0.01748186,0.06341801,0,1,4,0,0,2,0.00092660,0.00787762,0.03134641,0.37146801,0.51318226,0.76097253
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-12 00:00:00.000000,0.00216987,0.01930501,0.06790629,0,1,5,0,0,2,0.00096956,0.00839763,0.03215458,0.37133082,0.51262021,0.76096175
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-13 00:00:00.000000,0.00239976,0.02137113,0.07263021,0,1,5,0,0,2,0.00103051,0.00927717,0.03358193,0.37099840,0.51162191,0.76094162
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-14 00:00:00.000000,0.00265163,0.02348991,0.07763090,0,1,5,0,0,2,0.00110417,0.01027901,0.03543229,0.37019766,0.50747691,0.76090394
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-15 00:00:00.000000,0.00285360,0.02555222,0.08293529,0,1,6,0,0,2,0.00118734,0.01136983,0.03759572,0.36829655,0.50455633,0.76083162
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-16 00:00:00.000000,0.00306444,0.02760116,0.08853255,0,2,6,0,0,2,0.00127816,0.01252587,0.04000764,0.36393470,0.50149127,0.76067587
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-17 00:00:00.000000,0.00328534,0.03003697,0.09420660,0,2,6,0,1,3,0.00137560,0.01372793,0.04302356,0.35786900,0.49141646,0.76018963
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-18 00:00:00.000000,0.00351695,0.03220133,0.09913984,0,2,7,0,1,3,0.00147918,0.01516328,0.04632376,0.34858941,0.47896756,0.75091593
30105,0,USMontanaValley,Montana,Valley,2021-07-21 11:00:51.759193,2020-03-19 00:00:00.000000,0.00375929,0.03415602,0.10227409,0,2,7,0,1,3,0.00158864,0.01643413,0.04981855,0.32499617,0.46721112,0.72371187
