FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-09 00:00:00.000000,0.00752054,0.05771931,0.18312251,0,1,5,0,0,3,0.00441611,0.03260749,0.11524521,0.35822640,0.47685886,0.64826561
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-10 00:00:00.000000,0.00783414,0.06075292,0.19066330,0,1,5,0,0,3,0.00479077,0.03455845,0.11702919,0.35822145,0.47685573,0.64826581
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-11 00:00:00.000000,0.00826975,0.06570764,0.19897583,0,1,5,0,1,3,0.00516799,0.03712609,0.12157217,0.35821261,0.47684483,0.64826573
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-12 00:00:00.000000,0.00875498,0.07026278,0.20743333,0,1,5,0,1,3,0.00556656,0.03997696,0.12771729,0.35819547,0.47680676,0.64826403
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-13 00:00:00.000000,0.00927187,0.07571417,0.21886753,0,2,6,0,1,3,0.00598947,0.04349582,0.13447745,0.35815872,0.47667420,0.64825492
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-14 00:00:00.000000,0.00990833,0.08142581,0.23150680,0,2,6,0,1,3,0.00643960,0.04707613,0.14169651,0.35807128,0.47621651,0.64821380
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-15 00:00:00.000000,0.01063401,0.08740468,0.24466847,0,2,6,0,1,4,0.00691980,0.05077977,0.14945729,0.35784471,0.47468166,0.64803664
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-16 00:00:00.000000,0.01140903,0.09362345,0.25472768,0,2,7,0,1,4,0.00743254,0.05530525,0.15664036,0.35722403,0.47153548,0.64728483
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-17 00:00:00.000000,0.01222391,0.09998845,0.25571446,0,2,7,0,1,4,0.00797863,0.06068568,0.15445600,0.35548704,0.46491706,0.64413426
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-18 00:00:00.000000,0.01303430,0.10492078,0.26693217,0,2,7,0,1,4,0.00855170,0.06355919,0.15397411,0.35074676,0.45346987,0.63146612
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-19 00:00:00.000000,0.01374892,0.10955912,0.27719183,0,3,7,0,1,4,0.00883107,0.06532033,0.15981793,0.33291351,0.44122709,0.59988525
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-20 00:00:00.000000,0.01434551,0.11360231,0.28058819,0,3,7,0,1,4,0.00907654,0.06730238,0.16542870,0.31498044,0.42802262,0.56211214
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-21 00:00:00.000000,0.01452744,0.11547710,0.27737932,0,3,7,0,1,4,0.00925795,0.06795656,0.16993053,0.29157499,0.41236009,0.55203875
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-22 00:00:00.000000,0.01456336,0.11861737,0.29115561,0,3,8,0,1,4,0.00936732,0.07027712,0.17615530,0.27090124,0.38763407,0.53559974
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-23 00:00:00.000000,0.01476810,0.11943751,0.30525072,0,3,8,0,2,5,0.00960854,0.07296677,0.18498465,0.25595749,0.37416422,0.51829095
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-24 00:00:00.000000,0.01493894,0.12113780,0.31969610,0,3,8,0,2,5,0.00976441,0.07551938,0.19400239,0.23574003,0.35818985,0.51688604
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-25 00:00:00.000000,0.01509594,0.12070140,0.33077272,0,3,9,0,2,5,0.00988787,0.07657346,0.20323970,0.22826806,0.34993938,0.51338592
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-26 00:00:00.000000,0.01525133,0.12297665,0.32854916,0,3,9,0,2,5,0.01000000,0.07804809,0.21264753,0.21869090,0.34400171,0.50634155
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-27 00:00:00.000000,0.01544876,0.12641723,0.32340967,0,3,8,0,2,5,0.01010895,0.08041153,0.21425782,0.19775472,0.32576947,0.49449124
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-28 00:00:00.000000,0.01571680,0.13121081,0.31705714,0,3,8,0,2,5,0.01023692,0.08200369,0.21139550,0.17982893,0.31027476,0.47904789
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-29 00:00:00.000000,0.01600241,0.13180668,0.32891953,0,3,9,0,2,5,0.01041592,0.08442833,0.20749045,0.16888719,0.29942878,0.45528802
31087,0,USNebraskaHitchcock,Nebraska,Hitchcock,2021-12-09 18:28:46.807059,2020-03-30 00:00:00.000000,0.01631422,0.12475357,0.34097165,0,3,9,0,2,5,0.01061605,0.08463649,0.21257191,0.16722723,0.29279540,0.43561037
