FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-09 00:00:00.000000,0.00416474,0.04152674,0.18155437,0,2,9,0,1,5,0.00249481,0.02238191,0.10084828,0.35471251,0.46798932,0.62256236
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-10 00:00:00.000000,0.00467762,0.04486270,0.18611528,0,2,9,0,1,4,0.00257634,0.02276338,0.09857778,0.35463738,0.46798915,0.62102148
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-11 00:00:00.000000,0.00523755,0.04768042,0.19419736,0,2,9,0,1,5,0.00277412,0.02362985,0.10269800,0.35449774,0.46798867,0.61860643
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-12 00:00:00.000000,0.00585548,0.05151755,0.21366071,0,2,10,0,1,5,0.00304485,0.02536441,0.11035533,0.35423418,0.46798725,0.61485808
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-13 00:00:00.000000,0.00653962,0.05520108,0.23476820,0,2,11,0,1,6,0.00337080,0.02744443,0.12021692,0.35373195,0.46798273,0.61199824
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-14 00:00:00.000000,0.00729638,0.05957176,0.25771480,0,3,13,0,1,6,0.00374580,0.03049705,0.13168774,0.35277208,0.46796776,0.61195013
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-15 00:00:00.000000,0.00813000,0.06322422,0.27369778,0,3,13,0,1,7,0.00416880,0.03370003,0.14452461,0.35094891,0.46791732,0.61183966
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-16 00:00:00.000000,0.00904138,0.06884223,0.28380168,0,3,14,0,1,7,0.00464061,0.03668765,0.15015078,0.34758890,0.46180514,0.61158527
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-17 00:00:00.000000,0.01002620,0.07422371,0.29408837,0,3,14,0,1,7,0.00516201,0.03937555,0.15592125,0.34204930,0.46168531,0.61099674
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-18 00:00:00.000000,0.01107350,0.07716784,0.30425912,0,3,15,0,2,8,0.00573219,0.04186985,0.16182308,0.33165082,0.45532966,0.60962609
31097,0,USNebraskaJohnson,Nebraska,Johnson,2021-01-05 16:03:14.338699,2020-03-19 00:00:00.000000,0.01216629,0.07985895,0.32894306,0,4,16,0,2,8,0.00634758,0.04460544,0.16949591,0.30743418,0.43879752,0.60641444
