FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-09 00:00:00.000000,0.00434959,0.02091384,0.08183007,0,4,15,0,2,7,0.00233207,0.01051135,0.04038508,0.40571899,0.54584535,0.72064705
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-10 00:00:00.000000,0.00482552,0.02321576,0.08797159,0,4,17,0,2,8,0.00230865,0.01076916,0.04230394,0.40571899,0.54584344,0.72063756
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-11 00:00:00.000000,0.00529584,0.02529914,0.09436735,1,4,18,0,2,8,0.00241138,0.01137209,0.04592244,0.40571899,0.54583636,0.72062380
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-12 00:00:00.000000,0.00577705,0.02722764,0.10111848,1,5,19,0,2,9,0.00259244,0.01210891,0.04969575,0.40571896,0.54563416,0.72060390
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-13 00:00:00.000000,0.00628047,0.02912219,0.10825731,1,5,20,0,2,10,0.00282430,0.01314478,0.05187134,0.40557061,0.54368413,0.72057486
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-14 00:00:00.000000,0.00681436,0.03102750,0.11581741,1,6,22,0,2,10,0.00309161,0.01429356,0.05360122,0.40461988,0.54012271,0.72052981
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-15 00:00:00.000000,0.00738519,0.03359772,0.12383313,1,6,23,0,2,10,0.00338641,0.01530270,0.05552006,0.40280820,0.53925769,0.72043889
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-16 00:00:00.000000,0.00799845,0.03610895,0.13010379,1,6,25,0,3,11,0.00370511,0.01645768,0.05925235,0.39911985,0.53470040,0.71749441
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-17 00:00:00.000000,0.00865909,0.03867676,0.14012323,1,7,27,0,3,12,0.00404680,0.01741396,0.06387989,0.39665526,0.53140915,0.71334574
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-18 00:00:00.000000,0.00937187,0.04135476,0.15015630,1,8,29,0,3,13,0.00441214,0.01887525,0.06883641,0.39678251,0.52348708,0.70540608
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-19 00:00:00.000000,0.01014134,0.04410068,0.15858277,1,8,30,0,3,14,0.00480275,0.02040881,0.07397531,0.36100543,0.49526755,0.67931273
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-20 00:00:00.000000,0.01097082,0.04679625,0.16376177,2,9,31,1,4,15,0.00522079,0.02199780,0.07882288,0.32677910,0.47877164,0.67228055
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-21 00:00:00.000000,0.01185619,0.04825237,0.16653784,2,9,32,1,4,16,0.00566854,0.02323885,0.08271336,0.30701059,0.44728426,0.66265582
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-22 00:00:00.000000,0.01269296,0.04965563,0.16826715,2,9,32,1,4,16,0.00614684,0.02420312,0.08733761,0.28674248,0.42922367,0.64853796
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-23 00:00:00.000000,0.02009458,0.06051073,0.17924039,3,11,34,1,4,18,0.00665165,0.02498603,0.09335463,0.26844199,0.41312929,0.60053597
35028,0,USNewMexicoLosAlamos,New Mexico,Los Alamos,2021-02-10 06:41:01.127895,2020-03-24 00:00:00.000000,0.02610585,0.07629002,0.19452300,5,14,37,1,5,19,0.00882436,0.02916044,0.10098889,0.25672864,0.39175959,0.59853407
