FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-09 00:00:00.000000,0.04065904,0.07224401,0.11182938,124,220,341,48,100,164,0.01579702,0.03300739,0.05378084,0.48045854,0.63324238,0.81935972
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-10 00:00:00.000000,0.04916530,0.08132547,0.12275855,150,248,375,59,113,176,0.01935564,0.03711531,0.05782765,0.48046162,0.63261396,0.81935908
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-11 00:00:00.000000,0.05774653,0.09255466,0.13592502,176,282,415,72,123,193,0.02360035,0.04026465,0.06320340,0.48046796,0.63259789,0.81935687
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-12 00:00:00.000000,0.06537537,0.10344953,0.15162754,199,316,463,83,138,213,0.02739821,0.04526945,0.06990783,0.48048096,0.63252935,0.81934926
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-13 00:00:00.000000,0.07456670,0.11569225,0.16759119,227,353,512,94,153,243,0.03105267,0.05009029,0.07956938,0.48050757,0.63223806,0.81932300
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-14 00:00:00.000000,0.08490064,0.12631977,0.18502793,259,385,565,107,171,269,0.03515790,0.05601709,0.08833649,0.48056179,0.63102045,0.81923244
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-15 00:00:00.000000,0.09556823,0.13898679,0.20583769,291,424,628,121,191,302,0.03991713,0.06279180,0.09887476,0.48067119,0.63032088,0.81892032
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-16 00:00:00.000000,0.10731141,0.15453902,0.22878145,327,472,698,140,215,332,0.04597919,0.07058816,0.10869248,0.48088788,0.62906141,0.81784698
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-17 00:00:00.000000,0.12026986,0.17154523,0.25247353,367,524,771,160,237,360,0.05267785,0.07783639,0.11809945,0.47733263,0.62472170,0.81418566
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-18 00:00:00.000000,0.13422112,0.18713802,0.28204959,410,571,861,183,262,397,0.05990368,0.08587962,0.13016930,0.43986666,0.60549047,0.80203952
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-19 00:00:00.000000,0.14646608,0.20611595,0.31282842,447,629,955,203,287,446,0.06677272,0.09423693,0.14624769,0.40266644,0.57358065,0.76522720
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-20 00:00:00.000000,0.16034292,0.22278388,0.34036792,489,680,1039,223,318,499,0.07308568,0.10431944,0.16337930,0.36974477,0.52288963,0.70949544
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-21 00:00:00.000000,0.17672940,0.23774556,0.36287508,539,726,1108,249,349,551,0.08158068,0.11445599,0.18048329,0.35086373,0.47139532,0.66988440
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-22 00:00:00.000000,0.18634197,0.25179866,0.38171595,569,769,1166,273,378,599,0.08963615,0.12402454,0.19638677,0.33649879,0.44485173,0.62123149
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-23 00:00:00.000000,0.19434225,0.26229995,0.39940624,593,801,1220,289,403,643,0.09492162,0.13195289,0.21068530,0.32414319,0.42174311,0.59787321
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-24 00:00:00.000000,0.20256053,0.27565648,0.41672843,618,842,1273,309,424,683,0.10126789,0.13888677,0.22366243,0.31713527,0.40924341,0.54413777
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-25 00:00:00.000000,0.21116415,0.28777223,0.43434919,645,879,1326,329,445,720,0.10799460,0.14579446,0.23579675,0.31516422,0.40453174,0.54284562
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-26 00:00:00.000000,0.22025408,0.30185422,0.45253915,672,922,1382,344,467,756,0.11286004,0.15312936,0.24749652,0.30564043,0.40841970,0.53469854
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-27 00:00:00.000000,0.22982487,0.31453024,0.47949787,702,960,1464,354,485,791,0.11594482,0.15884680,0.25898033,0.30101859,0.40151356,0.50676474
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-28 00:00:00.000000,0.24000952,0.32704201,0.50939605,733,999,1556,368,511,825,0.12052876,0.16748517,0.27016537,0.30366136,0.39349054,0.50467860
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-29 00:00:00.000000,0.25104609,0.33913005,0.52655739,766,1036,1608,384,537,858,0.12589238,0.17592246,0.28090162,0.30623246,0.38637657,0.50266387
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-30 00:00:00.000000,0.26242172,0.34853781,0.54470534,801,1064,1664,401,562,889,0.13144537,0.18423445,0.29130121,0.29587086,0.38892207,0.48994446
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-03-31 00:00:00.000000,0.27475044,0.36080728,0.56301357,839,1102,1720,420,587,921,0.13750369,0.19235265,0.30172486,0.28832512,0.38451132,0.48557271
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-01 00:00:00.000000,0.27701397,0.37222122,0.58136372,846,1137,1776,436,612,953,0.14295906,0.20044693,0.31222716,0.28305710,0.38459095,0.47931424
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-02 00:00:00.000000,0.28646895,0.38655960,0.59953243,875,1180,1831,449,635,992,0.14720082,0.20802633,0.32475248,0.28719026,0.38657066,0.47865183
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-03 00:00:00.000000,0.29371167,0.40222278,0.61816025,897,1228,1888,464,662,1031,0.15215600,0.21694010,0.33771199,0.29107844,0.38361151,0.47768072
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-04 00:00:00.000000,0.30474329,0.41668732,0.63422221,931,1273,1937,484,684,1070,0.15869540,0.22416525,0.35041439,0.29101176,0.38612742,0.48084587
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-05 00:00:00.000000,0.31617786,0.43045485,0.66301045,965,1315,2025,508,707,1109,0.16656882,0.23152605,0.36302952,0.29371667,0.39230940,0.49181492
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-06 00:00:00.000000,0.33024620,0.44963239,0.68642576,1008,1373,2097,527,731,1155,0.17258982,0.23941197,0.37832533,0.28259141,0.39261455,0.49956578
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-07 00:00:00.000000,0.33922271,0.46526884,0.70203625,1036,1421,2144,548,760,1209,0.17961056,0.24890281,0.39585576,0.27933030,0.39068285,0.50428005
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-08 00:00:00.000000,0.35463815,0.48450762,0.72760979,1083,1480,2222,574,790,1244,0.18790294,0.25863102,0.40735602,0.27853103,0.38892211,0.50040550
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-09 00:00:00.000000,0.37215664,0.51167650,0.75169086,1136,1563,2296,585,824,1261,0.19169468,0.27001309,0.41279777,0.27958342,0.39790957,0.48413916
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-10 00:00:00.000000,0.39050654,0.54284727,0.77125866,1193,1658,2356,601,859,1276,0.19685761,0.28137519,0.41789685,0.30115620,0.39345618,0.48739185
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-11 00:00:00.000000,0.40823546,0.57176495,0.79140917,1247,1746,2417,624,890,1294,0.20441978,0.29142364,0.42358581,0.30821194,0.39448628,0.49031166
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-12 00:00:00.000000,0.42444853,0.60090268,0.81272721,1296,1835,2482,653,939,1322,0.21383795,0.30749396,0.43290299,0.30440435,0.39334969,0.49271266
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-13 00:00:00.000000,0.43710926,0.62334892,0.85157441,1335,1904,2601,685,985,1374,0.22450279,0.32267496,0.44976207,0.30205096,0.39639002,0.49463027
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-14 00:00:00.000000,0.45606152,0.64016915,0.89229829,1393,1955,2726,721,1022,1443,0.23605962,0.33466422,0.47245637,0.29946326,0.39629579,0.49267837
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-15 00:00:00.000000,0.47675488,0.66659178,0.92732233,1456,2036,2833,758,1053,1512,0.24838003,0.34474107,0.49516893,0.29553128,0.39645734,0.49214348
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-16 00:00:00.000000,0.50095121,0.69309619,0.95867691,1530,2117,2928,798,1084,1582,0.26139147,0.35514207,0.51798520,0.28638358,0.39110624,0.49056127
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-17 00:00:00.000000,0.52357567,0.71316166,0.99009093,1599,2178,3024,840,1115,1653,0.27500920,0.36508789,0.54118911,0.26895351,0.38854967,0.49022636
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-18 00:00:00.000000,0.54484998,0.73700685,1.02310498,1664,2251,3125,881,1151,1725,0.28867917,0.37703347,0.56476420,0.28414257,0.38595418,0.47847827
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-19 00:00:00.000000,0.56849482,0.75660600,1.06904856,1736,2311,3266,915,1197,1798,0.29977030,0.39181127,0.58859964,0.28959984,0.38156306,0.47056255
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-20 00:00:00.000000,0.59446153,0.78469106,1.10126918,1816,2397,3364,959,1240,1871,0.31407333,0.40614179,0.61261537,0.27398288,0.37606598,0.46364935
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-21 00:00:00.000000,0.61219904,0.81225154,1.13717671,1870,2481,3474,1002,1281,1945,0.32826099,0.41934522,0.63690033,0.26070702,0.36864912,0.46505629
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-22 00:00:00.000000,0.62878040,0.83645369,1.18382382,1920,2555,3616,1038,1317,2020,0.33990620,0.43129678,0.66152382,0.24739313,0.35772912,0.46192418
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-23 00:00:00.000000,0.64480890,0.84658827,1.22434521,1969,2586,3740,1073,1361,2097,0.35123275,0.44549300,0.68652140,0.22924753,0.34429524,0.44985864
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-24 00:00:00.000000,0.66060168,0.84568719,1.25568714,2018,2583,3836,1104,1395,2174,0.36162592,0.45687510,0.71186523,0.21589430,0.32352864,0.41428692
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-25 00:00:00.000000,0.67415392,0.86344585,1.27682441,2059,2637,3900,1123,1416,2252,0.36781732,0.46379454,0.73742841,0.20685451,0.30033134,0.37924814
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-26 00:00:00.000000,0.68755229,0.86527895,1.29478237,2100,2643,3955,1135,1440,2330,0.37175830,0.47148597,0.76292579,0.20304047,0.28709399,0.36493746
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-27 00:00:00.000000,0.69626330,0.86916877,1.30954562,2127,2655,4000,1135,1459,2406,0.37172462,0.47783569,0.78777885,0.19695448,0.27047864,0.36049069
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-28 00:00:00.000000,0.68136359,0.85997432,1.29856500,2081,2627,3967,1129,1453,2476,0.36968068,0.47571690,0.81048809,0.19039939,0.25091268,0.34917063
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-29 00:00:00.000000,0.66314348,0.86229800,1.28755998,2025,2634,3933,1119,1449,2529,0.36648694,0.47455711,0.82801369,0.18544188,0.24150669,0.32765494
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-04-30 00:00:00.000000,0.65086432,0.85262960,1.27738301,1988,2604,3902,1104,1450,2554,0.36146286,0.47469312,0.83617546,0.16717929,0.22461834,0.31470410
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-01 00:00:00.000000,0.62785123,0.83665728,1.26320221,1918,2556,3859,1081,1444,2553,0.35412991,0.47270950,0.83597900,0.15913478,0.21504855,0.30003499
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-02 00:00:00.000000,0.60323314,0.81834078,1.24554767,1842,2500,3805,1047,1423,2531,0.34303685,0.46585935,0.82873585,0.14911812,0.20823023,0.28767986
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-03 00:00:00.000000,0.57836498,0.80110542,1.22510040,1766,2447,3742,1011,1395,2500,0.33109561,0.45689828,0.81837820,0.14913856,0.20791430,0.27879774
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-04 00:00:00.000000,0.55611563,0.78189114,1.19504121,1698,2388,3650,973,1367,2456,0.31865715,0.44751761,0.80396916,0.14534895,0.20315473,0.27317738
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-05 00:00:00.000000,0.54082257,0.76188240,1.16276791,1652,2327,3552,935,1343,2405,0.30606427,0.43968707,0.78750991,0.13945319,0.20380082,0.27011297
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-06 00:00:00.000000,0.52573691,0.74064678,1.12962049,1606,2262,3451,902,1307,2350,0.29540665,0.42796123,0.76950833,0.13724344,0.20083902,0.26821270
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-07 00:00:00.000000,0.51102507,0.71833288,1.09527721,1561,2194,3346,878,1267,2291,0.28745676,0.41479210,0.75022894,0.13714671,0.19923712,0.26091470
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-08 00:00:00.000000,0.49742564,0.69645853,1.05928934,1519,2127,3236,854,1234,2212,0.27958042,0.40410045,0.72420086,0.13709180,0.19955642,0.26192105
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-09 00:00:00.000000,0.48689406,0.67246011,1.02142810,1487,2054,3120,831,1206,2130,0.27204422,0.39503952,0.69742255,0.13704394,0.19983968,0.26222528
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-10 00:00:00.000000,0.47799387,0.65006179,0.98197418,1460,1985,2999,811,1178,2048,0.26551785,0.38559456,0.67043473,0.13596107,0.20293003,0.25686362
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-11 00:00:00.000000,0.46972537,0.63262229,0.94328626,1435,1932,2881,794,1140,1966,0.25995331,0.37326045,0.64352352,0.13446557,0.20217523,0.27029255
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-12 00:00:00.000000,0.46171322,0.61282633,0.90457200,1410,1872,2763,779,1104,1887,0.25501979,0.36157358,0.61772695,0.13361691,0.19827886,0.27438033
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-13 00:00:00.000000,0.45290552,0.59425615,0.88030185,1383,1815,2689,759,1069,1827,0.24867988,0.35017949,0.59828579,0.13312229,0.19687059,0.27506600
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-14 00:00:00.000000,0.43642234,0.57215346,0.86151450,1333,1747,2631,737,1034,1765,0.24134886,0.33862401,0.57790600,0.13230357,0.19514690,0.27463788
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-15 00:00:00.000000,0.42088403,0.55021540,0.84302721,1285,1680,2575,716,992,1701,0.23450319,0.32479189,0.55705176,0.12892959,0.19514283,0.27135780
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-16 00:00:00.000000,0.40636269,0.53243513,0.82477612,1241,1626,2519,696,957,1637,0.22805565,0.31336485,0.53609672,0.13074640,0.19494788,0.26272970
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-17 00:00:00.000000,0.39284389,0.51732592,0.79251227,1200,1580,2421,677,927,1574,0.22162978,0.30373376,0.51529635,0.13014326,0.19252746,0.25434645
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-18 00:00:00.000000,0.38086822,0.50082410,0.77137568,1163,1530,2356,653,903,1511,0.21390654,0.29578518,0.49481454,0.12765297,0.18759457,0.25362720
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-19 00:00:00.000000,0.36783290,0.47939243,0.75483331,1123,1464,2306,630,880,1450,0.20646696,0.28820861,0.47462977,0.12516118,0.18604420,0.25335149
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-20 00:00:00.000000,0.35528707,0.46231104,0.73664157,1085,1412,2250,608,850,1389,0.19933822,0.27841678,0.45479280,0.12308228,0.18230290,0.25014892
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-21 00:00:00.000000,0.34318435,0.44718560,0.71730213,1048,1366,2191,588,818,1347,0.19249529,0.26802838,0.44099810,0.12225473,0.17612046,0.24812848
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-22 00:00:00.000000,0.33060322,0.42746517,0.69138379,1010,1305,2112,567,785,1316,0.18591122,0.25715369,0.43094202,0.11898411,0.17458780,0.24743111
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-23 00:00:00.000000,0.31430884,0.40900238,0.66210721,960,1249,2022,548,754,1274,0.17956586,0.24680487,0.41723896,0.11463439,0.17253789,0.24211843
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-24 00:00:00.000000,0.29867090,0.39212160,0.63192868,912,1197,1930,526,728,1231,0.17228079,0.23848370,0.40318302,0.11396269,0.17047001,0.23803751
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-25 00:00:00.000000,0.28351435,0.37288536,0.60193745,866,1139,1838,500,694,1192,0.16396355,0.22736145,0.39020483,0.11094287,0.16409052,0.23597277
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-26 00:00:00.000000,0.26913988,0.35382628,0.57272838,822,1080,1749,476,662,1155,0.15584647,0.21697737,0.37821886,0.10923394,0.16061200,0.23333087
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-27 00:00:00.000000,0.25952397,0.33829493,0.54454672,792,1033,1663,452,637,1121,0.14802410,0.20860180,0.36700991,0.10842325,0.16037500,0.23148388
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-28 00:00:00.000000,0.25078153,0.32339851,0.51749223,766,988,1580,429,609,1088,0.14055140,0.19958495,0.35631066,0.10749820,0.15629202,0.22965908
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-29 00:00:00.000000,0.23916183,0.31034692,0.49903007,730,948,1524,409,582,1056,0.13387698,0.19071049,0.34584490,0.10782698,0.15691972,0.22611149
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-30 00:00:00.000000,0.22833403,0.29718890,0.48314583,697,907,1476,395,559,1024,0.12936556,0.18323729,0.33545456,0.10809514,0.15824532,0.21456076
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-05-31 00:00:00.000000,0.21848523,0.28196814,0.46759354,667,861,1428,380,535,993,0.12467794,0.17529417,0.32513919,0.10742192,0.15911807,0.21111847
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-06-01 00:00:00.000000,0.20824700,0.27135209,0.45252814,636,828,1382,365,511,962,0.11974568,0.16736985,0.31495842,0.10716194,0.16190561,0.21479826
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-06-02 00:00:00.000000,0.19917661,0.25971366,0.43791188,608,793,1337,350,486,931,0.11474799,0.15911357,0.30498738,0.10660685,0.16220422,0.20818667
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-06-03 00:00:00.000000,0.19069987,0.24666037,0.42375689,582,753,1294,336,461,896,0.10998499,0.15113854,0.29336413,0.10687181,0.16184570,0.20692844
36001,0,USNewYorkAlbany,New York,Albany,2021-07-22 17:34:26.602537,2020-06-04 00:00:00.000000,0.18275842,0.23365579,0.41006689,558,713,1252,322,440,859,0.10556351,0.14424030,0.28136496,0.10851689,0.16229114,0.21081763
