FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-09 00:00:00.000000,0.00588408,0.01818503,0.03796915,4,12,26,1,6,13,0.00271286,0.00915410,0.01960857,0.55601354,0.74110329,0.91790805
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-10 00:00:00.000000,0.00708884,0.02111517,0.04173764,5,14,29,2,7,14,0.00306613,0.01020408,0.02009196,0.55599365,0.74110107,0.91790779
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-11 00:00:00.000000,0.00794707,0.02445441,0.04655056,5,17,33,2,8,15,0.00363902,0.01157846,0.02212842,0.55595191,0.74109666,0.91790693
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-12 00:00:00.000000,0.00868604,0.02776917,0.05315777,6,19,37,2,9,17,0.00413039,0.01345338,0.02496436,0.55586430,0.74108765,0.91790410
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-13 00:00:00.000000,0.00946904,0.03153577,0.06012207,6,22,42,3,11,20,0.00460529,0.01557951,0.02890881,0.55568062,0.74106846,0.91789478
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-14 00:00:00.000000,0.01029982,0.03552793,0.06861101,7,25,48,3,12,23,0.00509334,0.01771092,0.03337144,0.55529626,0.74102568,0.91786394
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-15 00:00:00.000000,0.01118272,0.04014437,0.07826895,7,28,55,3,14,27,0.00559734,0.01982635,0.03825750,0.55449538,0.74092542,0.91776180
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-16 00:00:00.000000,0.02162743,0.05055438,0.09299989,15,35,65,4,15,31,0.00612206,0.02246355,0.04431879,0.55284231,0.73947012,0.91742370
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-17 00:00:00.000000,0.03200671,0.06394163,0.10830443,22,45,76,7,18,36,0.00987537,0.02630434,0.05166645,0.54950216,0.73440496,0.91630780
36053,0,USNewYorkMadison,New York,Madison,2021-10-14 11:43:03.444169,2020-03-18 00:00:00.000000,0.03901266,0.07737974,0.12957540,27,54,91,11,23,42,0.01625503,0.03269795,0.06032639,0.54306487,0.73287510,0.91266360
