FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-09 00:00:00.000000,0.00688747,0.01626236,0.03202196,7,16,32,1,7,16,0.00134810,0.00705191,0.01570594,0.54031560,0.69183933,0.86965871
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-10 00:00:00.000000,0.01040878,0.02234398,0.04363602,10,22,44,3,8,17,0.00328903,0.00876837,0.01702130,0.54031526,0.69183793,0.86861302
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-11 00:00:00.000000,0.01399180,0.02874781,0.05224249,14,29,53,5,11,22,0.00509936,0.01171235,0.02157496,0.54031437,0.69183425,0.86695004
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-12 00:00:00.000000,0.01764718,0.03634365,0.06594260,18,37,67,7,15,29,0.00688268,0.01544605,0.02884495,0.54031207,0.69182395,0.86432169
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-13 00:00:00.000000,0.02184709,0.04397311,0.08152795,22,44,83,9,19,37,0.00898308,0.01942794,0.03632049,0.54030615,0.69179332,0.86020803
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-14 00:00:00.000000,0.02659328,0.05296624,0.09914533,27,54,101,11,25,46,0.01114613,0.02487006,0.04542918,0.54029099,0.69169750,0.85386721
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-15 00:00:00.000000,0.03098292,0.06270989,0.11937095,31,64,121,13,29,57,0.01339059,0.02915642,0.05579542,0.53643850,0.69081913,0.84431884
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-16 00:00:00.000000,0.04046462,0.07200131,0.13562275,41,73,138,16,35,68,0.01596372,0.03503874,0.06747918,0.53529539,0.68812381,0.83982990
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-17 00:00:00.000000,0.04844426,0.08418156,0.15420953,49,86,157,20,41,79,0.01994902,0.04098204,0.07738745,0.53282027,0.68354669,0.83826751
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-18 00:00:00.000000,0.05618449,0.09636779,0.17296686,57,98,176,24,48,89,0.02434178,0.04737092,0.08722050,0.52708928,0.67786304,0.83531928
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-19 00:00:00.000000,0.06475911,0.11130562,0.19090250,66,113,195,30,56,101,0.03029116,0.05514232,0.09942430,0.50523401,0.67013869,0.82624310
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-20 00:00:00.000000,0.07422722,0.12595267,0.20892806,75,128,213,35,63,117,0.03517130,0.06241299,0.11469604,0.48318716,0.65108445,0.82203621
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-21 00:00:00.000000,0.08439384,0.14105639,0.23054613,86,144,235,40,71,131,0.03988825,0.06966728,0.12821464,0.44941015,0.61950284,0.81631561
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-22 00:00:00.000000,0.09488571,0.15757951,0.24817784,96,161,253,46,80,147,0.04510231,0.07909911,0.14391187,0.41027263,0.56755230,0.80591783
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-23 00:00:00.000000,0.10778932,0.17377982,0.28015277,110,177,286,51,89,166,0.05085591,0.08722382,0.16289582,0.38935661,0.52179550,0.74625885
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-24 00:00:00.000000,0.12160464,0.18419669,0.30389703,124,188,310,58,97,176,0.05727768,0.09537608,0.17314941,0.36526740,0.50338587,0.67567835
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-25 00:00:00.000000,0.13397888,0.19867932,0.31194116,136,203,318,65,106,186,0.06437846,0.10404808,0.18243193,0.31255887,0.48428082,0.66622239
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-26 00:00:00.000000,0.14457274,0.21053530,0.32458640,147,215,331,72,115,195,0.07096022,0.11272912,0.19146574,0.26808131,0.44649811,0.65588852
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-27 00:00:00.000000,0.15723080,0.21548640,0.34620906,160,220,353,77,123,204,0.07600729,0.12092569,0.20055283,0.25316100,0.41532306,0.60291599
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-28 00:00:00.000000,0.16483435,0.22564968,0.35378392,168,230,361,85,130,214,0.08382037,0.12756332,0.20954521,0.22355280,0.37587730,0.55441410
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-29 00:00:00.000000,0.16022896,0.23101587,0.36009824,163,236,367,91,135,219,0.09001888,0.13300638,0.21465641,0.21547349,0.34203925,0.52947167
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-30 00:00:00.000000,0.15611668,0.23360532,0.38496445,159,238,393,93,139,231,0.09119372,0.13675182,0.22636476,0.20663961,0.30359293,0.49537546
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-03-31 00:00:00.000000,0.15195142,0.23394963,0.40240968,155,239,411,92,141,238,0.09093034,0.13807611,0.23364994,0.18716140,0.27881114,0.45724715
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-01 00:00:00.000000,0.14789573,0.23298399,0.40168262,151,238,410,92,142,246,0.09026929,0.13919299,0.24149352,0.17674553,0.26735881,0.41652311
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-02 00:00:00.000000,0.14381951,0.22936736,0.39851456,146,234,407,91,142,249,0.08974359,0.13980535,0.24430084,0.15877169,0.24857489,0.37366436
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-03 00:00:00.000000,0.13914329,0.22493872,0.39438019,142,229,402,91,142,249,0.08925838,0.13951606,0.24431426,0.14545543,0.23602076,0.33266170
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-04 00:00:00.000000,0.13442211,0.21907230,0.38965096,137,223,398,85,140,248,0.08377295,0.13775013,0.24289085,0.13624711,0.21743478,0.32156519
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-05 00:00:00.000000,0.13006972,0.21189832,0.37182799,132,216,379,78,138,245,0.07695963,0.13542065,0.24060901,0.13076838,0.20407471,0.27746922
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-06 00:00:00.000000,0.12413458,0.20648340,0.35317824,126,210,360,76,135,242,0.07530528,0.13233861,0.23759650,0.12888794,0.19283537,0.26761550
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-07 00:00:00.000000,0.11827783,0.19964630,0.33481633,120,203,342,75,129,232,0.07367159,0.12721301,0.22781745,0.12770935,0.18570450,0.23716575
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-08 00:00:00.000000,0.11233540,0.19227481,0.31712150,114,196,324,72,124,228,0.07126876,0.12154865,0.22337445,0.12649398,0.17896417,0.22988195
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-09 00:00:00.000000,0.10628476,0.18216175,0.30792360,108,186,314,69,118,220,0.06836989,0.11572417,0.21621047,0.12505479,0.17381907,0.22275570
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-10 00:00:00.000000,0.10012418,0.17341798,0.29705106,102,177,303,66,111,210,0.06513083,0.10944701,0.20609358,0.11850000,0.16797855,0.22003675
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-11 00:00:00.000000,0.09281089,0.16566940,0.28456646,94,169,290,63,105,199,0.06182232,0.10346959,0.19522760,0.10718429,0.16280340,0.21926047
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-12 00:00:00.000000,0.08556293,0.15638564,0.26717337,87,159,272,59,100,188,0.05813360,0.09826648,0.18417557,0.10205483,0.16017110,0.21067499
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-13 00:00:00.000000,0.08130210,0.14751658,0.24929977,83,150,254,55,94,180,0.05427043,0.09275731,0.17652862,0.10047477,0.15646043,0.20929885
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-14 00:00:00.000000,0.07509030,0.13857516,0.23772928,76,141,242,51,89,172,0.05050775,0.08750743,0.16834713,0.09570520,0.15469778,0.20735617
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-15 00:00:00.000000,0.06934605,0.13166220,0.23076627,70,134,235,47,84,163,0.04693798,0.08316253,0.15961273,0.09487957,0.14979752,0.20084743
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-16 00:00:00.000000,0.06410060,0.12495295,0.22213885,65,127,226,44,80,154,0.04360006,0.07884385,0.15076808,0.09362516,0.14514201,0.20072709
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-17 00:00:00.000000,0.05933620,0.12058340,0.21186597,60,123,216,41,75,147,0.04050415,0.07435710,0.14425841,0.09109026,0.14163357,0.19948964
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-18 00:00:00.000000,0.05511342,0.11488122,0.19887827,56,117,203,38,72,141,0.03764726,0.07134772,0.13834119,0.08655484,0.13919022,0.19526278
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-19 00:00:00.000000,0.05135676,0.10825560,0.18730120,52,110,191,35,68,135,0.03499454,0.06734831,0.13281010,0.08295547,0.13518032,0.19820080
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-20 00:00:00.000000,0.04859660,0.10230159,0.17756257,49,104,181,32,65,130,0.03198590,0.06430523,0.12729256,0.08171141,0.13135613,0.19472782
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-21 00:00:00.000000,0.04615099,0.09707738,0.16680799,47,99,170,30,61,124,0.02979299,0.06028461,0.12139433,0.08130976,0.12866282,0.19067227
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-22 00:00:00.000000,0.04399688,0.09067765,0.15801532,44,92,161,28,57,117,0.02812558,0.05608947,0.11532897,0.08149908,0.12528506,0.18748408
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-23 00:00:00.000000,0.04203465,0.08484311,0.15246831,42,86,155,27,54,111,0.02680780,0.05308463,0.10907966,0.08084135,0.12550672,0.18992937
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-24 00:00:00.000000,0.04018411,0.07921589,0.14488176,41,80,148,26,50,105,0.02573098,0.04969736,0.10310913,0.07656870,0.12761288,0.18211890
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-25 00:00:00.000000,0.03844449,0.07524989,0.13743499,39,76,140,25,48,101,0.02482535,0.04736060,0.09972733,0.07117585,0.12695454,0.18230056
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-26 00:00:00.000000,0.03684814,0.07075321,0.13161593,37,72,134,24,45,97,0.02398584,0.04468329,0.09567795,0.06878246,0.12249021,0.18202539
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-27 00:00:00.000000,0.03372335,0.06665758,0.12451761,34,68,127,23,43,92,0.02268511,0.04297724,0.09072268,0.06766746,0.12076408,0.18123701
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-28 00:00:00.000000,0.03075140,0.06294637,0.11900800,31,64,121,21,41,87,0.02143720,0.04036006,0.08586334,0.06737319,0.11959078,0.17835802
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-29 00:00:00.000000,0.02992426,0.05948060,0.11522462,30,60,117,20,38,83,0.01971424,0.03735867,0.08185085,0.06725831,0.12126160,0.17721882
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-04-30 00:00:00.000000,0.02793201,0.05628677,0.11163050,28,57,114,18,35,81,0.01795367,0.03482745,0.07930756,0.06697136,0.11984529,0.17615278
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-01 00:00:00.000000,0.02453156,0.05491352,0.10829677,25,56,110,17,33,78,0.01681599,0.03312262,0.07682946,0.06655522,0.11422313,0.17429706
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-02 00:00:00.000000,0.02215427,0.05250193,0.10465875,22,53,106,16,32,76,0.01610541,0.03186097,0.07448583,0.06641906,0.11166790,0.17895187
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-03 00:00:00.000000,0.02004709,0.05038089,0.10083462,20,51,103,14,31,73,0.01455192,0.03067882,0.07229409,0.06608775,0.10995909,0.17902317
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-04 00:00:00.000000,0.02018232,0.04804538,0.09754374,20,49,99,13,31,70,0.01317267,0.03039507,0.06937894,0.06531229,0.10875507,0.17834174
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-05 00:00:00.000000,0.02048980,0.04625997,0.09476593,20,47,96,13,29,68,0.01281335,0.02893764,0.06660428,0.06494322,0.10870218,0.17722513
36109,0,USNewYorkTompkins,New York,Tompkins,2021-09-29 12:06:30.276562,2020-05-06 00:00:00.000000,0.02096658,0.04374706,0.09261827,21,44,94,13,28,65,0.01290712,0.02747613,0.06397003,0.06452872,0.10795260,0.18207868
