FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-09 00:00:00.000000,0.00145352,0.00406616,0.00857988,1,2,5,0,1,3,0.00040441,0.00158644,0.00433453,0.31662976,0.45467244,0.60564782
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-10 00:00:00.000000,0.00189840,0.00581849,0.01153622,1,4,8,0,1,3,0.00050421,0.00196621,0.00451057,0.31662976,0.45463327,0.60564758
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-11 00:00:00.000000,0.00236009,0.00732298,0.01478611,1,5,10,0,1,3,0.00079682,0.00254839,0.00517942,0.31662976,0.45457081,0.60564683
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-12 00:00:00.000000,0.00283865,0.00889371,0.01816222,1,6,12,0,2,4,0.00100803,0.00335846,0.00634568,0.31662974,0.45447073,0.60564426
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-13 00:00:00.000000,0.00333438,0.01069992,0.02175047,2,7,15,0,2,5,0.00122367,0.00406201,0.00794693,0.31662968,0.45430910,0.60563480
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-14 00:00:00.000000,0.00393870,0.01249182,0.02558812,2,8,17,1,3,6,0.00146690,0.00487608,0.00963449,0.30705400,0.44821994,0.60559805
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-15 00:00:00.000000,0.00461637,0.01448619,0.02970170,3,10,20,1,4,7,0.00179597,0.00587644,0.01150019,0.28406554,0.44481423,0.60545175
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-16 00:00:00.000000,0.00855466,0.01716546,0.03290893,5,11,22,1,4,9,0.00215439,0.00696195,0.01357182,0.28405202,0.44418736,0.60257770
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-17 00:00:00.000000,0.01156708,0.01969905,0.03642777,8,13,25,2,5,10,0.00302174,0.00836758,0.01561456,0.27286678,0.42166624,0.57724009
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-18 00:00:00.000000,0.01329398,0.02273904,0.04016976,9,15,27,3,6,12,0.00455353,0.00969298,0.01767332,0.24753882,0.40402186,0.57378124
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-19 00:00:00.000000,0.01461465,0.02621416,0.04636564,10,18,32,4,7,13,0.00604933,0.01098076,0.01979303,0.23321962,0.38602784,0.56895379
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-20 00:00:00.000000,0.01561311,0.02864350,0.05239644,10,19,36,4,8,15,0.00681882,0.01238020,0.02279372,0.20584489,0.36671101,0.56321279
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-21 00:00:00.000000,0.01643500,0.03104254,0.05652711,11,21,39,5,9,17,0.00759576,0.01402120,0.02582906,0.19583686,0.32967936,0.56149775
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-22 00:00:00.000000,0.01722845,0.03367927,0.06076634,11,23,42,5,10,20,0.00835291,0.01574410,0.02913653,0.18368493,0.30504554,0.54961410
37031,0,USNorthCarolinaCarteret,North Carolina,Carteret,2021-11-27 20:31:44.318333,2020-03-23 00:00:00.000000,0.01985357,0.03595902,0.06636651,13,24,46,6,12,22,0.00902294,0.01773031,0.03183277,0.17827392,0.29487727,0.49933777
