FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-09 00:00:00.000000,0.00042797,0.00371299,0.01568721,0,2,8,0,1,4,0.00020577,0.00199022,0.00887094,0.40299609,0.55516511,0.77898031
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-10 00:00:00.000000,0.00049103,0.00430911,0.01664073,0,2,9,0,1,4,0.00022350,0.00209486,0.00875758,0.40299578,0.55497989,0.77659256
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-11 00:00:00.000000,0.00055672,0.00482746,0.01764398,0,2,9,0,1,4,0.00024980,0.00229617,0.00891812,0.40299507,0.55465584,0.77368861
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-12 00:00:00.000000,0.00062748,0.00540157,0.01870730,0,2,10,0,1,5,0.00028313,0.00254442,0.00919149,0.40299342,0.55408869,0.77017621
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-13 00:00:00.000000,0.00070495,0.00602665,0.02085837,0,3,11,0,1,5,0.00032310,0.00289019,0.00970043,0.40298960,0.55365576,0.76813077
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-14 00:00:00.000000,0.00079027,0.00684379,0.02348354,0,3,13,0,1,6,0.00036989,0.00320851,0.01103848,0.40298076,0.55354586,0.76697954
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-15 00:00:00.000000,0.00088405,0.00768629,0.02638284,0,4,14,0,1,6,0.00042410,0.00357234,0.01252462,0.40296027,0.55318146,0.76439286
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-16 00:00:00.000000,0.00265357,0.01051140,0.03146417,1,5,17,0,2,7,0.00048652,0.00394832,0.01416878,0.40291281,0.55010139,0.74316586
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-17 00:00:00.000000,0.00411966,0.01325690,0.03812648,2,7,21,0,2,9,0.00088593,0.00482940,0.01635432,0.40280293,0.54571357,0.70780459
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-18 00:00:00.000000,0.00544671,0.01640084,0.04554812,3,9,25,0,3,10,0.00157230,0.00605357,0.01897232,0.39034337,0.54318982,0.70101685
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-19 00:00:00.000000,0.00682661,0.01987546,0.05389014,3,11,29,1,4,12,0.00233226,0.00759591,0.02196948,0.38188732,0.53639769,0.69741115
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-20 00:00:00.000000,0.00854411,0.02372681,0.06322516,4,13,35,1,5,14,0.00309221,0.00943824,0.02530677,0.36410444,0.51342568,0.68293781
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-21 00:00:00.000000,0.01039017,0.02848641,0.07218150,5,15,40,2,6,16,0.00400110,0.01162761,0.02924700,0.34445034,0.49119427,0.66314626
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-22 00:00:00.000000,0.01237835,0.03353997,0.07978635,6,18,44,2,7,18,0.00507580,0.01412264,0.03379227,0.32769976,0.46613245,0.65180371
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-23 00:00:00.000000,0.01559459,0.03849868,0.08753018,8,21,48,3,9,20,0.00623257,0.01669866,0.03768654,0.27767065,0.45323278,0.64928146
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-24 00:00:00.000000,0.01897338,0.04418844,0.09592546,10,24,53,4,10,23,0.00746130,0.01957326,0.04181519,0.27787806,0.44298245,0.64895162
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-25 00:00:00.000000,0.02267805,0.05063521,0.10496252,12,28,58,4,12,26,0.00883425,0.02237395,0.04723838,0.28946800,0.43951128,0.64069202
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-26 00:00:00.000000,0.02663635,0.05753793,0.11987384,14,31,66,5,14,30,0.01061747,0.02561923,0.05540235,0.28253872,0.43165879,0.64141197
37047,0,USNorthCarolinaColumbus,North Carolina,Columbus,2021-11-10 19:26:32.870008,2020-03-27 00:00:00.000000,0.03045212,0.06509044,0.12995607,16,36,72,7,16,34,0.01294197,0.02931633,0.06167452,0.27642395,0.41023455,0.64205287
