FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-09 00:00:00.000000,0.00118627,0.00538206,0.01086545,1,5,11,0,2,6,0.00050968,0.00204866,0.00607571,0.40302661,0.56002876,0.76002648
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-10 00:00:00.000000,0.00162543,0.00750322,0.01309214,1,7,13,0,2,6,0.00060904,0.00223635,0.00602462,0.40302668,0.56002137,0.76001448
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-11 00:00:00.000000,0.00209422,0.00939702,0.01558272,2,9,15,0,2,6,0.00079338,0.00252272,0.00642226,0.40302682,0.56000512,0.75997845
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-12 00:00:00.000000,0.00260053,0.01131441,0.01790156,2,11,18,1,3,7,0.00100770,0.00319818,0.00708056,0.40302715,0.55996944,0.75987811
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-13 00:00:00.000000,0.00315005,0.01303701,0.02149072,3,13,21,1,3,8,0.00121456,0.00376544,0.00795053,0.40302788,0.55975986,0.75961035
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-14 00:00:00.000000,0.00374489,0.01487108,0.02579745,3,15,26,1,4,9,0.00145965,0.00453968,0.00928933,0.40142401,0.55635002,0.75891509
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-15 00:00:00.000000,0.00439127,0.01699089,0.03044530,4,17,31,1,5,10,0.00174010,0.00530319,0.01050387,0.39965574,0.55428469,0.75714838
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-16 00:00:00.000000,0.00633387,0.01902855,0.03429250,6,19,35,2,6,12,0.00205539,0.00609426,0.01200748,0.39646615,0.55349159,0.75276450
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-17 00:00:00.000000,0.00760358,0.02139480,0.03934943,7,21,40,2,7,14,0.00247125,0.00707947,0.01380011,0.38948600,0.55150573,0.74229697
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-18 00:00:00.000000,0.00898486,0.02362270,0.04489418,9,24,45,3,8,15,0.00297005,0.00821160,0.01530410,0.37481249,0.54393441,0.72723629
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-19 00:00:00.000000,0.01068683,0.02670034,0.05094950,10,27,52,3,9,18,0.00354334,0.00931604,0.01787264,0.36375537,0.52394199,0.71952320
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-20 00:00:00.000000,0.01208227,0.02933471,0.05754342,12,29,58,4,10,21,0.00424097,0.01072327,0.02086103,0.36315696,0.50512368,0.70830219
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-21 00:00:00.000000,0.01372511,0.03293026,0.06445624,14,33,65,5,12,23,0.00515325,0.01202895,0.02324861,0.34989622,0.47934954,0.69431747
37049,0,USNorthCarolinaCraven,North Carolina,Craven,2021-03-04 18:44:22.906653,2020-03-22 00:00:00.000000,0.01537858,0.03641056,0.07118705,15,37,72,6,13,26,0.00618362,0.01327449,0.02571884,0.33894841,0.45939527,0.67656598
