FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-09 00:00:00.000000,0.00108775,0.00482158,0.01619820,1,5,19,0,2,9,0.00018247,0.00185351,0.00821460,0.40752268,0.54781845,0.77461872
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-10 00:00:00.000000,0.00171636,0.00626884,0.01925533,2,7,22,0,2,10,0.00044128,0.00226232,0.00890715,0.40752239,0.54780026,0.77461870
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-11 00:00:00.000000,0.00239856,0.00770205,0.02273889,2,9,26,0,3,12,0.00079498,0.00297944,0.01038834,0.40752132,0.54777102,0.77461863
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-12 00:00:00.000000,0.00315131,0.00989946,0.02669892,3,11,31,1,4,14,0.00119396,0.00374355,0.01197690,0.40751759,0.54772244,0.77461843
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-13 00:00:00.000000,0.00398827,0.01183285,0.03119685,4,13,36,1,5,16,0.00162106,0.00462044,0.01385294,0.40750497,0.54763864,0.77461784
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-14 00:00:00.000000,0.00492213,0.01394030,0.03630363,5,16,42,2,6,18,0.00208532,0.00566300,0.01597381,0.40746302,0.54748731,0.77461608
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-15 00:00:00.000000,0.00596576,0.01634597,0.04209890,7,19,49,3,7,21,0.00258509,0.00672018,0.01833489,0.40732557,0.54616849,0.77461079
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-16 00:00:00.000000,0.00784341,0.01920480,0.04813388,9,22,56,3,9,24,0.00312102,0.00784159,0.02094860,0.40688265,0.54576630,0.77459486
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-17 00:00:00.000000,0.00972637,0.02272002,0.05503926,11,26,64,4,11,27,0.00394268,0.00940299,0.02364854,0.40549922,0.54323016,0.77454668
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-18 00:00:00.000000,0.01124577,0.02644976,0.06261991,13,31,73,5,13,31,0.00500028,0.01137914,0.02678651,0.40638013,0.54154519,0.77440002
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-19 00:00:00.000000,0.01277302,0.03121763,0.06911295,14,36,81,6,16,36,0.00579503,0.01373951,0.03102012,0.39542456,0.52491777,0.77394689
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-20 00:00:00.000000,0.01444881,0.03661637,0.07571700,16,42,88,8,19,43,0.00688138,0.01626542,0.03663360,0.37102386,0.50578380,0.77250188
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-21 00:00:00.000000,0.01629820,0.04121271,0.08255641,19,48,96,9,22,50,0.00783034,0.01888480,0.04278812,0.32935159,0.49160056,0.76470208
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-22 00:00:00.000000,0.01835908,0.04556539,0.09041237,21,53,106,10,25,56,0.00887077,0.02162151,0.04852579,0.30926979,0.46531634,0.72892916
37089,0,USNorthCarolinaHenderson,North Carolina,Henderson,2021-09-29 11:31:17.189938,2020-03-23 00:00:00.000000,0.02071968,0.04966453,0.09724679,24,58,114,11,28,62,0.01002033,0.02435834,0.05291167,0.30614187,0.44678575,0.71394924
