FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-09 00:00:00.000000,0.00072180,0.00219538,0.00442109,1,3,8,0,1,2,0.00011421,0.00081504,0.00162905,0.41040650,0.54023265,0.69126692
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-10 00:00:00.000000,0.00114828,0.00306548,0.00668712,2,5,12,0,1,3,0.00021259,0.00090226,0.00178210,0.41040649,0.54023265,0.68869714
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-11 00:00:00.000000,0.00156689,0.00385298,0.00887971,2,7,16,0,1,3,0.00040092,0.00109408,0.00209984,0.41040643,0.54023265,0.68543479
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-12 00:00:00.000000,0.00206833,0.00478758,0.01102637,3,8,20,1,2,4,0.00060540,0.00138877,0.00253626,0.41040624,0.54023264,0.68131804
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-13 00:00:00.000000,0.00257850,0.00578130,0.01328414,4,10,24,1,3,6,0.00077421,0.00177166,0.00338810,0.41040552,0.54023263,0.68062646
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-14 00:00:00.000000,0.00307151,0.00676343,0.01567567,5,12,28,1,3,7,0.00097612,0.00210735,0.00432467,0.41040252,0.54023256,0.68061966
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-15 00:00:00.000000,0.00355089,0.00792110,0.01822115,6,14,33,2,4,9,0.00120858,0.00249589,0.00527419,0.40549239,0.54023206,0.68059890
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-16 00:00:00.000000,0.00436054,0.00937612,0.02037091,7,17,37,2,5,11,0.00145117,0.00293220,0.00630971,0.40292637,0.53983094,0.68053549
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-17 00:00:00.000000,0.00505829,0.01079271,0.02271188,9,19,41,3,6,13,0.00175671,0.00339608,0.00737742,0.38970295,0.53644410,0.68034233
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-18 00:00:00.000000,0.00593400,0.01254777,0.02523503,10,22,45,3,7,15,0.00211316,0.00405600,0.00849394,0.35540724,0.53436622,0.67975891
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-19 00:00:00.000000,0.00673006,0.01427037,0.02794982,12,25,50,4,8,17,0.00248800,0.00482304,0.00966782,0.34988253,0.52235879,0.67803632
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-20 00:00:00.000000,0.00789701,0.01586014,0.03086178,14,28,56,5,10,19,0.00288976,0.00563156,0.01091445,0.34886370,0.48750550,0.67365555
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-21 00:00:00.000000,0.00914258,0.01768255,0.03392943,16,32,61,6,12,22,0.00331811,0.00660242,0.01224546,0.33873276,0.46836102,0.66068809
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-22 00:00:00.000000,0.01016359,0.01955465,0.03676205,18,35,66,7,13,24,0.00397644,0.00757960,0.01368288,0.33590445,0.44639045,0.62281078
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-23 00:00:00.000000,0.01118750,0.02208046,0.03835901,20,40,69,8,15,27,0.00450772,0.00836935,0.01524268,0.32112537,0.42606128,0.60449645
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-24 00:00:00.000000,0.01225814,0.02411874,0.04021167,22,43,73,9,16,30,0.00505372,0.00913230,0.01683335,0.30425675,0.41120991,0.59209892
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-25 00:00:00.000000,0.01367314,0.02644446,0.04591822,24,48,83,10,18,33,0.00561785,0.01011084,0.01848372,0.28591305,0.39914794,0.56177143
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-26 00:00:00.000000,0.01538062,0.02863635,0.04867909,27,52,88,11,20,36,0.00623495,0.01129490,0.02020670,0.26226523,0.39155984,0.53584656
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-27 00:00:00.000000,0.01698912,0.03114070,0.05164049,30,56,93,12,22,39,0.00681637,0.01215875,0.02196914,0.25990412,0.38349857,0.52313540
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-28 00:00:00.000000,0.01784385,0.03380909,0.05611900,32,61,102,13,24,43,0.00742255,0.01345951,0.02384270,0.25456779,0.36883974,0.52244310
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-29 00:00:00.000000,0.01868587,0.03513752,0.06153225,33,63,111,14,26,46,0.00807262,0.01477650,0.02543849,0.24390716,0.35352436,0.52136214
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-30 00:00:00.000000,0.02004015,0.03762939,0.06490989,36,68,118,16,28,48,0.00896770,0.01593827,0.02691407,0.23652865,0.34005497,0.51920364
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-03-31 00:00:00.000000,0.02141062,0.04071523,0.06921690,38,74,125,17,31,52,0.00984698,0.01706303,0.02867109,0.22837857,0.32866910,0.52703517
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-01 00:00:00.000000,0.02280788,0.04400285,0.07387878,41,79,134,19,32,56,0.01051031,0.01809729,0.03105381,0.22461514,0.32260055,0.53993973
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-02 00:00:00.000000,0.02422388,0.04714799,0.07674219,44,85,139,20,34,59,0.01121234,0.01914063,0.03291930,0.20993451,0.31443775,0.53981910
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-03 00:00:00.000000,0.02564111,0.04988408,0.08227052,46,90,149,21,37,64,0.01194902,0.02037165,0.03551017,0.20728110,0.30912077,0.53929974
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-04 00:00:00.000000,0.02705221,0.05259760,0.08814582,49,95,160,23,39,69,0.01271258,0.02198237,0.03831955,0.20442942,0.30052629,0.53404930
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-05 00:00:00.000000,0.02845112,0.05526258,0.09431147,51,100,171,24,42,75,0.01349619,0.02332585,0.04126802,0.19939778,0.29392014,0.49130238
37097,0,USNorthCarolinaIredell,North Carolina,Iredell,2021-03-04 18:51:27.569765,2020-04-06 00:00:00.000000,0.02996544,0.05677735,0.09982301,54,103,181,26,44,80,0.01434259,0.02455459,0.04433116,0.19363546,0.29091710,0.49002722
