FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-09 00:00:00.000000,0.00059864,0.00397736,0.00984426,0,3,9,0,1,5,0.00002868,0.00171869,0.00542038,0.32837505,0.45519173,0.56821351
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-10 00:00:00.000000,0.00114937,0.00508857,0.01234932,1,4,11,0,1,5,0.00013977,0.00191417,0.00546162,0.32837243,0.45442060,0.56820119
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-11 00:00:00.000000,0.00173603,0.00650181,0.01448212,1,6,13,0,2,5,0.00032506,0.00234770,0.00615906,0.32836684,0.45321143,0.56816727
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-12 00:00:00.000000,0.00235317,0.00756211,0.01773977,2,7,16,0,2,6,0.00056211,0.00296321,0.00696622,0.32835473,0.45132827,0.56807391
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-13 00:00:00.000000,0.00302125,0.00875952,0.02068272,2,8,19,0,3,7,0.00083917,0.00361876,0.00815927,0.32832818,0.44879660,0.56781779
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-14 00:00:00.000000,0.00362950,0.01000648,0.02495753,3,9,23,1,4,9,0.00115048,0.00429674,0.00988571,0.32826938,0.44877240,0.56712239
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-15 00:00:00.000000,0.00410339,0.01139760,0.02982438,3,10,28,1,4,11,0.00147617,0.00490027,0.01195929,0.32343988,0.44866776,0.55153343
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-16 00:00:00.000000,0.00623945,0.01324258,0.03237720,5,12,30,1,5,13,0.00184468,0.00565661,0.01382644,0.32152039,0.44727746,0.53513564
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-17 00:00:00.000000,0.00754231,0.01547822,0.03511895,7,14,33,2,6,14,0.00263629,0.00655317,0.01554853,0.31877476,0.44299199,0.52887417
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-18 00:00:00.000000,0.00878147,0.01788432,0.03792101,8,16,35,3,7,16,0.00349993,0.00781077,0.01721312,0.29583046,0.42460478,0.52202955
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-19 00:00:00.000000,0.00990106,0.02010390,0.04066026,9,18,38,4,8,17,0.00425157,0.00917444,0.01885674,0.28642157,0.40375845,0.50553915
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-20 00:00:00.000000,0.01102089,0.02240293,0.04312930,10,21,40,4,9,19,0.00488621,0.01035085,0.02047561,0.26526972,0.37681419,0.48376369
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-21 00:00:00.000000,0.01202469,0.02538247,0.04513577,11,23,42,5,10,20,0.00550303,0.01164311,0.02202660,0.25337309,0.34775655,0.45046384
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-22 00:00:00.000000,0.01281539,0.02777656,0.04672950,12,26,44,5,12,22,0.00610219,0.01343491,0.02344285,0.23060101,0.32677120,0.44634069
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-23 00:00:00.000000,0.01375179,0.02989442,0.04881850,12,28,46,6,13,24,0.00663516,0.01470859,0.02587146,0.22696600,0.31343053,0.44514034
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-24 00:00:00.000000,0.01457602,0.03236447,0.04998288,13,30,47,6,15,26,0.00722660,0.01596327,0.02773201,0.22157961,0.29443865,0.43949187
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-25 00:00:00.000000,0.01541599,0.03435896,0.05278960,14,32,49,7,16,26,0.00779519,0.01730233,0.02806870,0.21252249,0.28355433,0.42187494
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-26 00:00:00.000000,0.01716168,0.03702171,0.05472073,16,34,51,7,17,26,0.00819492,0.01853497,0.02852717,0.20078069,0.26617478,0.39896060
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-27 00:00:00.000000,0.01889421,0.03900267,0.05669311,17,36,53,8,18,28,0.00862887,0.01963474,0.03073707,0.18617831,0.25388986,0.37505603
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-28 00:00:00.000000,0.02046235,0.04034510,0.05971426,19,38,56,8,19,30,0.00905702,0.02073978,0.03231660,0.17706081,0.24247916,0.37403462
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-29 00:00:00.000000,0.02116338,0.04153778,0.06258647,19,39,59,9,21,31,0.00995661,0.02233323,0.03338504,0.17190250,0.23667914,0.35596116
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-30 00:00:00.000000,0.02176509,0.04282836,0.06560305,20,40,61,10,22,32,0.01084946,0.02358909,0.03492787,0.16282315,0.23225272,0.33833327
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-03-31 00:00:00.000000,0.02230903,0.04433524,0.06985966,21,41,65,11,22,34,0.01188892,0.02427661,0.03711588,0.16157092,0.22702458,0.33557981
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-01 00:00:00.000000,0.02273218,0.04598966,0.07417953,21,43,69,11,23,36,0.01224101,0.02483545,0.03903307,0.15561879,0.22102997,0.33108768
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-02 00:00:00.000000,0.02304281,0.04790275,0.07851413,21,45,74,11,23,38,0.01254702,0.02533850,0.04065070,0.15285908,0.21165348,0.32295790
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-03 00:00:00.000000,0.02329411,0.04995470,0.08079361,21,47,76,12,24,39,0.01279903,0.02584347,0.04137131,0.14725064,0.20172853,0.32332424
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-04 00:00:00.000000,0.02351773,0.05183781,0.08121019,22,48,76,12,26,40,0.01300523,0.02758705,0.04304782,0.14624805,0.19172189,0.32100994
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-05 00:00:00.000000,0.02372670,0.05189950,0.08123688,22,48,76,12,27,41,0.01317841,0.02945344,0.04376442,0.13633411,0.18883241,0.31088076
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-06 00:00:00.000000,0.02495582,0.05311323,0.08166247,23,50,77,12,28,41,0.01332923,0.02983620,0.04439906,0.13495063,0.18337674,0.30158367
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-07 00:00:00.000000,0.02583427,0.05389015,0.08195168,24,50,77,12,28,42,0.01363572,0.03055188,0.04519992,0.13452041,0.17975790,0.29434040
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-08 00:00:00.000000,0.02645564,0.05417921,0.08216333,24,51,77,13,29,42,0.01422053,0.03099803,0.04557119,0.13140251,0.17695694,0.29258520
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-09 00:00:00.000000,0.02735475,0.05526337,0.08646999,25,52,81,13,29,43,0.01448563,0.03131044,0.04562985,0.12197104,0.17522605,0.29139513
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-10 00:00:00.000000,0.02824936,0.05715274,0.09104327,26,53,85,14,29,44,0.01495720,0.03166222,0.04712225,0.11862286,0.17206435,0.28341070
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-11 00:00:00.000000,0.02913423,0.05785838,0.09503592,27,54,89,14,29,47,0.01544529,0.03180378,0.04987549,0.11818992,0.16948832,0.27537668
37127,0,USNorthCarolinaNash,North Carolina,Nash,2021-09-15 20:55:23.245779,2020-04-12 00:00:00.000000,0.03000436,0.05806322,0.09851079,28,54,92,15,30,49,0.01594030,0.03232045,0.05244130,0.11273910,0.16466870,0.27675309
