FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-09 00:00:00.000000,0.00899513,0.05162537,0.21961413,0,2,8,0,1,4,0.00489356,0.02558594,0.12105175,0.40346795,0.53764735,0.66259476
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-10 00:00:00.000000,0.01035742,0.05748427,0.22985658,0,2,9,0,1,4,0.00514067,0.02604719,0.12079679,0.40348858,0.53764725,0.66259476
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-11 00:00:00.000000,0.01127469,0.06284607,0.24030504,0,2,9,0,1,4,0.00557932,0.02743766,0.11850413,0.40353321,0.53764702,0.66259475
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-12 00:00:00.000000,0.01305495,0.06750305,0.25084107,0,2,10,0,1,4,0.00610040,0.02998183,0.11926652,0.40362942,0.53764645,0.66259473
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-13 00:00:00.000000,0.01491826,0.07244832,0.26335013,0,2,10,0,1,4,0.00703562,0.03246241,0.12181616,0.40383587,0.53764501,0.66259464
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-14 00:00:00.000000,0.01688057,0.07801257,0.27892356,0,3,11,0,1,5,0.00803390,0.03556286,0.12677025,0.40427543,0.53468040,0.66259414
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-15 00:00:00.000000,0.01896995,0.08599715,0.29497098,0,3,11,0,1,5,0.00909298,0.03910865,0.13524645,0.40519732,0.53418067,0.66259101
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-16 00:00:00.000000,0.02119610,0.09439019,0.31140321,0,3,12,0,1,5,0.01022450,0.04295369,0.14448928,0.40707401,0.53236385,0.66257036
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-17 00:00:00.000000,0.02357139,0.10276685,0.32775678,0,4,13,0,1,6,0.01143292,0.04757650,0.15446935,0.38845089,0.51961624,0.66243079
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-18 00:00:00.000000,0.02610092,0.11018750,0.34286479,1,4,13,0,2,6,0.01272410,0.05153096,0.16517229,0.37567940,0.51049352,0.66148467
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-19 00:00:00.000000,0.02877425,0.11692273,0.35554702,1,4,14,0,2,7,0.01410297,0.05577402,0.17652530,0.33489347,0.50039770,0.65523904
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-20 00:00:00.000000,0.03060751,0.12290729,0.36611853,1,4,14,0,2,7,0.01556811,0.06024082,0.18817341,0.32365238,0.48396107,0.64419820
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-21 00:00:00.000000,0.03179365,0.12911459,0.37550516,1,5,15,0,2,7,0.01631778,0.06361621,0.19913324,0.30831834,0.46175759,0.63709430
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-22 00:00:00.000000,0.03299929,0.13618704,0.38388687,1,5,15,0,2,8,0.01696747,0.06664062,0.20882435,0.28499042,0.44537554,0.62925724
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-23 00:00:00.000000,0.03423675,0.14252861,0.39160235,1,5,15,0,2,8,0.01762027,0.07044060,0.21755814,0.28313743,0.41772573,0.58606150
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-24 00:00:00.000000,0.03666723,0.14853587,0.40634281,1,5,16,0,2,9,0.01850279,0.07421561,0.22570924,0.28054117,0.39942945,0.57250237
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-25 00:00:00.000000,0.03943500,0.15481647,0.42025391,1,6,16,0,3,9,0.02017921,0.07705859,0.22960542,0.27079798,0.37989214,0.54093191
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-26 00:00:00.000000,0.04207138,0.16081056,0.43229485,1,6,17,0,3,9,0.02185016,0.08042246,0.23310430,0.26031846,0.36793252,0.53226659
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-27 00:00:00.000000,0.04271912,0.16516179,0.43933920,1,6,17,0,3,9,0.02321260,0.08457884,0.23834985,0.24739228,0.35069564,0.50643177
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-28 00:00:00.000000,0.04282308,0.16717372,0.44224455,1,6,17,0,3,9,0.02346664,0.08781840,0.24477573,0.22817098,0.33384879,0.47231679
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-29 00:00:00.000000,0.04281396,0.16829597,0.44372066,1,6,17,0,3,10,0.02361523,0.09007233,0.24923074,0.21985580,0.31824400,0.46548177
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-30 00:00:00.000000,0.07808643,0.19421554,0.47785458,3,7,19,0,3,10,0.02367919,0.09176716,0.25216851,0.21768742,0.31360344,0.45081500
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-03-31 00:00:00.000000,0.09786544,0.22408152,0.55714247,3,8,22,1,3,10,0.03569704,0.09879192,0.26997293,0.21243368,0.30960407,0.44861053
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-01 00:00:00.000000,0.11664203,0.25355500,0.63885302,4,10,25,1,4,11,0.04887760,0.11721683,0.28486159,0.20007102,0.29986222,0.43124872
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-02 00:00:00.000000,0.13264289,0.29010609,0.72155118,5,11,28,2,5,12,0.05491333,0.13305974,0.31392822,0.18850870,0.28676800,0.42874558
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-03 00:00:00.000000,0.15690374,0.32347918,0.80378414,6,12,32,2,5,14,0.06466570,0.14722933,0.35700909,0.17998031,0.28043884,0.42188026
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-04 00:00:00.000000,0.17883577,0.35620242,0.87078180,7,14,34,3,6,16,0.07760300,0.16585066,0.40161575,0.17808154,0.27471095,0.40331403
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-05 00:00:00.000000,0.19828910,0.38702878,0.95676902,7,15,38,3,7,17,0.09051885,0.18350634,0.44649964,0.17616901,0.26770095,0.37588986
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-06 00:00:00.000000,0.23127733,0.41851931,0.96795237,9,16,38,4,8,19,0.10305557,0.20142752,0.49419452,0.17274204,0.26544484,0.36278383
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-07 00:00:00.000000,0.25348563,0.44650856,0.97559312,10,17,39,4,8,20,0.11370120,0.22184153,0.52254057,0.17169983,0.26469617,0.35462122
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-08 00:00:00.000000,0.27617228,0.48504264,0.97929201,11,19,39,4,9,21,0.12379820,0.23991805,0.53940491,0.16843805,0.25645109,0.34756269
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-09 00:00:00.000000,0.29916525,0.50686399,1.04224806,12,20,41,5,10,22,0.13487576,0.26062333,0.55332879,0.16360449,0.25450246,0.33622383
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-10 00:00:00.000000,0.32234011,0.53789465,1.07100059,12,21,43,5,11,22,0.14652530,0.27564049,0.56786293,0.16245976,0.24539224,0.31965973
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-11 00:00:00.000000,0.33054527,0.56805494,1.08264166,13,22,43,6,11,23,0.15851010,0.29223336,0.58225680,0.15956852,0.23913195,0.30484717
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-12 00:00:00.000000,0.33716992,0.60382333,1.09225239,13,24,43,6,12,24,0.17067511,0.31121087,0.59802558,0.15393763,0.23616922,0.31399277
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-13 00:00:00.000000,0.33068782,0.59839905,1.07292392,13,24,43,7,13,24,0.18287598,0.32449781,0.61198446,0.14444270,0.23248445,0.31889281
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-14 00:00:00.000000,0.32093725,0.59284524,1.05112796,12,23,42,7,13,24,0.18280610,0.33657088,0.61150389,0.14147067,0.22624478,0.31423522
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-15 00:00:00.000000,0.30933233,0.58063147,1.02533574,12,23,41,7,13,24,0.18034376,0.34094763,0.60312798,0.14130576,0.22054380,0.31102825
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-16 00:00:00.000000,0.29735053,0.56408192,0.99575304,11,22,39,7,13,23,0.17629073,0.34065766,0.59019825,0.14043976,0.21237559,0.30728806
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-17 00:00:00.000000,0.28536352,0.54558077,0.96313343,11,21,38,6,13,23,0.17128920,0.33746943,0.57425502,0.13772279,0.20584862,0.30017174
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-18 00:00:00.000000,0.27362584,0.53394401,0.92868684,10,21,37,6,13,22,0.16583881,0.33055325,0.55854477,0.13239702,0.19993036,0.28696119
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-19 00:00:00.000000,0.27064781,0.52185998,0.89357253,10,20,35,6,12,21,0.16024381,0.31633517,0.54109825,0.13032409,0.19935796,0.28821314
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-20 00:00:00.000000,0.26203732,0.50266885,0.85865761,10,20,34,6,12,20,0.15467348,0.30893802,0.52255986,0.12979505,0.19413896,0.29114329
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-21 00:00:00.000000,0.25239077,0.48175489,0.82455099,10,19,33,6,12,20,0.15009341,0.30129422,0.50350219,0.12983622,0.19441842,0.29445565
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-22 00:00:00.000000,0.23681012,0.45925812,0.79172964,9,18,31,5,11,19,0.14372744,0.28962287,0.48438970,0.13014005,0.19400393,0.29756456
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-23 00:00:00.000000,0.22231466,0.43803468,0.78491601,8,17,31,5,11,18,0.13806233,0.28230679,0.46558872,0.13068620,0.19128360,0.29917420
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-24 00:00:00.000000,0.21344381,0.42467045,0.77835844,8,17,31,5,10,18,0.13244921,0.27061018,0.45069158,0.13156451,0.18984683,0.29609009
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-25 00:00:00.000000,0.20208129,0.41368762,0.77156801,8,16,30,5,10,18,0.12663218,0.26116093,0.45293183,0.13292933,0.18958089,0.28288522
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-26 00:00:00.000000,0.19058167,0.39363969,0.76367566,7,15,30,4,9,18,0.11954273,0.24757748,0.45399826,0.13498090,0.19110655,0.27750857
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-27 00:00:00.000000,0.17787054,0.37576349,0.73869092,7,15,29,4,9,18,0.11286940,0.23515360,0.45270002,0.13792388,0.19054907,0.27925043
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-28 00:00:00.000000,0.16652577,0.36020961,0.71091179,6,14,28,4,8,17,0.10653873,0.22326557,0.43136143,0.13797392,0.18971793,0.28257069
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-29 00:00:00.000000,0.15987286,0.34183642,0.68324174,6,13,27,4,8,16,0.09963490,0.21680062,0.41313831,0.13864879,0.18888403,0.28508660
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-04-30 00:00:00.000000,0.15065808,0.32832972,0.65724947,6,13,26,3,8,16,0.09427440,0.20894476,0.40515486,0.13664143,0.18746959,0.28153160
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-01 00:00:00.000000,0.14198449,0.31741016,0.62907036,5,12,25,3,7,15,0.08936604,0.19825549,0.38986443,0.13670488,0.18807463,0.28354222
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-02 00:00:00.000000,0.13386108,0.31091569,0.61021932,5,12,24,3,7,15,0.08422565,0.19033646,0.37422181,0.13892149,0.18988062,0.28518424
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-03 00:00:00.000000,0.12630131,0.30409932,0.59806792,5,12,24,3,7,14,0.07939422,0.18386410,0.35781592,0.12666091,0.19013004,0.28687692
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-04 00:00:00.000000,0.11656518,0.29668807,0.58542739,4,11,23,3,7,13,0.07487542,0.17874747,0.34086321,0.12532687,0.19027742,0.28435607
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-05 00:00:00.000000,0.11273753,0.28990504,0.57266000,4,11,22,2,6,13,0.07050281,0.17166062,0.33187019,0.12679141,0.18964068,0.27655708
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-06 00:00:00.000000,0.10674258,0.28343248,0.55993833,4,11,22,2,6,12,0.06581151,0.16977008,0.32332214,0.12886329,0.19064237,0.27610391
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-07 00:00:00.000000,0.10102979,0.27715328,0.54586282,4,11,21,2,6,12,0.06187693,0.16869167,0.31470415,0.13557498,0.19242973,0.29106135
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-08 00:00:00.000000,0.09383708,0.27019264,0.52409557,3,10,21,2,6,12,0.05742174,0.16233451,0.30612164,0.13813678,0.19132943,0.30353616
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-09 00:00:00.000000,0.08726594,0.26063340,0.50377571,3,10,20,2,6,11,0.05330951,0.15646813,0.29764671,0.13948341,0.19440079,0.30697813
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-10 00:00:00.000000,0.08131968,0.25187752,0.48625120,3,10,19,1,6,11,0.04953253,0.15182746,0.28932953,0.14050125,0.19517299,0.31068819
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-11 00:00:00.000000,0.07596213,0.24393384,0.47105626,3,9,18,1,5,11,0.04608806,0.14668877,0.28120979,0.14079365,0.20006540,0.32322897
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-12 00:00:00.000000,0.07110267,0.23342120,0.45687707,2,9,18,1,5,10,0.04296541,0.14233829,0.27331365,0.14095158,0.19860709,0.32908630
37177,0,USNorthCarolinaTyrrell,North Carolina,Tyrrell,2021-02-17 08:20:59.556434,2020-05-13 00:00:00.000000,0.06664839,0.22511579,0.44332209,2,9,17,1,5,10,0.04069750,0.13838605,0.26564690,0.14105227,0.20076020,0.33127318
