FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-09 00:00:00.000000,0.00495870,0.03354605,0.11061443,0,3,11,0,1,7,0.00250389,0.01851208,0.06661663,0.37489691,0.47691189,0.66030722
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-10 00:00:00.000000,0.00560979,0.03623016,0.11872999,0,3,12,0,1,6,0.00267511,0.01829736,0.06571290,0.37471922,0.47687600,0.66029482
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-11 00:00:00.000000,0.00631266,0.03930505,0.12736199,0,4,13,0,2,7,0.00299822,0.01925966,0.06704008,0.37431237,0.47684905,0.66026668
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-12 00:00:00.000000,0.00708173,0.04285556,0.13659666,0,4,14,0,2,7,0.00340352,0.02071475,0.06986777,0.37338428,0.47680907,0.66020227
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-13 00:00:00.000000,0.00792908,0.04677116,0.14646481,0,4,15,0,2,7,0.00386491,0.02290250,0.07370489,0.37128901,0.47668000,0.66005387
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-14 00:00:00.000000,0.00886635,0.05140898,0.16228203,0,5,17,0,2,8,0.00437529,0.02552527,0.07829401,0.36762023,0.47645235,0.65971000
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-15 00:00:00.000000,0.00990555,0.05606669,0.17386764,1,5,18,0,2,8,0.00493588,0.02806655,0.08349652,0.36703825,0.47522401,0.65891337
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-16 00:00:00.000000,0.02335474,0.07831698,0.19955813,2,8,21,0,3,9,0.00550826,0.02965276,0.08909125,0.36604500,0.47369373,0.65709706
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-17 00:00:00.000000,0.03571515,0.09478609,0.22510558,3,9,23,0,3,10,0.00823625,0.03483478,0.09781273,0.36437539,0.46992537,0.65177728
38061,0,USNorthDakotaMountrail,North Dakota,Mountrail,2021-11-10 17:31:34.848585,2020-03-18 00:00:00.000000,0.04796718,0.11444255,0.25428831,5,12,26,1,4,11,0.01196473,0.04341650,0.10864366,0.33959716,0.45779917,0.64668610
