FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-09 00:00:00.000000,0.02402212,0.07637757,0.20343636,0,3,8,0,1,4,0.00850053,0.03043617,0.10976846,0.29740404,0.39702100,0.58505877
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-10 00:00:00.000000,0.03192174,0.09589369,0.23387286,1,3,9,0,1,4,0.01123787,0.03443478,0.11373573,0.29740339,0.39701417,0.58498479
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-11 00:00:00.000000,0.04165356,0.11668902,0.27499163,1,4,10,0,1,5,0.01602413,0.04502711,0.12905084,0.29740216,0.39699244,0.58483659
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-12 00:00:00.000000,0.05199078,0.13885891,0.31821414,2,5,12,0,2,5,0.02088864,0.05376828,0.15044687,0.29739978,0.39655243,0.58413605
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-13 00:00:00.000000,0.06293212,0.16348272,0.34284249,2,6,13,1,2,6,0.02538347,0.06807797,0.16245063,0.29739509,0.39499706,0.56903141
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-14 00:00:00.000000,0.07449670,0.18975545,0.36844908,2,7,14,1,3,6,0.03039870,0.07955204,0.17370537,0.29738534,0.39499649,0.56853580
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-15 00:00:00.000000,0.08659426,0.21241646,0.39539245,3,8,15,1,3,7,0.03583077,0.09101416,0.19188967,0.29552535,0.39280171,0.56070136
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-16 00:00:00.000000,0.10422813,0.24575841,0.43895472,4,9,17,1,4,8,0.04163113,0.10333840,0.21955450,0.28658185,0.38548581,0.56055406
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-17 00:00:00.000000,0.11872371,0.27646574,0.48278366,4,10,19,2,4,9,0.05801757,0.11864186,0.24257262,0.27493859,0.37700790,0.54837922
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-18 00:00:00.000000,0.13411791,0.30830148,0.52815028,5,12,20,2,5,10,0.06777159,0.13545293,0.26462612,0.26576868,0.35852605,0.54837585
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-19 00:00:00.000000,0.15547983,0.34281592,0.56117989,6,13,22,3,6,11,0.07707916,0.15447438,0.28399518,0.24815039,0.34222072,0.54334117
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-20 00:00:00.000000,0.17956537,0.38384074,0.61969831,7,15,24,3,7,13,0.08699699,0.17808103,0.34369923,0.21535973,0.31964670,0.52631699
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-21 00:00:00.000000,0.19367528,0.41388774,0.66129604,7,16,26,3,8,14,0.09752150,0.20322182,0.35605055,0.19955740,0.29998215,0.48892601
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-22 00:00:00.000000,0.20336501,0.44681332,0.69746066,8,17,27,4,8,15,0.11026371,0.22220049,0.38147335,0.19148140,0.28723560,0.47055965
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-23 00:00:00.000000,0.21086094,0.45045991,0.70622580,8,17,28,4,9,16,0.11853402,0.23895741,0.41140416,0.18155696,0.26618598,0.42442498
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-24 00:00:00.000000,0.21741455,0.45021571,0.71197889,8,17,28,4,10,17,0.12487571,0.25284522,0.43214900,0.17849789,0.25693131,0.39755333
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-25 00:00:00.000000,0.22217702,0.44816613,0.71335891,8,17,28,5,10,17,0.12990274,0.25996941,0.44866187,0.17562447,0.24800497,0.38192818
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-26 00:00:00.000000,0.22616810,0.45310873,0.72612424,8,18,28,5,10,18,0.13391397,0.26209886,0.46306337,0.16758210,0.23643110,0.35870076
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-27 00:00:00.000000,0.22644084,0.44993389,0.74924406,9,17,29,5,10,18,0.13683454,0.26436986,0.47604100,0.16184520,0.22390225,0.33524436
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-28 00:00:00.000000,0.22520196,0.44331682,0.76064798,8,17,30,5,10,19,0.13846497,0.26295884,0.48753020,0.15111799,0.21348368,0.32030262
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-29 00:00:00.000000,0.22348389,0.43989292,0.76311299,8,17,30,5,10,19,0.13904801,0.26017612,0.49759866,0.13853809,0.20202825,0.29532437
38069,0,USNorthDakotaPierce,North Dakota,Pierce,2021-12-09 18:46:32.782118,2020-03-30 00:00:00.000000,0.22155184,0.43970125,0.76054189,8,17,30,5,10,20,0.13857517,0.26035282,0.50660581,0.13817924,0.19388435,0.29478829
