FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-09 00:00:00.000000,0.01245445,0.06070166,0.24349151,0,1,5,0,0,3,0.00688584,0.03448285,0.13622521,0.38159242,0.49620860,0.63353108
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-10 00:00:00.000000,0.01379821,0.06590794,0.25483448,0,1,5,0,0,3,0.00699668,0.03501963,0.12969350,0.38159233,0.49615593,0.63351134
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-11 00:00:00.000000,0.01507792,0.07150787,0.26824028,0,1,6,0,0,3,0.00776310,0.03646030,0.13282129,0.38159220,0.49603312,0.63347025
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-12 00:00:00.000000,0.01644196,0.07795182,0.28310932,0,1,6,0,0,3,0.00888705,0.03864503,0.13961095,0.38159201,0.49574643,0.63338475
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-13 00:00:00.000000,0.01790785,0.08430735,0.29916684,0,1,6,0,0,3,0.01022659,0.04219289,0.14818969,0.38159171,0.49553000,0.63320659
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-14 00:00:00.000000,0.01948894,0.08961238,0.31628714,0,2,7,0,1,3,0.01121593,0.04532651,0.15771756,0.38159121,0.49538809,0.63283416
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-15 00:00:00.000000,0.02136076,0.09384500,0.33439275,0,2,7,0,1,3,0.01222735,0.04876884,0.16783855,0.38159022,0.49509733,0.63204794
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-16 00:00:00.000000,0.02337745,0.09974534,0.35336880,0,2,8,0,1,4,0.01331631,0.05276084,0.18057801,0.38158773,0.49389286,0.62737730
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-17 00:00:00.000000,0.02553521,0.10725660,0.37294193,0,2,8,0,1,4,0.01449144,0.05689124,0.19589709,0.37554492,0.49286220,0.60653237
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-18 00:00:00.000000,0.02781583,0.11652888,0.39248723,0,2,9,0,1,4,0.01576153,0.06270274,0.21206828,0.33289726,0.48660266,0.59988652
38075,0,USNorthDakotaRenville,North Dakota,Renville,2021-01-29 19:36:30.854553,2020-03-19 00:00:00.000000,0.03008676,0.12455937,0.41459239,0,2,9,0,1,5,0.01713495,0.06804040,0.22235634,0.31070665,0.46983877,0.59090411
