FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-09 00:00:00.000000,0.00819005,0.05471001,0.19082908,0,2,7,0,1,4,0.00472134,0.02930853,0.10576290,0.38263172,0.48123914,0.64316708
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-10 00:00:00.000000,0.00862460,0.05767656,0.20081706,0,2,7,0,1,3,0.00486141,0.02773389,0.09862189,0.38261212,0.48120309,0.63992322
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-11 00:00:00.000000,0.00910454,0.06066581,0.21118774,0,2,8,0,1,3,0.00488735,0.02858927,0.09887925,0.38257331,0.48116674,0.63394297
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-12 00:00:00.000000,0.00962703,0.06493570,0.22151538,0,2,8,0,1,4,0.00502241,0.03074524,0.10274293,0.38249649,0.48057240,0.63035697
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-13 00:00:00.000000,0.01019115,0.06974515,0.23163663,0,2,9,0,1,4,0.00522648,0.03300726,0.10823097,0.38234457,0.47900318,0.63035583
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-14 00:00:00.000000,0.01079705,0.07305218,0.24140859,0,2,9,0,1,4,0.00547859,0.03508166,0.11433510,0.38204458,0.47587551,0.63035039
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-15 00:00:00.000000,0.01144544,0.07665057,0.24664980,0,2,9,0,1,4,0.00576779,0.03732577,0.12056603,0.38145406,0.46937191,0.63032348
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-16 00:00:00.000000,0.01205062,0.08087329,0.25153156,0,3,9,0,1,4,0.00608849,0.03928972,0.12670703,0.38029886,0.46600840,0.63018716
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-17 00:00:00.000000,0.01266152,0.08502026,0.25596556,0,3,9,0,1,5,0.00643784,0.04118746,0.13476856,0.37792164,0.46132977,0.62948956
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-18 00:00:00.000000,0.01330457,0.08896754,0.25980713,0,3,10,0,1,5,0.00681411,0.04327735,0.14445464,0.36166294,0.45433085,0.62595483
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-19 00:00:00.000000,0.01398031,0.09340273,0.26541116,0,3,10,0,1,5,0.00721522,0.04662571,0.14914435,0.32789605,0.44676767,0.60949899
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-20 00:00:00.000000,0.01468559,0.09571241,0.27302446,0,3,10,0,1,5,0.00763640,0.04881495,0.15156755,0.29210732,0.42549997,0.57518094
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-21 00:00:00.000000,0.01539705,0.09899277,0.28498339,0,3,11,0,2,6,0.00806612,0.05140872,0.15545614,0.26982052,0.40634913,0.56950892
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-22 00:00:00.000000,0.01584917,0.10384795,0.30119184,0,4,11,0,2,6,0.00848226,0.05409687,0.16074298,0.26218028,0.37802875,0.55170639
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-23 00:00:00.000000,0.04119509,0.12770850,0.34189238,1,4,13,0,2,6,0.00863795,0.05670405,0.16827903,0.26161492,0.36223406,0.53703219
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-24 00:00:00.000000,0.06219595,0.15305350,0.38560611,2,5,15,0,2,7,0.01528913,0.06442389,0.19133148,0.25905665,0.34838539,0.51625825
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-25 00:00:00.000000,0.08101882,0.18289491,0.43869921,3,7,17,1,3,8,0.02637314,0.07976026,0.21465841,0.23584497,0.33629824,0.48613152
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-26 00:00:00.000000,0.10295761,0.21666536,0.49602957,4,8,19,1,3,9,0.03613846,0.09439249,0.24039609,0.22349462,0.32218105,0.47318401
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-27 00:00:00.000000,0.12296938,0.24265745,0.55256672,4,9,21,1,4,10,0.04465177,0.10746384,0.26954100,0.21297269,0.31229936,0.46224675
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-28 00:00:00.000000,0.13582381,0.26761603,0.60426491,5,10,23,2,4,11,0.05636577,0.12239407,0.29748886,0.19830196,0.29890017,0.45317709
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-29 00:00:00.000000,0.14840119,0.29401361,0.65323156,5,11,25,2,5,12,0.06425560,0.13887066,0.32429135,0.18498572,0.27393640,0.44091448
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-30 00:00:00.000000,0.16464948,0.31468389,0.68028077,6,12,26,2,5,13,0.07084157,0.15238580,0.35853611,0.17028948,0.26358839,0.42178108
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-03-31 00:00:00.000000,0.18053014,0.34705796,0.71377553,7,13,27,3,6,15,0.07883536,0.16563591,0.39398558,0.16859877,0.25309255,0.40319796
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-04-01 00:00:00.000000,0.19388275,0.36556142,0.74307719,7,14,28,3,6,16,0.09245841,0.17955764,0.42309521,0.16729703,0.24868804,0.41003699
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-04-02 00:00:00.000000,0.20701552,0.40674880,0.76538751,8,15,29,4,7,17,0.10468967,0.19548613,0.44711777,0.16213248,0.23327980,0.41390312
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-04-03 00:00:00.000000,0.21947642,0.43156387,0.78115180,8,16,30,4,8,18,0.11112062,0.21493144,0.46735088,0.14547957,0.22075687,0.40039705
38081,0,USNorthDakotaSargent,North Dakota,Sargent,2021-08-18 02:10:46.740730,2020-04-04 00:00:00.000000,0.23134409,0.44341605,0.79183619,9,17,30,4,8,18,0.11745077,0.22917242,0.48474344,0.13319971,0.21459452,0.39361687
