FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-09 00:00:00.000000,0.00096405,0.00559478,0.02234000,0,3,14,0,1,8,0.00049565,0.00293181,0.01243897,0.39174766,0.53183826,0.72008345
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-10 00:00:00.000000,0.00103220,0.00583930,0.02280537,0,3,14,0,2,7,0.00050235,0.00308063,0.01206860,0.39174766,0.53182650,0.71995600
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-11 00:00:00.000000,0.00121855,0.00616656,0.02321354,0,4,15,0,2,7,0.00052417,0.00326673,0.01216884,0.39174766,0.53179729,0.71974527
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-12 00:00:00.000000,0.00141720,0.00645607,0.02354429,0,4,15,0,2,8,0.00062151,0.00340741,0.01249788,0.39174765,0.53172485,0.71939385
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-13 00:00:00.000000,0.00163088,0.00699231,0.02380303,1,4,15,0,2,8,0.00073184,0.00358579,0.01294694,0.39174759,0.53154539,0.71878390
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-14 00:00:00.000000,0.00175467,0.00741671,0.02401374,1,4,15,0,2,8,0.00085147,0.00391656,0.01346501,0.39174729,0.53099877,0.71746841
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-15 00:00:00.000000,0.00183934,0.00785135,0.02432945,1,5,15,0,2,9,0.00094162,0.00428457,0.01401770,0.39174572,0.52970613,0.71190643
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-16 00:00:00.000000,0.00344394,0.01072146,0.02702729,2,7,17,0,3,9,0.00099175,0.00463178,0.01460773,0.39173688,0.52451481,0.70059683
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-17 00:00:00.000000,0.00441407,0.01273614,0.03056541,2,8,19,1,3,10,0.00158158,0.00552598,0.01610301,0.39134854,0.50625656,0.67035950
39009,0,USOhioAthens,Ohio,Athens,2021-01-05 13:31:09.791234,2020-03-18 00:00:00.000000,0.00634125,0.01460750,0.03454966,4,9,22,1,4,11,0.00231842,0.00659791,0.01806234,0.36173601,0.48913514,0.64873130
