FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-09 00:00:00.000000,0.00255727,0.01090038,0.03628364,0,2,9,0,1,5,0.00156723,0.00666108,0.01881532,0.36499197,0.47662450,0.61604016
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-10 00:00:00.000000,0.00280069,0.01201533,0.03777509,0,3,10,0,1,5,0.00151496,0.00650339,0.02087722,0.36499175,0.47644895,0.61603496
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-11 00:00:00.000000,0.00305994,0.01321426,0.03972552,0,3,10,0,1,5,0.00154034,0.00687794,0.02146913,0.36499145,0.47613691,0.61602551
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-12 00:00:00.000000,0.00334244,0.01458692,0.04395365,0,3,11,0,2,5,0.00161370,0.00744219,0.02166941,0.36499099,0.47553514,0.61600795
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-13 00:00:00.000000,0.00365327,0.01569707,0.04690714,0,4,12,0,2,5,0.00172120,0.00809384,0.02215844,0.36499019,0.47226965,0.61597454
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-14 00:00:00.000000,0.00399648,0.01684730,0.04951301,1,4,13,0,2,6,0.00185526,0.00894744,0.02318473,0.36498855,0.46942325,0.61590963
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-15 00:00:00.000000,0.00437571,0.01813755,0.05455148,1,4,14,0,2,7,0.00201240,0.01000296,0.02619541,0.36498447,0.46260573,0.61577994
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-16 00:00:00.000000,0.00811258,0.02485226,0.06321535,2,6,17,0,2,7,0.00219144,0.01079296,0.02944727,0.35552627,0.45828457,0.61531557
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-17 00:00:00.000000,0.01091985,0.03153724,0.07419257,2,8,19,0,3,9,0.00313097,0.01224928,0.03345946,0.34028259,0.45375041,0.61453436
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-18 00:00:00.000000,0.01448032,0.03829852,0.08276591,3,10,22,1,4,10,0.00426516,0.01516517,0.03806457,0.30636739,0.44741231,0.61329396
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-19 00:00:00.000000,0.01749379,0.04459757,0.09180130,4,12,24,1,4,11,0.00581537,0.01828144,0.04320161,0.27787307,0.42248829,0.60830692
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-20 00:00:00.000000,0.02025584,0.05197602,0.10249131,5,13,27,2,5,13,0.00761740,0.02140486,0.04883425,0.24979047,0.41274108,0.59047167
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-21 00:00:00.000000,0.02317652,0.05983328,0.11791480,6,16,31,2,6,14,0.00910946,0.02578643,0.05472288,0.23319454,0.40229474,0.54694334
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-22 00:00:00.000000,0.02622283,0.06578261,0.12844350,7,17,34,2,7,16,0.01098732,0.02971003,0.06003245,0.22376218,0.36902621,0.53287596
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-23 00:00:00.000000,0.03061813,0.07423426,0.13559680,8,19,36,3,9,17,0.01320554,0.03404922,0.06437481,0.22330781,0.34731373,0.52262921
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-24 00:00:00.000000,0.03486401,0.08195012,0.15015741,9,22,40,4,10,19,0.01638384,0.03765844,0.07098019,0.22213193,0.33496823,0.48908063
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-25 00:00:00.000000,0.03901293,0.09055832,0.16005492,10,24,43,5,11,20,0.01895935,0.04155996,0.07799275,0.21462285,0.32239955,0.45991269
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-26 00:00:00.000000,0.04315373,0.10077276,0.16794698,11,27,45,5,12,22,0.02147334,0.04661027,0.08457780,0.18823055,0.29823081,0.43950875
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-27 00:00:00.000000,0.04734925,0.10932360,0.17560141,12,29,47,6,13,24,0.02402655,0.05104135,0.09211947,0.17570236,0.28325768,0.41328861
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-28 00:00:00.000000,0.04884592,0.11513320,0.18286992,13,30,49,7,14,26,0.02661535,0.05550310,0.09871084,0.16120962,0.27190802,0.40338485
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-29 00:00:00.000000,0.05051563,0.12035214,0.19495840,13,32,52,7,15,27,0.02824004,0.05895997,0.10343076,0.15292356,0.24718539,0.38919218
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-30 00:00:00.000000,0.05685681,0.12493909,0.20176760,15,33,54,7,16,29,0.02913101,0.06188820,0.10798359,0.13902368,0.23002400,0.37183333
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-03-31 00:00:00.000000,0.06295358,0.13184582,0.21294775,16,35,57,8,17,30,0.03121123,0.06532986,0.11359125,0.13337784,0.22396413,0.33715846
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-01 00:00:00.000000,0.06666811,0.14027236,0.22486905,17,37,60,9,18,32,0.03399546,0.06982376,0.11984891,0.12225908,0.21752925,0.33001248
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-02 00:00:00.000000,0.07044413,0.14164815,0.23321268,18,38,62,10,19,33,0.03718620,0.07337337,0.12627479,0.11037847,0.21543146,0.32501758
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-03 00:00:00.000000,0.07720692,0.14609414,0.24070846,20,39,64,10,21,35,0.04059890,0.07872067,0.13217699,0.09721956,0.20694509,0.31676728
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-04 00:00:00.000000,0.08411958,0.15354853,0.24785094,22,41,66,11,22,37,0.04374957,0.08437749,0.13752762,0.09328850,0.19573653,0.29763480
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-05 00:00:00.000000,0.09097501,0.15849342,0.25452862,24,42,68,12,23,38,0.04618040,0.08732671,0.14245598,0.09394781,0.18969927,0.29121137
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-06 00:00:00.000000,0.09447167,0.16156923,0.25955121,25,43,69,13,23,39,0.04868126,0.08817401,0.14706464,0.09462682,0.17878987,0.28159105
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-07 00:00:00.000000,0.09788720,0.16580348,0.26635764,26,44,71,13,24,40,0.05105156,0.09227699,0.15146716,0.08946111,0.16956385,0.27306971
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-08 00:00:00.000000,0.10112807,0.16763187,0.27300605,27,45,73,14,25,42,0.05331285,0.09378922,0.15704265,0.08609683,0.16707632,0.24810141
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-09 00:00:00.000000,0.10417944,0.17235560,0.27959917,28,46,75,14,25,43,0.05549080,0.09483388,0.16220559,0.08626350,0.16267496,0.24287243
39019,0,USOhioCarroll,Ohio,Carroll,2021-09-29 10:35:29.710831,2020-04-10 00:00:00.000000,0.10697430,0.17445792,0.28393743,28,46,76,15,26,44,0.05762552,0.09755580,0.16709140,0.08673280,0.15472062,0.23640343
