FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-09 00:00:00.000000,0.00147493,0.00317412,0.00625840,19,41,82,7,19,35,0.00060239,0.00144848,0.00269662,0.65392912,0.87453085,1.16432260
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-10 00:00:00.000000,0.00201157,0.00393133,0.00771014,26,51,101,9,23,44,0.00072576,0.00180245,0.00336377,0.65565337,0.87453084,1.16432250
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-11 00:00:00.000000,0.00264015,0.00482934,0.00946287,34,63,124,13,29,54,0.00100497,0.00222456,0.00412547,0.65786296,0.87453080,1.16432223
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-12 00:00:00.000000,0.00339418,0.00599873,0.01153465,44,78,151,18,35,65,0.00137018,0.00271831,0.00501145,0.66067858,0.87453068,1.16432154
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-13 00:00:00.000000,0.00430134,0.00755290,0.01387674,56,99,182,23,44,79,0.00181036,0.00334504,0.00603918,0.66424073,0.87453024,1.16431975
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-14 00:00:00.000000,0.00539420,0.00922500,0.01648354,71,121,217,30,53,95,0.00235088,0.00404539,0.00723253,0.66790946,0.87452871,1.16431508
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-15 00:00:00.000000,0.00671496,0.01092833,0.01952327,88,143,257,39,63,113,0.00299665,0.00481718,0.00862125,0.67219002,0.87452330,1.16430287
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-16 00:00:00.000000,0.00811927,0.01301240,0.02292417,106,171,301,48,76,135,0.00366852,0.00583338,0.01032681,0.67763866,0.87450424,1.16427089
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-17 00:00:00.000000,0.00985193,0.01540067,0.02688028,129,202,353,59,92,164,0.00451964,0.00701269,0.01249714,0.68445850,0.87422833,1.16418713
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-18 00:00:00.000000,0.01195322,0.01820569,0.03176929,157,239,418,72,111,198,0.00550597,0.00848612,0.01504693,0.69281700,0.87215859,1.16396222
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-19 00:00:00.000000,0.01448018,0.02181953,0.03808748,190,287,501,87,134,238,0.00663724,0.01021138,0.01807913,0.69690534,0.86765333,1.16290775
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-20 00:00:00.000000,0.01752413,0.02618619,0.04482489,230,344,590,105,160,279,0.00798820,0.01216198,0.02119222,0.67495586,0.85719620,1.14109470
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-21 00:00:00.000000,0.02119411,0.03133184,0.05160558,279,412,679,126,189,324,0.00962295,0.01437203,0.02463670,0.62800892,0.83684943,1.09076022
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-22 00:00:00.000000,0.02530450,0.03701668,0.05926109,333,487,780,153,226,375,0.01164836,0.01719280,0.02848426,0.60191624,0.80861241,1.00431759
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-23 00:00:00.000000,0.02917348,0.04351106,0.06775418,384,572,892,183,267,431,0.01392202,0.02033188,0.03280513,0.56946829,0.77158352,0.93946538
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-24 00:00:00.000000,0.03355276,0.05067223,0.07674603,441,667,1010,216,314,496,0.01644022,0.02386918,0.03769641,0.53547101,0.74436515,0.95590039
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-25 00:00:00.000000,0.03851513,0.05870146,0.08630491,507,772,1136,253,368,569,0.01923758,0.02796657,0.04326164,0.53219378,0.71530991,0.95805632
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-26 00:00:00.000000,0.04499320,0.06820000,0.09608505,592,898,1265,293,431,653,0.02225922,0.03276602,0.04960833,0.47901165,0.69545597,0.88684152
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-27 00:00:00.000000,0.05223257,0.07717007,0.10672158,687,1016,1405,338,498,748,0.02571090,0.03788657,0.05684579,0.45521170,0.66129698,0.87368038
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-28 00:00:00.000000,0.05919111,0.08660777,0.12025617,779,1140,1583,390,573,850,0.02966264,0.04357543,0.06462433,0.43974419,0.61629752,0.83515774
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-29 00:00:00.000000,0.06663190,0.09555561,0.13239092,877,1258,1743,445,649,959,0.03387067,0.04935433,0.07289123,0.42762634,0.58743064,0.81067407
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-30 00:00:00.000000,0.07446512,0.10445368,0.14489083,980,1375,1907,498,718,1050,0.03785487,0.05459241,0.07975210,0.41455177,0.55793579,0.77772117
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-03-31 00:00:00.000000,0.08252030,0.11470978,0.15911391,1086,1510,2095,548,787,1136,0.04164672,0.05980257,0.08628825,0.41225104,0.53740294,0.74364951
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-01 00:00:00.000000,0.08984508,0.12495395,0.17057926,1183,1645,2246,601,875,1229,0.04570189,0.06650703,0.09340488,0.40966081,0.52236557,0.70846083
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-02 00:00:00.000000,0.09602390,0.13691584,0.19563927,1264,1802,2576,658,955,1354,0.05004538,0.07253445,0.10289462,0.39185233,0.50032902,0.66868902
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-03 00:00:00.000000,0.10278538,0.14887674,0.21448019,1353,1960,2824,720,1031,1504,0.05468008,0.07835938,0.11427739,0.37807188,0.46696990,0.59633740
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-04 00:00:00.000000,0.11015196,0.15961812,0.23090105,1450,2101,3040,784,1138,1655,0.05954880,0.08646332,0.12570932,0.36017128,0.44213904,0.56750478
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-05 00:00:00.000000,0.11810995,0.17151937,0.24749138,1555,2258,3258,841,1230,1807,0.06393092,0.09345923,0.13728255,0.35091757,0.42086711,0.56092230
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-06 00:00:00.000000,0.12668043,0.18119681,0.26719873,1668,2385,3518,915,1320,1972,0.06950239,0.10025333,0.14976418,0.33636326,0.41080795,0.55096239
39049,0,USOhioFranklin,Ohio,Franklin,2021-11-27 21:46:36.077811,2020-04-07 00:00:00.000000,0.13673533,0.19238087,0.28526335,1800,2533,3756,990,1407,2102,0.07520091,0.10688114,0.15967634,0.31447449,0.40403128,0.49969043
