FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-09 00:00:00.000000,0.00238384,0.01032889,0.03179689,0,3,9,0,1,5,0.00050194,0.00372765,0.01854121,0.31971772,0.44043759,0.61262822
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-10 00:00:00.000000,0.00384839,0.01530043,0.03740186,1,4,11,0,1,5,0.00080341,0.00425107,0.01897511,0.31971761,0.44043753,0.61262806
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-11 00:00:00.000000,0.00550045,0.02031839,0.04341157,1,6,12,0,1,6,0.00128303,0.00604651,0.02047486,0.31971723,0.44043727,0.61262759
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-12 00:00:00.000000,0.00725524,0.02515372,0.04991193,2,7,14,0,2,6,0.00193656,0.00774520,0.02289480,0.31971605,0.43933532,0.61262198
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-13 00:00:00.000000,0.00912454,0.02957576,0.05696787,2,8,17,0,2,7,0.00270505,0.00949463,0.02596265,0.31971227,0.43910410,0.61257837
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-14 00:00:00.000000,0.01111747,0.03345086,0.06463342,3,10,19,1,3,8,0.00356732,0.01179484,0.02954166,0.31970028,0.43907432,0.61244997
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-15 00:00:00.000000,0.01290807,0.03770824,0.07295379,3,11,21,1,4,10,0.00451262,0.01439013,0.03356867,0.31966256,0.43899518,0.61188426
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-16 00:00:00.000000,0.01533152,0.04537799,0.08605053,4,13,25,1,5,11,0.00531254,0.01676676,0.03801967,0.31954739,0.43813662,0.60695434
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-17 00:00:00.000000,0.01751921,0.05209468,0.09980184,5,15,29,1,5,13,0.00626362,0.01965708,0.04389875,0.31922472,0.43480632,0.57337041
39053,0,USOhioGallia,Ohio,Gallia,2021-09-29 10:33:16.065063,2020-03-18 00:00:00.000000,0.02030718,0.05837476,0.11225765,6,17,33,2,6,15,0.00736886,0.02243222,0.05081350,0.30621508,0.41797850,0.56904629
