FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-09 00:00:00.000000,0.00125203,0.00780222,0.02363665,0,3,10,0,1,6,0.00052885,0.00421527,0.01423439,0.40260173,0.56484885,0.77685993
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-10 00:00:00.000000,0.00138722,0.00847843,0.02623949,0,3,11,0,1,6,0.00061204,0.00438590,0.01430655,0.40260163,0.56484859,0.77685947
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-11 00:00:00.000000,0.00154522,0.00928707,0.02899100,0,4,12,0,2,6,0.00069139,0.00485834,0.01517997,0.40260131,0.56484788,0.77685822
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-12 00:00:00.000000,0.00172515,0.01020002,0.03195868,0,4,14,0,2,7,0.00079064,0.00524636,0.01650986,0.40260019,0.56484558,0.77685494
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-13 00:00:00.000000,0.00192292,0.01121892,0.03512168,0,5,15,0,2,8,0.00090286,0.00563400,0.01815626,0.40259624,0.56483750,0.77684623
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-14 00:00:00.000000,0.00212069,0.01223256,0.03741382,0,5,16,0,2,8,0.00102569,0.00605928,0.02003908,0.40258181,0.56480733,0.77682313
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-15 00:00:00.000000,0.00233463,0.01317679,0.03982092,1,5,17,0,2,9,0.00115346,0.00667182,0.02213275,0.40252840,0.56303612,0.77676193
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-16 00:00:00.000000,0.00385648,0.01723467,0.04592663,1,7,20,0,3,10,0.00127782,0.00733674,0.02443241,0.40232882,0.55937906,0.77660018
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-17 00:00:00.000000,0.00563354,0.02169272,0.05270680,2,9,23,0,4,12,0.00170602,0.00911188,0.02815691,0.39949839,0.55910713,0.77617667
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-18 00:00:00.000000,0.00754015,0.02653932,0.06448661,3,11,28,1,4,14,0.00249110,0.01111483,0.03274316,0.38704720,0.55353091,0.77019639
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-19 00:00:00.000000,0.00915618,0.03163408,0.07774122,4,14,34,1,6,16,0.00343729,0.01366664,0.03768004,0.33674252,0.53774346,0.71257971
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-20 00:00:00.000000,0.01094048,0.03680792,0.08651463,4,16,38,1,7,18,0.00444349,0.01600767,0.04219602,0.30681447,0.52637725,0.71448166
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-21 00:00:00.000000,0.01322216,0.04123023,0.09549611,5,18,42,2,8,21,0.00532288,0.01897329,0.04770421,0.30204059,0.50709116,0.71379036
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-22 00:00:00.000000,0.01461304,0.04598016,0.10486169,6,20,46,2,9,24,0.00631573,0.02162063,0.05424967,0.28151074,0.47863327,0.67953390
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-23 00:00:00.000000,0.01916746,0.05271815,0.11489539,8,23,51,3,11,27,0.00702884,0.02474152,0.06069163,0.27704260,0.46878459,0.70092534
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-24 00:00:00.000000,0.02227123,0.06002139,0.12553080,9,26,56,4,12,30,0.00906813,0.02809392,0.06835375,0.27626772,0.45966015,0.66836483
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-25 00:00:00.000000,0.02554466,0.06656786,0.13686273,11,29,61,4,13,33,0.01062889,0.03128320,0.07455582,0.26610300,0.44605352,0.65490836
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-26 00:00:00.000000,0.02897012,0.07192424,0.14870425,12,32,66,5,15,37,0.01231141,0.03564629,0.08372308,0.26458670,0.43966316,0.65386928
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-27 00:00:00.000000,0.03250333,0.08108805,0.16007325,14,36,71,6,17,41,0.01409740,0.03895910,0.09261721,0.26304170,0.43323847,0.65011300
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-28 00:00:00.000000,0.03608236,0.08758653,0.17247666,16,39,77,7,18,45,0.01596632,0.04176251,0.10077601,0.24971225,0.42877304,0.63394791
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-29 00:00:00.000000,0.03967217,0.09480548,0.18519371,17,42,82,8,20,48,0.01789112,0.04616217,0.10878513,0.22949367,0.41634333,0.62059521
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-30 00:00:00.000000,0.04623062,0.09881020,0.20072138,20,44,89,8,22,53,0.01984819,0.05096444,0.11911181,0.22496189,0.39831111,0.61284680
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-03-31 00:00:00.000000,0.04955735,0.10553676,0.21623711,22,47,96,10,24,57,0.02432977,0.05505314,0.12920474,0.22434497,0.39253400,0.60237694
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-01 00:00:00.000000,0.05468993,0.11000751,0.23153962,24,49,103,13,26,62,0.03044752,0.05906630,0.13870144,0.22465712,0.38647970,0.59123862
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-02 00:00:00.000000,0.06037187,0.12120292,0.24656848,27,54,110,14,28,65,0.03240685,0.06327093,0.14715532,0.22532458,0.38176861,0.57440545
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-03 00:00:00.000000,0.06568876,0.12666204,0.25988636,29,56,116,14,29,68,0.03286417,0.06664221,0.15415007,0.22613201,0.38156272,0.56105897
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-04 00:00:00.000000,0.06812927,0.13745158,0.27161360,30,61,121,16,30,74,0.03720324,0.06865453,0.16578286,0.22679132,0.37548133,0.54686196
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-05 00:00:00.000000,0.06852897,0.14673401,0.28232890,30,65,126,16,31,77,0.03751783,0.07143105,0.17378367,0.22324338,0.36197124,0.53373812
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-06 00:00:00.000000,0.07203435,0.15964816,0.28974034,32,71,129,17,34,80,0.03966258,0.07604124,0.18080449,0.21119104,0.35347942,0.56025626
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-07 00:00:00.000000,0.07323633,0.16751661,0.29738246,32,74,133,19,37,83,0.04359464,0.08371075,0.18710202,0.20118912,0.35022154,0.55296238
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-08 00:00:00.000000,0.07472865,0.17694842,0.30582018,33,79,136,20,38,86,0.04567491,0.08662705,0.19289047,0.19679251,0.34349007,0.52332235
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-09 00:00:00.000000,0.07629500,0.18493100,0.31556790,34,82,141,21,40,88,0.04734399,0.09043378,0.19834154,0.19505930,0.34470556,0.51473158
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-10 00:00:00.000000,0.07845101,0.19223865,0.32653961,35,85,146,22,42,91,0.04920232,0.09550719,0.20352111,0.19438141,0.34052359,0.50793786
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-11 00:00:00.000000,0.08149448,0.19992748,0.33833809,36,89,151,22,44,93,0.05116409,0.10004301,0.20811620,0.18880236,0.33433466,0.51408937
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-12 00:00:00.000000,0.08549643,0.20944360,0.35072699,38,93,156,23,46,96,0.05317956,0.10471683,0.21466040,0.18489054,0.33106149,0.51548204
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-13 00:00:00.000000,0.10115605,0.21821862,0.37205484,45,97,166,24,49,101,0.05522352,0.10973511,0.22760392,0.17972662,0.32058556,0.53932227
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-14 00:00:00.000000,0.10715087,0.22757892,0.39409615,47,101,176,25,52,108,0.05812311,0.11654254,0.24168253,0.17704433,0.32071096,0.53400617
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-15 00:00:00.000000,0.10759064,0.24021240,0.41666402,48,107,186,27,54,114,0.06143485,0.12216387,0.25691868,0.17582254,0.31942385,0.52788073
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-16 00:00:00.000000,0.11466892,0.25132146,0.43936116,51,112,196,29,56,122,0.06494677,0.12740358,0.27325927,0.17539864,0.31924684,0.51858163
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-17 00:00:00.000000,0.12393249,0.26207098,0.46174685,55,117,206,30,59,130,0.06855351,0.13385895,0.29065209,0.17770107,0.31752043,0.49628399
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-18 00:00:00.000000,0.12839661,0.27148519,0.48313102,57,121,216,32,62,138,0.07191268,0.13960085,0.30898536,0.17568355,0.31089813,0.49039226
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-19 00:00:00.000000,0.13029252,0.28247473,0.50237262,58,126,224,32,64,145,0.07193294,0.14333748,0.32418331,0.17635365,0.30849679,0.49604238
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-20 00:00:00.000000,0.13316135,0.28835033,0.50744032,59,128,226,33,66,150,0.07594303,0.14796237,0.33621785,0.17730635,0.30734113,0.49902650
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-21 00:00:00.000000,0.13578108,0.29154104,0.51057877,60,130,228,35,69,153,0.07842818,0.15479734,0.34265093,0.17821800,0.30159677,0.49929690
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-22 00:00:00.000000,0.14201072,0.30116349,0.53031940,63,134,237,35,72,156,0.08039469,0.16221208,0.34891168,0.17875688,0.30234505,0.49678537
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-23 00:00:00.000000,0.14990060,0.30819866,0.55372361,67,137,247,36,74,158,0.08219594,0.16626670,0.35476745,0.17891605,0.29706207,0.49152672
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-24 00:00:00.000000,0.14966806,0.32024616,0.56953217,66,143,254,37,77,160,0.08383107,0.17235525,0.35923919,0.17889212,0.29785407,0.48436002
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-25 00:00:00.000000,0.14951393,0.33186077,0.57720020,66,148,258,38,82,161,0.08524622,0.18376656,0.36044767,0.17873721,0.29645937,0.47664631
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-26 00:00:00.000000,0.14939035,0.34942666,0.58439299,66,156,261,39,85,161,0.08786527,0.19035624,0.36101047,0.17369019,0.29758486,0.47032901
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-27 00:00:00.000000,0.15640161,0.36109589,0.58964006,69,161,263,39,87,161,0.08892506,0.19599322,0.36106377,0.17012522,0.29377935,0.45914706
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-28 00:00:00.000000,0.15366798,0.36832691,0.59450585,68,164,265,39,91,161,0.08894072,0.20411357,0.36175570,0.16828012,0.29311532,0.45126664
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-29 00:00:00.000000,0.15036268,0.38048751,0.59892006,67,170,267,40,94,165,0.09145010,0.21030881,0.36920710,0.16689191,0.29228122,0.45508979
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-04-30 00:00:00.000000,0.15039668,0.38760282,0.60292271,67,173,269,40,97,168,0.09037870,0.21697728,0.37599988,0.16513601,0.29105290,0.44578548
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-01 00:00:00.000000,0.15381004,0.39704064,0.60615396,68,177,271,39,99,170,0.08848236,0.22333283,0.38201318,0.16235264,0.28917892,0.43928134
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-02 00:00:00.000000,0.15754388,0.40596092,0.60485066,70,181,270,39,102,173,0.08826350,0.22963404,0.38697909,0.15878601,0.29351915,0.43941537
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-03 00:00:00.000000,0.16234008,0.41388061,0.61281332,72,185,274,39,105,174,0.08836758,0.23509988,0.39074580,0.15376284,0.29356092,0.44559499
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-04 00:00:00.000000,0.17227852,0.41721465,0.61940986,77,186,277,39,107,175,0.08868267,0.24040891,0.39341134,0.15247979,0.29944964,0.47434606
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-05 00:00:00.000000,0.17697504,0.41954863,0.62579228,79,187,279,40,109,177,0.09050225,0.24384577,0.39644553,0.15077904,0.29470039,0.48344944
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-06 00:00:00.000000,0.18252180,0.42085729,0.63174992,81,188,282,41,110,178,0.09315721,0.24750358,0.39959576,0.14978738,0.29018488,0.47913905
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-07 00:00:00.000000,0.18841339,0.41849671,0.63715943,84,187,285,43,112,180,0.09617449,0.25163490,0.40274237,0.14904977,0.28713167,0.48626640
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-08 00:00:00.000000,0.19441967,0.42298475,0.64190653,86,189,287,44,113,181,0.09930938,0.25293573,0.40581023,0.14835231,0.28946941,0.46908067
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-09 00:00:00.000000,0.20040869,0.43359664,0.66300149,89,193,296,45,114,182,0.10247006,0.25695281,0.40873244,0.14779494,0.28530033,0.47685127
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-10 00:00:00.000000,0.20628905,0.44667824,0.68623806,92,199,306,47,115,186,0.10560922,0.25872331,0.41742447,0.14724682,0.28365954,0.49040233
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-11 00:00:00.000000,0.21612475,0.45841939,0.69820871,96,205,312,48,117,187,0.10868538,0.26258080,0.42009743,0.14684363,0.28079987,0.49972133
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-12 00:00:00.000000,0.22586598,0.47225335,0.70202181,101,211,314,50,120,190,0.11369433,0.27016976,0.42621945,0.15276109,0.28174549,0.50943414
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-13 00:00:00.000000,0.23614109,0.47157596,0.69935354,105,210,312,53,122,193,0.11907215,0.27318421,0.43294786,0.15473139,0.27993955,0.51158371
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-14 00:00:00.000000,0.23990542,0.47704382,0.69840404,107,213,312,55,123,196,0.12451658,0.27659670,0.43897499,0.15101138,0.27545385,0.50973053
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-15 00:00:00.000000,0.24000300,0.48290349,0.71750558,107,216,320,58,124,199,0.12999752,0.27904344,0.44687391,0.14714556,0.26994843,0.50393090
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-16 00:00:00.000000,0.24007565,0.48172509,0.71998262,107,215,322,60,126,202,0.13553643,0.28222474,0.45342578,0.14474575,0.26351049,0.48922542
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-17 00:00:00.000000,0.24006146,0.47717775,0.72021494,107,213,322,63,127,204,0.14104719,0.28448613,0.45637836,0.14179284,0.25645161,0.45757095
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-18 00:00:00.000000,0.25433552,0.48380999,0.70719036,113,216,316,65,127,204,0.14645341,0.28573804,0.45752332,0.13658779,0.24214774,0.42731303
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-19 00:00:00.000000,0.26859382,0.48949159,0.71096651,120,218,318,68,130,202,0.15226522,0.29173450,0.45267411,0.13109014,0.23746693,0.39668529
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-20 00:00:00.000000,0.28310875,0.48892676,0.71238850,126,218,318,70,131,200,0.15667735,0.29329181,0.44804843,0.13321800,0.22987025,0.36963706
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-21 00:00:00.000000,0.29752993,0.49123866,0.70706994,133,219,316,70,130,198,0.15870079,0.29236895,0.44456744,0.13501305,0.22078411,0.36693609
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-22 00:00:00.000000,0.29371831,0.48736967,0.68996029,131,218,308,71,130,197,0.15915131,0.29187741,0.44060911,0.11800121,0.21318829,0.35333758
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-23 00:00:00.000000,0.28358091,0.47658305,0.68421145,126,213,306,70,129,196,0.15834076,0.28901623,0.43906254,0.11370339,0.20159244,0.33037841
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-24 00:00:00.000000,0.27387441,0.47159429,0.68354101,122,210,305,69,129,198,0.15604078,0.28926964,0.44426919,0.10578810,0.19088871,0.32215869
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-25 00:00:00.000000,0.26612298,0.46299875,0.67627751,119,207,302,68,125,194,0.15208384,0.28158856,0.43495038,0.10195980,0.17818158,0.30672442
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-26 00:00:00.000000,0.25153246,0.45414726,0.66838670,112,203,298,63,122,191,0.14246311,0.27347560,0.42778300,0.10188748,0.17458963,0.30068639
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-27 00:00:00.000000,0.23041948,0.44294198,0.65874031,103,198,294,58,120,189,0.13120465,0.26966795,0.42355074,0.10185628,0.17190298,0.29658279
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-28 00:00:00.000000,0.20998107,0.42622029,0.64472241,93,190,288,53,118,187,0.11987808,0.26444956,0.41829054,0.10169170,0.16990381,0.29185810
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-29 00:00:00.000000,0.19085792,0.41584423,0.61908892,85,186,276,48,115,183,0.10911775,0.25781182,0.41119544,0.09910586,0.16639044,0.28010854
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-30 00:00:00.000000,0.17287105,0.40282682,0.59231350,77,180,264,44,112,179,0.10004429,0.25191311,0.40103647,0.09852530,0.16284716,0.27775394
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-05-31 00:00:00.000000,0.15558140,0.39216029,0.57685763,69,175,258,42,108,173,0.09514613,0.24265026,0.38797202,0.09653196,0.15955667,0.27667973
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-01 00:00:00.000000,0.14260173,0.37743029,0.55130988,63,168,246,40,105,167,0.09044594,0.23535618,0.37341422,0.09459582,0.15737761,0.27594959
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-02 00:00:00.000000,0.13706311,0.36493172,0.52757032,61,163,235,38,102,160,0.08654423,0.22824873,0.35785043,0.09335184,0.15612217,0.27550605
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-03 00:00:00.000000,0.13221929,0.35304876,0.51723044,59,157,231,37,98,157,0.08314762,0.22084301,0.35192767,0.09114175,0.15568929,0.27525394
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-04 00:00:00.000000,0.12780099,0.34192339,0.49476691,57,152,221,35,96,154,0.08010847,0.21505771,0.34623334,0.09201141,0.15476076,0.27739088
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-05 00:00:00.000000,0.12374790,0.32869220,0.47092791,55,147,210,34,94,152,0.07734865,0.21168363,0.34066915,0.09340802,0.15293427,0.27074849
39097,0,USOhioMadison,Ohio,Madison,2021-03-04 18:06:32.112578,2020-06-06 00:00:00.000000,0.12002369,0.31578185,0.44651500,53,141,199,31,92,146,0.07151712,0.20761347,0.32662224,0.09897555,0.15202563,0.27500190
