FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-09 00:00:00.000000,0.00214137,0.00626636,0.01376927,3,11,24,0,4,13,0.00024103,0.00255876,0.00739106,0.45050238,0.58292897,0.81972406
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-10 00:00:00.000000,0.00281447,0.00834641,0.01839369,5,15,33,1,5,13,0.00067010,0.00300138,0.00756356,0.45050216,0.58292634,0.81971839
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-11 00:00:00.000000,0.00383296,0.01033757,0.02223898,6,18,39,1,6,15,0.00108007,0.00388892,0.00835693,0.45050160,0.58292011,0.81970960
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-12 00:00:00.000000,0.00460872,0.01274316,0.02829508,8,22,50,2,8,17,0.00150875,0.00493293,0.00971062,0.45050010,0.58290525,0.81969597
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-13 00:00:00.000000,0.00547105,0.01507453,0.03569509,9,27,64,3,10,21,0.00196178,0.00590922,0.01190202,0.45049596,0.58217181,0.81967484
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-14 00:00:00.000000,0.00643252,0.01780018,0.04374217,11,31,78,4,13,27,0.00248448,0.00728502,0.01524627,0.45048439,0.58072322,0.81964210
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-15 00:00:00.000000,0.00750572,0.02115138,0.05249930,13,38,94,5,15,32,0.00303928,0.00873642,0.01786529,0.45045141,0.57849025,0.81959134
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-16 00:00:00.000000,0.01136157,0.02451500,0.05717672,20,44,102,6,18,37,0.00365202,0.01041535,0.02074184,0.44529682,0.57616983,0.81951262
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-17 00:00:00.000000,0.01351068,0.02830804,0.06262448,24,50,112,8,21,43,0.00449110,0.01210230,0.02418239,0.44232967,0.57447184,0.81939035
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-18 00:00:00.000000,0.01589234,0.03209295,0.06843856,28,57,123,9,25,49,0.00550495,0.01411165,0.02741536,0.44178352,0.57162567,0.80659758
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-19 00:00:00.000000,0.01802373,0.03656220,0.07429845,32,65,133,11,29,54,0.00666423,0.01633466,0.03058970,0.41445945,0.55881190,0.77320706
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-20 00:00:00.000000,0.02003010,0.04128116,0.07973772,36,74,143,14,33,60,0.00794718,0.01875786,0.03391170,0.39402061,0.52557399,0.77049968
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-21 00:00:00.000000,0.02223956,0.04713069,0.08441561,39,84,151,16,38,68,0.00933772,0.02123524,0.03822235,0.34648344,0.49709847,0.76184875
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-22 00:00:00.000000,0.02466460,0.05302789,0.09141975,44,95,164,19,44,76,0.01083288,0.02448953,0.04267620,0.32130506,0.47555016,0.73568937
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-23 00:00:00.000000,0.03013059,0.05836231,0.10155583,54,104,182,22,49,83,0.01243820,0.02741220,0.04618753,0.32063047,0.45806060,0.66849696
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-24 00:00:00.000000,0.03501153,0.06466533,0.10646942,62,116,191,25,54,91,0.01414458,0.03022860,0.05070949,0.32067431,0.44135327,0.61018932
39103,0,USOhioMedina,Ohio,Medina,2021-11-10 19:04:54.329522,2020-03-25 00:00:00.000000,0.04027345,0.07006061,0.11156785,72,125,200,28,59,97,0.01599436,0.03314832,0.05433601,0.31704515,0.43436161,0.59464504
