FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-09 00:00:00.000000,0.00065318,0.00314194,0.01631343,0,1,6,0,0,4,0.00037441,0.00169561,0.01029394,0.35367258,0.54187972,0.71894188
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-10 00:00:00.000000,0.00072339,0.00356944,0.01720417,0,1,7,0,0,4,0.00040456,0.00176367,0.00972410,0.35361167,0.54187528,0.71892415
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-11 00:00:00.000000,0.00080252,0.00395402,0.01822617,0,1,7,0,0,4,0.00044199,0.00197538,0.00990281,0.35350192,0.54186593,0.71888383
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-12 00:00:00.000000,0.00089174,0.00442273,0.01933814,0,1,7,0,0,4,0.00048606,0.00220101,0.01043088,0.35330445,0.54184620,0.71879219
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-13 00:00:00.000000,0.00099226,0.00500297,0.02052352,0,2,8,0,1,4,0.00053684,0.00247825,0.01112562,0.35295018,0.54180461,0.71858399
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-14 00:00:00.000000,0.00110537,0.00542634,0.02177707,0,2,8,0,1,4,0.00059472,0.00277826,0.01190554,0.35231771,0.54086811,0.71811168
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-15 00:00:00.000000,0.00123253,0.00603102,0.02309826,0,2,9,0,1,5,0.00066030,0.00303711,0.01273611,0.35119844,0.53375918,0.71704355
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-16 00:00:00.000000,0.00318692,0.00902419,0.02978593,1,3,12,0,1,5,0.00073435,0.00325360,0.01360431,0.34924794,0.53371601,0.71464508
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-17 00:00:00.000000,0.00458732,0.01146973,0.03654180,1,4,15,0,1,6,0.00125620,0.00434799,0.01616770,0.34593813,0.52591181,0.71399849
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-18 00:00:00.000000,0.00608764,0.01424929,0.04377189,2,5,18,0,2,8,0.00219307,0.00543476,0.01966477,0.32888270,0.50185469,0.71152116
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-19 00:00:00.000000,0.00754711,0.01747066,0.05144559,3,7,21,1,2,9,0.00306701,0.00720473,0.02373969,0.32312141,0.47840598,0.68852054
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-20 00:00:00.000000,0.00957484,0.02087158,0.05955901,3,8,24,1,3,11,0.00382489,0.00933530,0.02822769,0.29206702,0.45739619,0.64815951
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-21 00:00:00.000000,0.01165393,0.02446559,0.06703105,4,10,27,2,4,13,0.00489268,0.01113158,0.03271966,0.27155247,0.44220069,0.63861550
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-22 00:00:00.000000,0.01383729,0.02833380,0.07455532,5,11,30,2,5,15,0.00608491,0.01327158,0.03695845,0.25098479,0.42467465,0.63093326
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-23 00:00:00.000000,0.01652141,0.03306212,0.08039826,6,13,33,2,6,17,0.00716716,0.01567181,0.04183470,0.24958626,0.40993687,0.61698494
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-24 00:00:00.000000,0.01914717,0.03728799,0.08974874,7,15,36,3,7,19,0.00853749,0.01808511,0.04795487,0.24908375,0.40228987,0.58543792
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-25 00:00:00.000000,0.02199532,0.04097634,0.09823296,9,16,40,4,8,21,0.01062953,0.02053705,0.05323122,0.24890993,0.39787230,0.58413681
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-26 00:00:00.000000,0.02556521,0.04506755,0.10549150,10,18,43,5,9,24,0.01308951,0.02287127,0.05902019,0.22969472,0.38605355,0.57949267
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-27 00:00:00.000000,0.02939474,0.05080731,0.11207058,12,20,46,6,10,26,0.01504173,0.02498737,0.06337593,0.22632154,0.37415446,0.56222394
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-28 00:00:00.000000,0.03344293,0.05710464,0.11788291,13,23,48,7,11,27,0.01713102,0.02848062,0.06703832,0.22472969,0.35641961,0.51612001
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-29 00:00:00.000000,0.03768130,0.06186958,0.12660371,15,25,52,7,13,29,0.01902487,0.03177380,0.07109668,0.21888398,0.34521226,0.50224955
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-30 00:00:00.000000,0.04181023,0.06746224,0.13402308,17,27,55,8,14,31,0.02067219,0.03556674,0.07562277,0.21396894,0.33665755,0.49187369
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-03-31 00:00:00.000000,0.04368319,0.07488481,0.13843385,17,30,56,9,16,33,0.02310792,0.03908004,0.08026086,0.21160999,0.33007245,0.48413064
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-01 00:00:00.000000,0.04646622,0.08093502,0.14279929,19,33,58,10,17,34,0.02581379,0.04311232,0.08427853,0.21050504,0.32716994,0.47958893
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-02 00:00:00.000000,0.04852114,0.08874932,0.14722306,19,36,60,11,19,37,0.02713564,0.04649663,0.09077870,0.20999972,0.31438882,0.47731343
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-03 00:00:00.000000,0.05029182,0.09645386,0.15480980,20,39,63,11,20,39,0.02832343,0.05045374,0.09577388,0.20985469,0.30743629,0.47176906
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-04 00:00:00.000000,0.05181500,0.10283712,0.16419338,21,42,67,12,22,40,0.02950540,0.05469615,0.09883337,0.19873787,0.31326039,0.45894264
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-05 00:00:00.000000,0.05320279,0.11021892,0.18037598,21,45,74,12,24,41,0.03076083,0.05842215,0.10198159,0.19053759,0.30621103,0.43645917
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-06 00:00:00.000000,0.05638261,0.11878810,0.19293604,23,48,79,13,25,43,0.03290386,0.06291735,0.10528510,0.18702405,0.30646519,0.42366058
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-07 00:00:00.000000,0.06147617,0.12781982,0.20628840,25,52,84,14,28,45,0.03570152,0.06831970,0.10994518,0.18659611,0.30546581,0.41794971
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-08 00:00:00.000000,0.06681818,0.13741077,0.22036725,27,56,90,16,30,47,0.03887289,0.07369857,0.11544179,0.18661937,0.30341682,0.41032850
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-09 00:00:00.000000,0.07381646,0.14769506,0.23523573,30,60,96,17,33,50,0.04229631,0.08029582,0.12148526,0.18680267,0.30646777,0.40911561
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-10 00:00:00.000000,0.08047193,0.15860527,0.25090068,33,65,103,18,35,52,0.04589132,0.08566183,0.12790975,0.18729581,0.31246369,0.41223782
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-11 00:00:00.000000,0.08383438,0.16866287,0.25583440,34,69,105,20,37,55,0.04964221,0.09071102,0.13461869,0.18891717,0.31166641,0.41105436
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-12 00:00:00.000000,0.09020752,0.17974882,0.26113785,37,74,107,22,39,58,0.05351003,0.09519875,0.14155490,0.19374529,0.31687276,0.40736453
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-13 00:00:00.000000,0.10369411,0.19003988,0.27127788,42,78,111,23,41,61,0.05758342,0.10126179,0.15019676,0.20062031,0.32160502,0.41413117
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-14 00:00:00.000000,0.11751351,0.20053349,0.28258631,48,82,116,26,43,63,0.06436595,0.10632009,0.15542047,0.20635941,0.32314324,0.41444441
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-15 00:00:00.000000,0.12634923,0.21117149,0.29436521,52,86,121,29,46,67,0.07262736,0.11253355,0.16432564,0.21242404,0.32521799,0.41898913
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-16 00:00:00.000000,0.13017823,0.22108142,0.31508934,53,91,129,32,50,71,0.07826010,0.12166759,0.17467115,0.21683911,0.32909795,0.42346114
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-17 00:00:00.000000,0.13501624,0.23101578,0.34420585,55,95,141,33,52,76,0.08169397,0.12788305,0.18520502,0.21997344,0.33052690,0.44539701
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-18 00:00:00.000000,0.14117063,0.24195341,0.38028726,58,99,156,34,56,81,0.08500077,0.13656406,0.19697393,0.24053960,0.33813331,0.48123503
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-19 00:00:00.000000,0.14839742,0.25826889,0.41815195,61,106,172,36,59,86,0.08836925,0.14462938,0.21035766,0.25161187,0.34383879,0.48826391
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-20 00:00:00.000000,0.16710986,0.27941338,0.44816846,68,115,184,37,62,92,0.09187049,0.15187572,0.22479903,0.26002296,0.34608950,0.47281084
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-21 00:00:00.000000,0.18079679,0.30151609,0.48573493,74,124,199,40,65,100,0.09784617,0.15979614,0.24301704,0.26207795,0.35170988,0.46272643
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-22 00:00:00.000000,0.19750204,0.31826723,0.52417990,81,131,215,45,69,108,0.10941440,0.16806066,0.26448827,0.26174426,0.35451200,0.46227832
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-23 00:00:00.000000,0.21772751,0.33921929,0.56195022,89,139,231,50,74,117,0.12160532,0.18017260,0.28614934,0.26843839,0.35806922,0.46691818
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-24 00:00:00.000000,0.24053727,0.36323608,0.60090834,99,149,247,53,79,126,0.12895458,0.19324039,0.30809700,0.28492210,0.36921843,0.48241967
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-25 00:00:00.000000,0.26614955,0.38770461,0.64234733,109,159,264,57,84,137,0.13929705,0.20500461,0.33309269,0.28660389,0.37133110,0.47681887
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-26 00:00:00.000000,0.29150146,0.41428197,0.68556643,120,170,282,63,90,148,0.15462161,0.22042169,0.36034903,0.29224532,0.37856682,0.48760421
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-27 00:00:00.000000,0.31962247,0.45167232,0.73541416,131,185,302,68,98,160,0.16669927,0.23807207,0.38959378,0.30099967,0.37794507,0.50396232
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-28 00:00:00.000000,0.34932420,0.48845498,0.79039816,143,201,325,75,105,173,0.18298192,0.25531207,0.42101180,0.29820331,0.37743399,0.50662272
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-29 00:00:00.000000,0.38092110,0.53149640,0.84690006,156,218,348,82,114,187,0.20149455,0.27728695,0.45442606,0.29479967,0.37607520,0.50725727
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-04-30 00:00:00.000000,0.41451620,0.56608801,0.90458201,170,233,372,90,123,201,0.22039307,0.29920090,0.48964671,0.29115242,0.37440191,0.50494586
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-05-01 00:00:00.000000,0.45020333,0.61541254,0.96215662,185,253,396,98,134,216,0.24006508,0.32640171,0.52641426,0.29559693,0.37340732,0.49353971
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-05-02 00:00:00.000000,0.48800768,0.66410373,1.01699201,200,273,418,106,146,232,0.25950106,0.35583230,0.56395166,0.29235924,0.37007455,0.48649773
39107,0,USOhioMercer,Ohio,Mercer,2021-09-02 04:48:59.750819,2020-05-03 00:00:00.000000,0.52781923,0.71040205,1.06810264,217,292,439,115,157,247,0.28105426,0.38188737,0.60204457,0.28450588,0.36099057,0.48495909
